Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
14.10.2023,13:00,BGL1395,01,PINAR KARŞIYAKA,67 - 81,EGE ASİST,C,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,Youtube / TBF TV,UMUT ÖZGÜN ERGÜN,ANASTASIIA USOVA,MELİH BAĞLAR,KAAN KARTAL,BERRİN TURAN,CUMHUR AĞCAHAN,ERKAN TURAN,OSMAN ARKIN BARUTCU,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
14.10.2023,17:00,BGL1392,01,MANİSA BBSK İZMİR BAHÇEŞEHİR KOLEJİ,79 - 72,TÜRK TELEKOM,A,MANİSA,Tarık Almış Spor Salonu,Youtube / TBF TV,CAN MAVİSU,FURKAN KÖSE,KÜBRA GÜMÜŞ,BARIŞ KILIÇKAYA,SERVET NUR TOYGAR,ENGİN ABATAY,RAUF ŞENEL,RAMAZAN YAŞAR,Tarık Almış Spor Salonu
14.10.2023,19:00,BGL1398,01,ALİAĞA PETKİMSPOR,112 - 51,MERKEZEFENDİ BELEDİYESİ GENÇLİK,D,İZMİR,Enka Spor Salonu,Youtube / TBF TV,FATİH GÜLER,TALİP KOCAÖZ,BEKİR BOZKURT,BÜLENT GÖKÇE,SADIK ERGÜL,BETÜL AKDOĞAN,SÜLEYMAN BARTU GÜL,GÖKHAN YAZ,Enka Spor Salonu
15.10.2023,13:00,BGL1396,01,ONVO BÜYÜKÇEKMECE BASKETBOL,56 - 94,BURSASPOR YB HOLDİNG,C,İSTANBUL,Gazanfer Bilge Spor Salonu,Youtube / TBF TV,NAZLI ÇİSİL GÜNGÖR,BATUHAN ARSLAN,MEHMET EMİN RAŞİTOĞLU,GÖZDE ERSÖZ,MURAT SEVGİL,BİROL ŞİMŞEK,MEHMET NECATİ EROĞUL,HİLMİ CANKUT AYNAR,Gazanfer Bilge Spor Salonu
15.10.2023,15:00,BGL1397,01,GALATASARAY,82 - 67,FENERBAHÇE BEKO,D,İSTANBUL,Ahmet Cömert Spor Salonu,Youtube / TBF TV,EMİN MOĞULKOÇ,ERSEL ŞENTÜRK,TAHİR EROĞLU,TUĞBA YURTSEVEN,FATİH DEMİR,AYBERK PARALI,AYGÜN SEVGİL,ZAFER RİFAİ,Ahmet Cömert Spor Salonu
15.10.2023,18:00,BGL1393,01,TOFAŞ,96 - 78,ÇAĞDAŞ BODRUM SPOR,B,BURSA,Tofaş Spor Salonu,Youtube / TBF TV,ORHAN ÇAĞRI HEKİMOĞLU,KÜRŞAT DENİZ,ELİF ÇELİKTEPE,UMUT GEDİK,ÖZLEM NUR TOPRAK,EMEL ÖZTÜRK,AYÇA ÜNLÜ,BERNA EKBİÇ,Tofaş Spor Salonu
16.10.2023,15:00,BGL1391,01,DARÜŞŞAFAKA,87 - 59,SAMSUNSPOR,A,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu,Youtube / TBF TV,GÖKSUN ÖZ,ATACAN ERCAN,MESUT ÇİMEN,UĞUR TÜRKEL,DİLARA YEŞİLDAL,YEŞİM AKAN,ALPKAN HACIYAKUPOĞLU,AYBERK PARALI,Darüşşafaka Ayhan Şahenk Spor Salonu
16.10.2023,18:00,BGL1394,01,BAHÇEŞEHİR KOLEJİ,69 - 64,TED ANKARA KOLEJLİLER,B,İSTANBUL,Caferağa Spor Salonu,Youtube / TBF TV,BURAK YILMAZ,MERT ENVER GERMEN,SAMET BİLİR,HASAN VOLKAN  KARA,TİMUR TOPUZ,EDA ELFİDAN,ALTAN CANDAN,BUKET ÖZDEMİR,Caferağa Spor Salonu
30.01.2024,13:00,BGL1483,Final Grubu,TOFAŞ,54 - 76,BAHÇEŞEHİR KOLEJİ,FİNAL GRUBU B,BURSA,Tofaş Spor Salonu,Youtube / TBF TV,MUSA KAZIM ÇETİN,MEHMET EMİN RAŞİTOĞLU,BORA ÇEVİK,RAMAZAN ÖYLEK,ESRA SOLAK,TEOMAN ÖYLEK,SUELNUR ÇELİK,ESRA AL,Tofaş Spor Salonu
31.01.2024,13:00,BGL1480,Final Grubu,MANİSA BBSK İZMİR BAHÇEŞEHİR KOLEJİ,64 - 72,ALİAĞA PETKİMSPOR,FİNAL GRUBU A,MANİSA,Tarık Almış Spor Salonu,Youtube / TBF TV,TOLGA AKKUŞOĞLU,AYBERK ÖZBAŞ,MUTLU AKBAŞ,OKAN KAHRAMAN,OSMAN CİNGİL,RAMAZAN YAŞAR,ZEKERİYA YAŞAR,ÜMİT KONCA,Tarık Almış Spor Salonu
31.01.2024,14:00,BGL1481,Final Grubu,GELİŞİM KOLEJİ,83 - 92,ANADOLU EFES,FİNAL GRUBU A,İZMİR,Gelişim Koleji Spor Salonu,Youtube / TBF TV,TOLGA EDİS,EMİN YEŞİL,TALİP KOCAÖZ,DİDEM SÜER,MEHMET AKINCI,ÇAĞATAY KAMER VANLIOĞLU,SÜLEYMAN BARTU GÜL,OSMAN ARKIN BARUTCU,Gelişim Koleji Spor Salonu
31.01.2024,14:00,BGL1485,Final Grubu,BURSASPOR YB HOLDİNG,85 - 86,GAZİANTEP BASKETBOL,FİNAL GRUBU B,BURSA,Barış Spor Salonu ve Gençlik Merkezi,Youtube / TBF TV,MUSA KAZIM ÇETİN,İSMAİL ARSLAN,KÜRŞAT DENİZ,GÜNAY YAYLI,BÜŞRA HEKİMOĞLU,ESRA AL,ÖMER FARUK FINDIK,AHMET CAN ŞAPÇI,Barış Spor Salonu ve Gençlik Merkezi
31.01.2024,18:30,BGL1482,Final Grubu,FENERBAHÇE BEKO,88 - 68,GALATASARAY,FİNAL GRUBU A,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,Youtube / TBF TV,ERHAN GÜRSEL,ARDA NAVRUZ,AHMET ÇAKIR,FURKAN DEDE,MURAT GÜRKAN,PERİHAN GİZEM ÜNSAL,SİNAN ERSOY,DİDEM ARPACI KARAGÖZ,Fenerbahçe Metro Enerji Spor Salonu
31.01.2024,19:30,BGL1484,Final Grubu,PINAR KARŞIYAKA,68 - 61,BEŞİKTAŞ,FİNAL GRUBU B,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,Youtube / TBF TV,BURAK YILMAZ,BATUHAN ARSLAN,HÜSEYİN MERİÇ ÇAKIR,TOLGA  AKSULAR,CEMRE ÇEKAL,BERRİN TURAN,HALİDE KAYA,SİNEM BİRTÜRK,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
14.04.2024,19:00,BGL1541,Playoff Çeyrek Final,BEŞİKTAŞ,71 - 74,GALATASARAY,B1-A4,İSTANBUL,BJK Emlakjet Spor Kompleksi,Youtube / TBF TV,SEMİH VURAL,YASİN ALKAN,BURAK ALACAR,BOĞAÇHAN ŞERBETCİOĞLU,BERNA ÇOLAK,HİLMİ CANKUT AYNAR,NEŞE KIRAN,MURAT SEVGİL,BJK Emlakjet Spor Kompleksi
15.04.2024,13:30,BGL1542,Playoff Çeyrek Final,ALİAĞA PETKİMSPOR,99 - 101,BAHÇEŞEHİR KOLEJİ,A2-B3,İZMİR,Enka Spor Salonu,Youtube / TBF TV,ALPER ALTUĞ KÖSELERLİ,ERSEL ŞENTÜRK,ÖZGÜR ÖZBAYİS,ÖZCAN PAMUK,BEREN ÇELİKOĞLU,ÇAĞATAY KAMER VANLIOĞLU,ESMA UNTUÇ,EMİNE KALKAN,Enka Spor Salonu
15.04.2024,15:00,BGL1543,Playoff Çeyrek Final,GAZİANTEP BASKETBOL,79 - 71,FENERBAHÇE BEKO,B2-A3,GAZİANTEP,Karataş Şahinbey Spor Salonu,Youtube / TBF TV,MEHMET SERDAR ÜNAL,HAKAN MENNAN,HASAN HÜSEYİN DEVECİ,YEŞİM ATUŞ KARAGÖZ,TUGÇE KAYALAR,ÖZLEM YALNIZ,ÖZLEM ADIYAMAN,ABDURRAHMAN YALTIRIK,Karataş Şahinbey Spor Salonu
15.04.2024,18:00,BGL1540,Playoff Çeyrek Final,ANADOLU EFES,98 - 70,TOFAŞ,A1-B4,İSTANBUL,Ahmet Cömert Spor Salonu,Youtube / TBF TV,CAN MAVİSU,MEHMET EMİN RAŞİTOĞLU,MERT ENVER GERMEN,BEKİR GENÇAL,MERVE GÜLDAŞ,DİNÇER ADİLLER,NEŞE KIRAN,GÖKHAN ALTUNTAŞ,Ahmet Cömert Spor Salonu
20.10.2023,14:00,BGL1404,02,BURSASPOR YB HOLDİNG,66 - 73,PINAR KARŞIYAKA,C,BURSA,Barış Spor Salonu ve Gençlik Merkezi,Youtube / TBF TV,SİNEM TETİK AKBAYRAK,YASİN ALKAN,BORA ÇEVİK,YEŞER KARABULUT,AYÇA ÜNLÜ,FATİH DURGUT,AHMET CAN ŞAPÇI,TEOMAN ÖYLEK,Barış Spor Salonu ve Gençlik Merkezi
