Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
11.10.2019,15:00,3EA1443,01,EGE ÜNİVERSİTESİ GSK,77 - 73,KARŞIYAKA BELEDİYESPOR,,İZMİR,EGE Üniversitesi,,ÖZKAN TALO,CAN YANAR,BURAK PEHLİVAN,DİDEM SÜER,CEREN ARIKAN BAYKUŞ,MEHMET AYDIN,ŞAHİN ŞANLI,EMİNE KALKAN,EGE Üniversitesi
11.10.2019,17:00,3EA1445,01,TED ANKARA KOLEJLİLER,79 - 77,NAZİLLİ BELEDİYE,,ANKARA,TED Üniversitesi Prof. Dr. Rüştü Yüce S.S.,,GÖNENÇ ÇETİN,NİHAT KARA,HÜSEYİN SÖYLEMEZOĞLU,VEYSEL PEKDOĞAN,ONUR YEŞİLBAĞ,ANIL ENDER DURGUN,TUNCER ULUŞEKER,LEVENT UĞUR,TED Üniversitesi Prof. Dr. Rüştü Yüce S.S.
11.10.2019,19:00,3EA1446,01,KOCAELİ BŞB KAĞITSPOR,92 - 52,ÜNSPED SPOR,,KOCAELİ,Kocaeli Atatürk Spor Salonu,,DORUKHAN KALYONCU,FIRAT ATAR,MUSTAFA AKSOY,MUSTAFA DURGUT,EBRU ÖZMEN,AYCAN PEKER,BAYRAM TARIK TAŞKIN,GAMZE KURT,Kocaeli Atatürk Spor Salonu
12.10.2019,17:00,3EA1448,01,GEÇİT SPOR,80 - 96,BAŞKENT YENİŞEHİR,,BURSA,Bursa Atatürk Spor Salonu,,HALDUN ÇOBAN,FURKAN OZAN ÇÖVEN,ÜNAL GÜNDOĞDU,ALPER ERİN,İREM ERGEN,FATİH DURGUT,ERAY BABAHANOĞLU,ÇİGDEM AKYILDIZ,Bursa Atatürk Spor Salonu
12.10.2019,18:00,3EA1449,01,BORNOVA BOSSAN,58 - 51,BEYLİKDÜZÜ BASKETBOL,,İZMİR,Altındağ Atatürk Spor Kompleksi,,ABDULLAH UYANIK,KAMİL ALOK,HASAN BORA AKSU,GÖRKEM BIÇAKCIOĞLU,CEREN BARAN,BURÇİN DURAN,GÖZDE ONAN,DİLEK DOĞAN KARACA,Altındağ Atatürk Spor Kompleksi
12.10.2019,18:00,3EA1447,01,ANKARA KAYI GENÇLİK,61 - 87,ERZURUM BŞB GENÇLİK,,ANKARA,Mamak Belediyesi Spor Salonu,Youtube / TBF TV,HİKMET FEN,ÖZKAN ÇAĞLAYAN,EREN KILINÇ,EFKAN ASLAN,FUNDA KONCA,FATMA ÇELİK,SERKAY GÜNEY,TUNCER ULUŞEKER,Mamak Belediyesi Spor Salonu
13.10.2019,17:00,3EA1444,01,ÇORLU BELEDİYESİ,82 - 66,İZMİR BŞB,,TEKİRDAĞ,Çorlu Belediyesi Spor Salonu,,ÇETİN ARTAN,AHMET BİLAL ÖZTÜRK,ALPER GÖKÇEBEL,MELİH SABRİ KAZMAZ,HİLAL TARIER,SERAP MAVİSU,ATA UĞUR ÖNGEL,MERYEM MUTLU KIYICI,Çorlu Belediyesi Spor Salonu
18.10.2019,18:00,3EA1456,02,KARŞIYAKA BELEDİYESPOR,56 - 72,BORNOVA BOSSAN,,İZMİR,Zühtü Işıl Spor Salonu,,AHMET KÖSE,TAYLAN ÖZGÜR ÜLTEN,TURGUT KARATOP,GÖRKEM BIÇAKCIOĞLU,HALİME ULUDAĞ,SİNEM YENİ,CANSU ÇOBAN,SONER AKARSU,Zühtü Işıl Spor Salonu
18.10.2019,18:30,3EA1455,02,BEYLİKDÜZÜ BASKETBOL,58 - 69,GEÇİT SPOR,,İSTANBUL,Gazanfer Bilge,,BUĞRA ÇAĞATAY SAVAŞ,SALİH SERKAN KOÇAK,ÜNAL ÖZDEMİR,YAŞAR TERZİOĞLU,BİROL ŞİMŞEK,MELDA ÇAKIRCA,TUTKU MELİS AYGÜN,BİROL ÖZDAL,Gazanfer Bilge
19.10.2019,14:30,3EA1454,02,BAŞKENT YENİŞEHİR,71 - 58,MURAT PAŞAOĞLU,,ANKARA,MEB Beşevler Spor Salonu,,SERHAT DÜLGER,SABRİ GÜNDÜZ,SALİH ACAR,UĞUR MADIRGA,TUNCER ULUŞEKER,FATİH DEMİRCİ,FATMA ÇELİK,FUNDA KONCA,MEB Beşevler Spor Salonu
