Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
5.10.2018,13:00,2BA2883,01,NESİBE AYDIN,60 - 91,ÇANKAYA ÜNİVERSİTESİ,,ANKARA,TOBB ETÜ Spor Salonu ,,HALDUN ÇOBAN,SALİH ARDA UNUL,BARAN AVŞAR,FİLİZ ÖGET,FATMA DENİZ SÖNMEZ,RESUL GEÇER,VEYSEL SİNAN TUNCER,ONUR YEŞİLBAĞ,TOBB ETÜ Spor Salonu
5.10.2018,14:00,2BA2888,01,MERSİN ÜNİVERSİTESİ,88 - 59,İSTANBUL ÜNİVERSİTESİ GELİŞİM,,MERSİN,Mersin Üniversitesi Spor Salonu,,ABDULLAH UYANIK,ÖZKAN ÇAĞLAYAN,ALİ BARAN TECİRLİ,YUSUF BÜYÜKFİDAN,FİKRET KARAYAĞMURLU,CANER SERTEL,SADIK ŞAHİN,ERSİN MUŞTU,Mersin Üniversitesi Spor Salonu
5.10.2018,15:00,2BA2885,01,A KOLEJİ,68 - 54,BURSA BŞB.,,ORDU,Durugöl Recep Kara Spor Salonu,,CİHAN CEYLAN,ALPER TACETTİN,KAMİL ALOK,UMUT GÜVEN,ASİYE GAZ,MUHSİN ARDA İNCE,ELİF YILDIRIM,BEYZANUR ŞEKER,Durugöl Recep Kara Spor Salonu
5.10.2018,18:00,2BA2884,01,BAYRAKLI BELEDİYESİ,58 - 55,MARDİN BÜYÜKŞEHİR BELEDİYE,,İZMİR,Bayraklı Mustafa Kemal Atatürk Spor Salonu,,AHMET KÖSE,AHMET BİLAL ÖZTÜRK,HASAN KAMİL TAKINYALIOĞLU,DİDEM SÜER,EBRU DIVRAK,ALİ DEVECİ,ONUR BURAK,SİBEL DÖŞEMECİ,Bayraklı Mustafa Kemal Atatürk Spor Salonu
6.10.2018,13:00,2BA2890,01,ELAZIĞ İL ÖZEL İDARE,79 - 84,URLA BELEDİYESİ,,ELAZIĞ,Elazığ İl Özel İdare S.S.,,SAMET BİNER,YASİN GÜLAP,HASAN MESUT DEMİR,NAİL DEĞİRMENCİ,DİDEM YAVUZ SÖYLER,SEMANUR BOZKURT,FATMA SELCEN HATİPOĞLU,AYŞE GÜNHAN,Elazığ İl Özel İdare S.S.
6.10.2018,14:00,2BA2886,01,İSTANBULGÜCÜ,67 - 63,MERSİN BŞB. GELİŞİM,,İSTANBUL,Caferağa Spor Salonu,,SALİH SERKAN KOÇAK,BURAK DURMUŞ,NUR AKÇA,SEVGİNAZ DIRAHOR,ALTAN CANDAN,AREZU KARAKAŞ,BURCU DEMİRAY,ARZU KÖRKEN,Caferağa Spor Salonu
6.10.2018,15:00,2BA2889,01,EDREMİT BLD. GÜRESPOR,81 - 51,GALATASARAY GELİŞİM,,BALIKESİR,Edremit Spor Salonu,Youtube / TBF TV,HAVVA MİRHAN ATEŞER,ÖMER SARI,SERAY AK,ELA ONAT,EYLEM KAYA,MUSA ÇALIŞKAN,HAKAN KÜLAHLI,ERCAN ÇAVUŞOĞLU,Edremit Spor Salonu
6.10.2018,17:00,2BA2887,01,YALOVA VİP GENÇLİK,60 - 64,AKDENİZ ÜNİVERSİTESİ,,YALOVA,90. Yıl Spor Salonu,,ÖZKAN TALO,EDA DEMİR,CAN ÜTKÜR,HAKAN BEŞTEPE,GÖKÇEN ŞAHİN,ÇAĞLAR SARIDEDE,MEHMET ALABACAK,OĞUZ KARAHAN,90. Yıl Spor Salonu
12.10.2018,13:30,2BA2891,02,NESİBE AYDIN,58 - 64,MARDİN BÜYÜKŞEHİR BELEDİYE,,ANKARA,TOBB ETÜ Spor Salonu ,,ÖMER SARI,ESMA KÜÇÜKŞENTÜRK,ERDOĞAN ÇELEBİ,HALDUN KUNT,FATMA ÇELİK,VEYSEL SİNAN TUNCER,FATMA DENİZ SÖNMEZ,RESUL GEÇER,TOBB ETÜ Spor Salonu
12.10.2018,14:00,2BA2898,02,ÇANKAYA ÜNİVERSİTESİ,83 - 73,ELAZIĞ İL ÖZEL İDARE,,ANKARA,Arı Koleji Olimpik Spor Salonu,Youtube / TBF TV,HAVVA MİRHAN ATEŞER,ALİHAN CİVELEK,UMUT MEMİŞ,TUĞBA YURTSEVEN,SELDA UZUN,SERDAR KARAGÜÇ,MUSA SAFA SARI,SEÇİL ÇAPKINOĞLU,Arı Koleji Olimpik Spor Salonu
12.10.2018,16:30,2BA2895,02,İSTANBUL ÜNİVERSİTESİ GELİŞİM,71 - 57,YALOVA VİP GENÇLİK,,İSTANBUL,Prof. Dr. Turgay Atasü Spor Salonu,,BURAK DURMUŞ,SELENA GAMZE ÖGET ÇERÇİ,HAKAN ÇETİN,ZEYNEP BALCI,BİROL ŞİMŞEK,KEREM SIRMAGİL,OSMAN AŞIK,MURAT ÖZKAN,Prof. Dr. Turgay Atasü Spor Salonu
12.10.2018,18:00,2BA2893,02,MERSİN BŞB. GELİŞİM,56 - 72,A KOLEJİ,,MERSİN,Edip Buran Spor Salonu,,HALDUN ÇOBAN,SAMET BİNER,BURAK ERKAN,CEM CENGiZ,VİLDAN KÖROĞLU EZER,MELDA KÖKLÜER,ŞÜKRÜ SITKI,BEYHAN  AYÜSTÜN,Edip Buran Spor Salonu
13.10.2018,14:00,2BA2894,02,AKDENİZ ÜNİVERSİTESİ,58 - 68,İSTANBULGÜCÜ,,ANTALYA,Akdeniz Üni. Gazi Mustafa Kemal Spor Salonu,,CİHAN CEYLAN,BURAK MERT DEMİRTAŞ,MUSTAFA SELÇUK,ÖZGÜR NALBANT,MELEK AKAN,SEVCAN CELİL,ŞÜKRAN KEPEZ,NİLÜFER GÖK AKDAĞ,Akdeniz Üni. Gazi Mustafa Kemal Spor Salonu
13.10.2018,14:00,2BA2897,02,URLA BELEDİYESİ,70 - 62,EDREMİT BLD. GÜRESPOR,,İZMİR,12 Eylül Spor Salonu,,AHMET KÖSE,TAYLAN ÖZGÜR ÜLTEN,DERYA ÇELİK,FAYSAL AYDEMİR,GİZEM ÖZAYDIN,GÜLTEKİN DAĞDEVİREN,ELİF KALENDER,AYBİKE GÖCEKLİ,12 Eylül Spor Salonu
14.10.2018,13:00,2BA2896,02,GALATASARAY GELİŞİM,66 - 63,MERSİN ÜNİVERSİTESİ,,İSTANBUL,Ahmet Cömert Spor Salonu,,ÖZKAN TALO,AYSUN ERGİN ÇETİNKAYA,BARIŞ ÖZTÜRK,ADNAN KIVANÇ,TUĞÇE KAYA,HİLMİ CANKUT AYNAR,YÜKSEL NAZLIGÜL,NEŞE KIRAN,Ahmet Cömert Spor Salonu
14.10.2018,14:00,2BA2892,02,BURSA BŞB.,69 - 63,BAYRAKLI BELEDİYESİ,,BURSA,Tofaş Spor Salonu,,SALİH ARDA UNUL,ESRA YILDIZ,ÖMER KALAYDIN,SELMA YILMAZ SARIOĞLU,HİLAL YÜKSEL TERCAN,TEOMAN ÖYLEK,TAMER DENİZ,FATİH DURGUT,Tofaş Spor Salonu
17.10.2018,13:00,2BA2906,03,MARDİN BÜYÜKŞEHİR BELEDİYE,60 - 69,ÇANKAYA ÜNİVERSİTESİ,,MARDİN,Artuklu Yeni Spor Salonu,,ABDULLAH UYANIK,BURAK ERKAN,HASAN MESUT DEMİR,REMZİ ŞEN,EYMEN ÇAKIRCA,MEDENİ BÜLBÜL,İBRAHİM BARIŞ ERDOLU,EMRAH AĞALDAY,Artuklu Yeni Spor Salonu
17.10.2018,13:30,2BA2899,03,NESİBE AYDIN,91 - 89,BURSA BŞB.,,ANKARA,TOBB ETÜ Spor Salonu ,,ÖZKAN ÇAĞLAYAN,SERAY AK,BURAK MERT DEMİRTAŞ,MUSTAFA KOCAEREN,SELDA UZUN,RESUL GEÇER,PELİN KUZU,ONUR YEŞİLBAĞ,TOBB ETÜ Spor Salonu
17.10.2018,14:00,2BA2902,03,İSTANBULGÜCÜ,73 - 44,İSTANBUL ÜNİVERSİTESİ GELİŞİM,,İSTANBUL,Caferağa Spor Salonu,,ELİF İNCİ,SALİH ARDA UNUL,ALPER TACETTİN,HÜSEYİN OSMAN BÜYÜKGÖKSU,AHMET ERKASAP,EBRU ULUDOĞAN,SEDA İŞLER,ELA ZÜLEYHA ÖZER,Caferağa Spor Salonu
17.10.2018,15:00,2BA2903,03,YALOVA VİP GENÇLİK,96 - 57,GALATASARAY GELİŞİM,,YALOVA,90. Yıl Spor Salonu,,AHMET KÖSE,ESRA YILDIZ,ERDOĞAN ÇELEBİ,MACİT ZEREN,ELMAS DEMİREL AYDEMİR,ALPER İŞLER,İBRAHİM HALİL SİVİL,SİNEM GÜL,90. Yıl Spor Salonu
17.10.2018,15:00,2BA2901,03,A KOLEJİ,80 - 53,AKDENİZ ÜNİVERSİTESİ,,ORDU,Durugöl Recep Kara Spor Salonu,TV52,SALİH SERKAN KOÇAK,HASAN KAMİL TAKINYALIOĞLU,HAKAN ÇETİN,DOĞAN ÜMİT BAYTUT,ASİYE GAZ,ELİF YILDIRIM,ŞAKİR İPEK,SABİRE AYYÜCE DURMUŞ,Durugöl Recep Kara Spor Salonu
17.10.2018,17:00,2BA2904,03,MERSİN ÜNİVERSİTESİ,45 - 70,URLA BELEDİYESİ,,MERSİN,Mersin Üniversitesi Spor Salonu,,HALDUN ÇOBAN,CAN ÜTKÜR,KAMİL ALOK,SERKAN SU,SÜREYYA KANALICI,CANER SERTEL,ŞÜKRÜ SITKI,LEVENT YORULMAZ,Mersin Üniversitesi Spor Salonu
17.10.2018,18:00,2BA2905,03,EDREMİT BLD. GÜRESPOR,50 - 59,ELAZIĞ İL ÖZEL İDARE,,BALIKESİR,Edremit Spor Salonu,Youtube / TBF TV,ÖZKAN TALO,BURAK DURMUŞ,BARAN AVŞAR,ELA ONAT,YAĞMUR CEREN KARAGÖZ,MEHMET BÜYÜKTÜRK,MUSA ÇALIŞKAN,MERVE TELLİBAYRAKTAR,Edremit Spor Salonu
17.10.2018,18:00,2BA2900,03,BAYRAKLI BELEDİYESİ,67 - 61,MERSİN BŞB. GELİŞİM,,İZMİR,Bayraklı Mustafa Kemal Atatürk Spor Salonu,,HAVVA MİRHAN ATEŞER,ÖMER SARI,UMUT MEMİŞ,AHMET ÖZTÜRK,DİLEK GEDİK HANGÜL,BERRİN TURAN,SÜLEYMAN YALÇIN TORUNOĞLU,CEREN ÜNSEVER,Bayraklı Mustafa Kemal Atatürk Spor Salonu
20.10.2018,14:00,2BA2908,04,AKDENİZ ÜNİVERSİTESİ,66 - 85,BAYRAKLI BELEDİYESİ,,ANTALYA,Akdeniz Üni. Gazi Mustafa Kemal Spor Salonu,,FURKAN OZAN ÇÖVEN,MUSTAFA AKSOY,SEZER BOR,ÖZGÜR NALBANT,PELİN TOPCU,DEMET ÖZEN,ERKAN BÜDÜN,HÜSEYİN ERAY TOPCU,Akdeniz Üni. Gazi Mustafa Kemal Spor Salonu
20.10.2018,14:00,2BA2911,04,URLA BELEDİYESİ,74 - 43,YALOVA VİP GENÇLİK,,İZMİR,12 Eylül Spor Salonu,,CAN YANAR,SABRİ GÜNDÜZ,BURAK AKTAŞ,BÜLENT GÖKÇE,DİLEK GEDİK HANGÜL,HALİDE KAYA,ELİF KALENDER,TUĞBERK TOPLU,12 Eylül Spor Salonu
20.10.2018,15:00,2BA2913,04,ÇANKAYA ÜNİVERSİTESİ,78 - 54,EDREMİT BLD. GÜRESPOR,,ANKARA,Arı Koleji Olimpik Spor Salonu,Youtube / TBF TV,ORÇUN AKGÜL,TAHSİN ONUR BALSUN,MEHMET BATIKAN TEKER,HASAN GÜNGÖR,SİMAY ÇAKMAK,İBRAHİM BULUT,FATİH ŞEN,GÖZDE ÖZBEK,Arı Koleji Olimpik Spor Salonu
20.10.2018,16:00,2BA2912,04,ELAZIĞ İL ÖZEL İDARE,74 - 55,MERSİN ÜNİVERSİTESİ,,ELAZIĞ,Elazığ İl Özel İdare S.S.,,EYYÜP AYHAN,SÜLEYMAN EREN PEKDOĞAN,SONER TÜRKER,SEMAHATTİN YILDIZ,AYŞE GÜNHAN,SEMANUR BOZKURT,TUNA GÜZEL,FATMA SELCEN HATİPOĞLU,Elazığ İl Özel İdare S.S.
20.10.2018,16:30,2BA2909,04,İSTANBUL ÜNİVERSİTESİ GELİŞİM,63 - 91,A KOLEJİ,,İSTANBUL,Prof. Dr. Turgay Atasü Spor Salonu,,SALİH ÖZYURT,GÜNEY BİRLİK,ALMİNA KOCABAŞ,AHMET MÜNİR GÖKMEN,BİROL ŞİMŞEK,BEKİR SEVİMLİ,YÜCEL FIRAT,EROL TAHTAKESEN,Prof. Dr. Turgay Atasü Spor Salonu
21.10.2018,13:00,2BA2910,04,GALATASARAY GELİŞİM,72 - 75,İSTANBULGÜCÜ,,İSTANBUL,Ahmet Cömert Spor Salonu,,HALUK YAKIN,UĞUR AKYILDIZ,FURKAN KESERATAR,EBRU ÖZTAŞKIRAN,TUTKU MELİS AYGÜN,NEŞE KIRAN,GÖRKEM GÖRGÜLÜ,GÜLTEKİN KABAŞ,Ahmet Cömert Spor Salonu
21.10.2018,14:00,2BA2907,04,MERSİN BŞB. GELİŞİM,63 - 60,NESİBE AYDIN,,MERSİN,Edip Buran Spor Salonu,,MEHMET BURAK ANLATICI,GÜRKAN DEMİR,ZEYNETTİN BİNÇ,SERDAR ALKAN,ŞÖLEN TORUN,LEVENT YORULMAZ,SADIK ŞAHİN,AYLİN ÖZER,Edip Buran Spor Salonu
21.10.2018,14:00,2BA2914,04,BURSA BŞB.,76 - 65,MARDİN BÜYÜKŞEHİR BELEDİYE,,BURSA,Tofaş Spor Salonu,,NİHAT KARA,MESUT ÇINAR,BURAK PEHLİVAN,ATİF AL,İREM ERGEN,NİDA ECE TÜZÜK,TEOMAN ÖYLEK,ZEHRA PINAR ÖZGÜR,Tofaş Spor Salonu
26.10.2018,13:30,2BA2915,05,NESİBE AYDIN,71 - 66,AKDENİZ ÜNİVERSİTESİ,,ANKARA,TOBB ETÜ Spor Salonu ,,EMRAH ŞATIR,AYGÜN AKGÜL,MELİKŞAH MERCAN,HALDUN KUNT,MEHTAP ADIGÜZEL,ANIL ENDER DURGUN,TUNCER ULUŞEKER,SİBEL FAZLIOĞLU,TOBB ETÜ Spor Salonu
26.10.2018,14:00,2BA2920,05,MERSİN ÜNİVERSİTESİ,82 - 56,EDREMİT BLD. GÜRESPOR,,MERSİN,Mersin Üniversitesi Spor Salonu,,BUĞRA ÇAĞATAY SAVAŞ,SİNAN ERTEKİN,EMRE DURSUN,YUSUF BÜYÜKFİDAN,YAREN SILA KÖKLÜER,LEVENT YORULMAZ,ŞÜKRÜ SITKI,FATMA ITIR ÖNCEL,Mersin Üniversitesi Spor Salonu
26.10.2018,15:00,2BA2917,05,A KOLEJİ,78 - 57,GALATASARAY GELİŞİM,,ORDU,Durugöl Recep Kara Spor Salonu,,RAMAZAN SEZER BARAN,ONUR BOZAN,KEMAL AFŞİN,MURAT TEMUR,ASİYE GAZ,ELİF YILDIRIM,ŞAKİR İPEK,TÜLAY SIRTBAŞ,Durugöl Recep Kara Spor Salonu
26.10.2018,18:00,2BA2916,05,BAYRAKLI BELEDİYESİ,80 - 38,İSTANBUL ÜNİVERSİTESİ GELİŞİM,,İZMİR,Bayraklı Mustafa Kemal Atatürk Spor Salonu,,GÖNENÇ ÇETİN,OKAN MUHAMMET ANLATICI,ABDULLAH ÖZKAN,BURAK BABAOĞLU,CANSU ÇOBAN,ASUMAN ARICAN ATAY,ALİ DEVECİ,EBRU DIVRAK,Bayraklı Mustafa Kemal Atatürk Spor Salonu
27.10.2018,14:00,2BA2918,05,İSTANBULGÜCÜ,45 - 50,URLA BELEDİYESİ,,İSTANBUL,Caferağa Spor Salonu,,MUSTAFA BAŞTÜRK,UĞUR ÇETİNEL,DURSUN UĞRAL,GENÇ OSMAN KOCAEREN,ARZU KÖRKEN,EDA KÜBRA BARIN,TOLGAY ÖZCAN,BURCU DEMİRAY,Caferağa Spor Salonu
27.10.2018,14:00,2BA2921,05,MARDİN BÜYÜKŞEHİR BELEDİYE,85 - 60,MERSİN BŞB. GELİŞİM,,MARDİN,Artuklu Yeni Spor Salonu,,FATİH EVLİ,MUSTAFA ÇELTİKER,YETER DOĞAN,METİN GÜRBÜZ,HAMDİN BİNGÜL,ABDULLAH BİLGİCİ,ABDULKADİR YÜKSEK,MEHMET SERDAR MUNGAN,Artuklu Yeni Spor Salonu
27.10.2018,17:00,2BA2919,05,YALOVA VİP GENÇLİK,63 - 79,ELAZIĞ İL ÖZEL İDARE,,YALOVA,90. Yıl Spor Salonu,,ŞEVKİ ENES CAN,ANIL HAMİT SAYAR,HÜSEYİN DALMAN,GÜNAY YAYLI,ELMAS DEMİREL AYDEMİR,ALPER İŞLER,MEHMET ALABACAK,SİNAN ALAGÖZ,90. Yıl Spor Salonu
28.10.2018,14:00,2BA2922,05,BURSA BŞB.,70 - 80,ÇANKAYA ÜNİVERSİTESİ,,BURSA,Tofaş Spor Salonu,,ALİ OSMAN KANIK,AHMET OĞUZHAN CİRİT,YUSUF SARPER DAĞLI,ZİYNİŞ ORUÇ,İREM ERGEN,CEREN YAVUZ,ADEM ÇATALKAŞ,NESİBE ÇAY,Tofaş Spor Salonu
2.11.2018,14:00,2BA2928,06,ÇANKAYA ÜNİVERSİTESİ,69 - 53,MERSİN ÜNİVERSİTESİ,,ANKARA,Arı Koleji Olimpik Spor Salonu,Youtube / TBF TV,AHMET KÖSE,ESRA YILDIZ,AHMET OZANER KUTAY,MUSTAFA KOCAEREN,KEZBAN EBRU ERDOĞAN,TUNCER ULUŞEKER,SELDA UZUN,SİBEL FAZLIOĞLU,Arı Koleji Olimpik Spor Salonu
2.11.2018,18:00,2BA2930,06,MERSİN BŞB. GELİŞİM,54 - 89,BURSA BŞB.,,MERSİN,Edip Buran Spor Salonu,,AYSUN ERGİN ÇETİNKAYA,SALİH OCAKOĞLU,ALİ BARAN TECİRLİ,YUSUF BÜYÜKFİDAN,SÜREYYA KANALICI,FİKRET KARAYAĞMURLU,ŞÜKRÜ SITKI,FATMA ITIR ÖNCEL,Edip Buran Spor Salonu
