Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
8.03.2025,13:00,BEA5766,01,GAZİANTEP ŞEHİTKAMİL BELEDİYESPOR,76 - 66,AREN ATHLETICS,D,GAZİANTEP,Hasan Kalyoncu Üniversitesi Gazikent Spor Salonu,,EMRE YELDAŞ,MEHMET SEÇKİN ÖZTÜRK,YILDIZ NESLİHAN PEKER,SAVAŞ BAYRAM ERTÜRK,MEHMET MUSTAFA POLAT,MURAT ÖZGÜNEŞ,MEHMET ALİ KÖYBAŞI,MEHMET CEMİL BOZYEL,Hasan Kalyoncu Üniversitesi Gazikent Spor Salonu
8.03.2025,14:30,BEA5768,01,KEÇİÖREN BELEDİYESİ BAĞLUM,91 - 60,MERSİN BAROSU S.K.,D,ANKARA,Mamak Belediyesi Hidayet Türkoğlu Spor Salonu,,TAYFUN KARAKUM,KADİR BERDAN ŞEKER,BERKAY GÜNEŞ,PINAR ÖNER,BURCU KOCAOĞLU,SİBEL FAZLIOĞLU,EREN YILDIRIM,FUNDA KONCA,Mamak Belediyesi Hidayet Türkoğlu Spor Salonu
8.03.2025,15:00,BEA5770,01,GEREDE HEDEF SPOR,77 - 75,ANKARA TÜRK TELEKOM,E,BOLU,17 Temmuz Spor Salonu,,BEYHAN ERBİLGİN,HÜSEYİN MERİÇ ÇAKIR,OSMAN KINCAL,ZEKERİYA ŞAHAN,SEVİM AKTAŞ,BANU KARATAŞ,ÖZGE KOZLU,ELİF DAĞLIOĞLU,17 Temmuz Spor Salonu
8.03.2025,15:00,BEA5771,01,DÜZCE 81 BASKETBOL,89 - 87,ÇORUM BELEDİYESİ,E,DÜZCE,Bahçeşehir Merkez Spor Kompleksi,,EMİRHAN SERTOĞLU,SERKAN İPEK,ONUR UĞUR ÇİÇEKDENK,KORAY DOĞAN URBARLI,ONUR OROÇ,UFUK DOĞANAY,GÜLNİHAL ERDEM,EGEMEN ERGÜN,Bahçeşehir Merkez Spor Kompleksi
8.03.2025,15:00,BEA5773,01,CUMHURİYET ÜNİVERSİTESİ,57 - 59,ENDER KARŞIYAKA,F,SİVAS,Taha Akgül Spor Salonu,,SALİH SERKAN KOÇAK,YASEMİN KUNDAKÇI,AHMET EMRE PEHLİVAN,ŞABAN KAYMAK,ERKAN DELİKTAŞ,BURAKHAN ÖZMEN,FİLİZ BEKÇİOĞLU,MEHLİKA YEĞİNER,Taha Akgül Spor Salonu
8.03.2025,16:00,BEA5762,01,KÜTAHYA BELEDİYESPOR,79 - 89,YILDIZLAR TOPLULUĞU ALLSTAR,B,KÜTAHYA,Dumlupınar Spor Salonu,,SABRİ GÜNDÜZ,BUSE NUR KAHYAOĞULLARI,HASAN ENES AYAZ,ZAFER ENÜŞTÜLÜ,ZÜHRE SELVİTOPU,GÜLER DAŞKIN,GÜLHAN DİKE SEVİN,MERYEM FETEN,Dumlupınar Spor Salonu
9.03.2025,14:00,BEA5760,01,EDİRNE MEGA GENÇ,75 - 48,ÇORLU GÜCÜ,A,EDİRNE,Edirne Mimar Sinan Spor Salonu,,MUSA ONUR SAVAŞ,ERTUĞRUL TURAN TOPAL,İREM GÖRDES,NAİM ÖZYEŞİLPINAR,DENİZ AZAZ,ELİF ÖÇAL,BURAK TUNALI,NUR ZEYNEP GÜLAY,Edirne Mimar Sinan Spor Salonu
9.03.2025,14:30,BEA5774,01,GİRESUN BELEDİYESPOR,20 - 0,YENİORDU FİNALSPOR,F,GİRESUN,19 Eylül Kapalı Spor Salonu,,KAMİL ALOK,HAKAN ÇETİN,ŞÜKRİYE NUR KIZIL,ZELİHA BAYRAKTAR,AYŞE IŞIK,TANSEL TOPŞİR,BUSE ÖZDEMİR,ÖZLEM ÖZKANLI BIÇAKCI,19 Eylül Kapalı Spor Salonu
9.03.2025,15:00,BEA5767,01,KARATAY BELEDİYESPOR,65 - 50,ÇUKUROVA ÜNİVERSİTESİ,D,KONYA,Karatay Spor ve Kongre Merkezi (Büyük),,OSMAN YETİŞKİN,ANASTASIIA USOVA,EMİN YEŞİL,ALPER DÖNMEZ,SEFA KELEŞ,OSMAN KESER,HEDİYE BALIKCI,MUSTAFA HARTÜN,Karatay Spor ve Kongre Merkezi (Büyük)
9.03.2025,15:30,BEA5772,01,ATAKUM BELEDİYESPOR,73 - 79,İR-AY GİRESUN KERASUSSPOR,F,SAMSUN,Mustafa Dağıstanlı Spor Salonu,,FATİH OĞUZHAN,HÜSEYİN MERT ŞEKER,TAHİR EROĞLU,BURAK KARAMUSTAFAOĞLU,SEDA ÖZDEMİR,PELİN ESMA CAYVARLI,ESRA BAYZAT,SEFER ZİNNUR YİRMİBEŞOĞLU,Mustafa Dağıstanlı Spor Salonu
9.03.2025,16:00,BEA5759,01,LÜLEBURGAZ GENÇLİKSPOR,77 - 114,BOĞAZİÇİ AKADEMİ,A,KIRKLARELİ,Lüleburgaz Spor Salonu,,SAMET TEKİN,MELİK KAYA,İREM KORKMAZ,MELİH ERGENE,ÖZGÜ YILAN,DERYA EVCEN,GÖRKEM BÜYÜKKAYA,SEYHAN GÜNTÜRK,Lüleburgaz Spor Salonu
9.03.2025,17:00,BEA5764,01,SUADİYE BASKETBOL,63 - 42,SERDİVAN BELEDİYESİ,C,İSTANBUL,Caferağa Spor Salonu,,OZAN GÜNDÜZ,İLAYDA SEZAN,MEHMET HAKAN ALATAŞ,ÖNDER ŞENEL,MURAT GÜRKAN,PERİHAN GİZEM ÜNSAL,ESER FIRIL,ZEHRA AKAN,Caferağa Spor Salonu
9.03.2025,17:00,BEA5765,01,ÇİFTLİKKÖY BELEDİYESPOR,78 - 70,İZMİR BBSK,C,YALOVA,90. Yıl Spor Salonu,,HALUK YAKIN,ARDA NAVRUZ,IŞILAY ÇAPRAZ,MEHMET KAŞİF BATTAL,ZELİHA DEMİR,GÜLEN SÖNMEZ,HANİFE CELEPOĞLU,İBRAHİM HALİL SİVİL,90. Yıl Spor Salonu
9.03.2025,18:00,BEA5763,01,AYKİM SÖKE BASKET S.K.,89 - 86,MUĞLA ÜNİVERSİTESİ,B,AYDIN,Kuşadası Spor Salonu,,METİN SARIOĞLU,MELİH BAĞLAR,FURKAN KÖSE,SİBEL SARIDAĞ,SEHER GÖNEN,TUTKU BAKI,EZGİ HAN,ONUR ÖZABAY,Kuşadası Spor Salonu
9.03.2025,18:00,BEA5769,01,PURSAKLAR BELEDİYESPOR,44 - 61,MERZİFON BELEDİYESPOR,E,ANKARA,Ankara Taha Akgül Spor Salonu,,OSMAN CAN GÜNDOĞDU,MEHMET KURTULUŞ SAVAŞ,SEDAT ERKOL,HALİL SERTDURAK,SÜMEYYE SENEKLİOĞLU,ALPER KESEN,FİKRET MERCAN,YENER SALMAN,Ankara Taha Akgül Spor Salonu
10.03.2025,20:30,BEA5761,01,YUGOS BASKET,74 - 64,İZMİT AKADEMİ,A,İSTANBUL,Hidayet Türkoğlu Spor Kompleksi,,ŞEYHMUS MELEK,SALİH ACAR,TALİP KOCAÖZ,YAŞAR SİNAN ÇELİKOĞLU,ELANUR BAYINDIR,YÜKSEL NAZLIGÜL,MERVE GÜLDAŞ,ŞERMİN NAZLIGÜL,Hidayet Türkoğlu Spor Kompleksi
14.03.2025,13:00,BEA5782,02,AREN ATHLETICS,56 - 85,KARATAY BELEDİYESPOR,D,ANKARA,TOBB ETÜ Spor Salonu ,,ALPEREN BAŞER,CELAL GÖRMÜŞ,ARMAN ATLI,ÖNDER ŞENEL,ELİF CAN,BERNA EKBİÇ,KORAY ÖZÇELİK,YÜSRA BAKIRCI,TOBB ETÜ Spor Salonu
14.03.2025,20:00,BEA5775,02,BOĞAZİÇİ AKADEMİ,89 - 85,EDİRNE MEGA GENÇ,A,İSTANBUL,Ünalan Muhsin Yazıcıoğlu Spor Merkezi,,DERYA ÇELİK,İSMAİL BALPETEK,EGEHAN SERT,DAĞHAN ÇELEBİ,BURAK DEMİREL,AHMET ERKASAP,TUĞBA DURNAOĞLU,ESER FIRIL,Ünalan Muhsin Yazıcıoğlu Spor Merkezi
15.03.2025,14:00,BEA5785,02,MERZİFON BELEDİYESPOR,61 - 51,GEREDE HEDEF SPOR,E,AMASYA,Merzifon Spor Salonu,,KAMİL ALOK,KEMAL VURAL,ANIL YEŞİLDAĞ,SİBEL KANIK,ESRA TOPAL,GÜLSEDA TOPAL,BİRCAN VARLI,YASEMİN KAYA,Merzifon Spor Salonu
15.03.2025,14:00,BEA5779,02,MUĞLA ÜNİVERSİTESİ,41 - 86,TİRE BELEDİYESPOR,B,MUĞLA,Menteşe Spor Salonu,,OZAN İNCE,KÜBRA GÜMÜŞ,CEMRE YILDIRIM,EMRE GÜLŞEN,EBRU AYDIN,EVREN ERTOY,MELİKE GÜROL,ORHAN SELÇUK,Menteşe Spor Salonu
15.03.2025,14:00,BEA5780,02,İZMİR BBSK,70 - 73,SUADİYE BASKETBOL,C,İZMİR,Celal Atik Spor Salonu,,EMİN YEŞİL,BERK BÜKE,HÜSEYİN CENGİZ,CANSU DİNDAR,HALİME ULUDAĞ,GÜLTEKİN DAĞDEVİREN,FATİH BULUT,HAKAN DÖNMEZ,Celal Atik Spor Salonu
15.03.2025,14:00,BEA5789,02,YENİORDU FİNALSPOR,57 - 72,ATAKUM BELEDİYESPOR,F,ORDU,Baş Pehlivan Recep Kara Spor Salonu,,SONER TÜRKER,YASEMİN KUNDAKÇI,MAHİR ÇITAK,ZELİHA BAYRAKTAR,TÜLAY SIRTBAŞ,ELİF YILDIRIM,ÖZGÜR SIRTBAŞ,UMUT ULUTAŞ,Baş Pehlivan Recep Kara Spor Salonu
15.03.2025,15:00,BEA5788,02,İR-AY GİRESUN KERASUSSPOR,58 - 55,CUMHURİYET ÜNİVERSİTESİ,F,GİRESUN,19 Eylül Kapalı Spor Salonu,,ALİHAN CİVELEK,HALİL İBRAHİM CANTÜRK,MUHAMMET ALİ YAVUZ,TUNAHAN  DEMİR,MİHRİBAN ÇİĞDEM,TANSEL TOPŞİR,SEMANUR AKILLI,ÖZLEM ÖZKANLI BIÇAKCI,19 Eylül Kapalı Spor Salonu
15.03.2025,15:00,BEA5783,02,MERSİN BAROSU S.K.,69 - 77,GAZİANTEP ŞEHİTKAMİL BELEDİYESPOR,D,MERSİN,Edip Buran Spor Salonu,,SALİH DALMAN,HASAN HÜSEYİN DEVECİ,EMRE YOLALAN,MURAT DEMİRATAN,BETÜL ÖZCAN,AHMET ÖZDOĞAN,HURİYE ERGENÇ,RABİA YILDIZ ÖZTÜRK,Edip Buran Spor Salonu
15.03.2025,17:00,BEA5787,02,ANKARA TÜRK TELEKOM,78 - 67,DÜZCE 81 BASKETBOL,E,ANKARA,Ankara Spor Salonu (Küçük),,AHMET BASRİ YILDIZ,HASAN KORKMAZ,TUANA ATEŞ,PINAR ÖNER,MELTEM BULUREL,ALİ MURAT SUNGUR,ANIL ENDER DURGUN,BİLAL UZGÖREN,Ankara Spor Salonu (Küçük)
16.03.2025,14:00,BEA5786,02,ÇORUM BELEDİYESİ,58 - 53,PURSAKLAR BELEDİYESPOR,E,ÇORUM,Çorum Atatürk Spor Salonu,,ONUR AÇIKYÜZ,RECEP GÜRKAN ÖZKAN,ULAŞ ARSLAN,SİBEL KANIK,SUHEYL İSMAİL HEKİM,EDA ÇAĞLAN,ÖZGE ESER,HAKAN KAYA,Çorum Atatürk Spor Salonu
16.03.2025,15:00,BEA5790,02,ENDER KARŞIYAKA,77 - 85,GİRESUN BELEDİYESPOR,F,TRABZON,Hayri Gür Spor Salonu,,TAYFUN KARAKUM,ALİ KÜÇÜKERDEM,ŞÜKRİYE NUR KIZIL,MEHMET SERDAR ÇÖZELİ,İREM KARACA,ŞEYDANUR ATALAR,YELİZ KIRBIYIK,HASAN POLAT ÇAKIR,Hayri Gür Spor Salonu
16.03.2025,16:00,BEA5784,02,ÇUKUROVA ÜNİVERSİTESİ,83 - 86,KEÇİÖREN BELEDİYESİ BAĞLUM,D,ADANA,Menderes Spor Salonu,,ALİ CAN YILMAZ,BERKİN YÜCER,SÜLEYMAN YILDIZ,TURGAY KÖROĞLU,CANSU DİKİLİTAŞ,MEHMET MURAT KÖMÜRHANLI,DOĞA SÜREL,MEHTAP TOSUN,Menderes Spor Salonu
16.03.2025,17:00,BEA5776,02,İZMİT AKADEMİ,92 - 61,LÜLEBURGAZ GENÇLİKSPOR,A,KOCAELİ,Kocaeli Atatürk Spor Salonu,,METİN ÜSTER,EREN AKPULAT,BETÜL UNTUÇ,KORAY DOĞAN URBARLI,BERFU BARUT,SUDENUR DUMAN,YILDIZ BUĞDACI,ÖZGÜR COŞKUN,Kocaeli Atatürk Spor Salonu
16.03.2025,18:00,BEA5778,02,YILDIZLAR TOPLULUĞU ALLSTAR,101 - 71,AYKİM SÖKE BASKET S.K.,B,İZMİR,Gaziemir Spor Salonu,,SEÇKİN ŞENTÜRK,ŞEVKET KUTLUHAN KANBUROĞLU,SEDAT ERKOL,ÖZCAN PAMUK,ESMA UNTUÇ,ÇAĞATAY KAMER VANLIOĞLU,ARZU AKINCI,SADIK ERGÜL,Gaziemir Spor Salonu
16.03.2025,19:00,BEA5777,02,ÇORLU GÜCÜ,74 - 71,YUGOS BASKET,A,TEKİRDAĞ,Çorlu Spor Salonu,,ALPER CAN BOZYEL,IŞILAY ÇAPRAZ,ALİ KAAN USLU,CEM ATMACA,FECRİYE GÜDER,BİLGİNAR KARABIYIK,EMİNE TERZİOĞLU,ATA UĞUR ÖNGEL,Çorlu Spor Salonu
16.03.2025,20:30,BEA5781,02,BAYRAMPAŞA BELEDİYESPOR,89 - 83,ÇİFTLİKKÖY BELEDİYESPOR,C,İSTANBUL,Bayrampaşa Belediyesi Semih Erden Spor Salonu,,FURKAN  SÖYLEMEZOĞLU,HASAN TUNÇ KESKİN,UTKU SARI,DAĞHAN ÇELEBİ,ELANUR BAYINDIR,AHMET YILDIZ,MERVE GÜLDAŞ,KEREM SIRMAGİL,Bayrampaşa Belediyesi Semih Erden Spor Salonu
