Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
26.09.2020,13:00,1EA3310,01,FENERBAHÇE BEKO,105 - 72,OGM ORMANSPOR,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,TİVİBU Spor 2,ÖZLEM YALMAN,MEHMET OZAN ÇAKAR,SERHAT BÜKER,HURŞİT CEM AKAN,ESER FIRIL,AHMET ERKASAP,SEDA İŞLER,YEŞİM ÖZCAN ÖZTÜRK,Ülker Spor ve Etkinlik Salonu
26.09.2020,15:15,1EA3311,01,FRUTTİ EXTRA BURSASPOR,89 - 73,BEŞİKTAŞ ICRYPEX,,BURSA,Tofaş Spor Salonu,TİVİBU Spor,AYTUĞ EKTİ,MEHMET ŞAHİN,KEREM BAKİ,HAKAN BEŞTEPE,CEREN YAVUZ,SEVDA USTA,BERNA EKBİÇ,TEOMAN ÖYLEK,Tofaş Spor Salonu
26.09.2020,17:30,1EA3312,01,GALATASARAY,56 - 80,ANADOLU EFES,,İSTANBUL,Sinan Erdem Spor Salonu,TİVİBU Spor 2,EMİN MOĞULKOÇ,SEMİH VURAL,ALİ KÖSEOĞLU,MEHMET ZAFER MİLLİ,TUTKU MELİS AYGÜN,AHMET YILDIZ,GÜL URASLI,CEYDA KAPKAÇ,Sinan Erdem Spor Salonu
27.09.2020,13:00,1EA3313,01,HDI SİGORTA AFYON BELEDİYESİ,78 - 70,EMPERA HALI GAZİANTEP BASKETBOL,,AFYONKARAHİSAR,Prof. Dr. Veysel Eroğlu Spor Salonu,TİVİBU Spor 2,MEHMET KESERATAR,AHMET TATLICI,SİNEM TETİK AKBAYRAK,EMİN FAZIL KESERATAR,HATİCE OKÇU,HASAN ALİ TUTAR,HASAN GÖRDES,FATMA BETÜL İŞSİZ,Prof. Dr. Veysel Eroğlu Spor Salonu
27.09.2020,15:15,1EA3314,01,BAHÇEŞEHİR KOLEJİ,84 - 73,TOFAŞ,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,TİVİBU Spor 2,MEHMET KARABİLECEN,OSMAN SİNAN İŞGÜDER,ÖZGE ŞENTÜRK BAYRAKTAR,TUĞBA YURTSEVEN,YÜKSEL NAZLIGÜL,ERMAN YÜCEL,HİLMİ CANKUT AYNAR,ALPKAN HACIYAKUPOĞLU,Akatlar Spor ve Kültür Kompleksi
27.09.2020,17:30,1EA3315,01,BÜYÜKÇEKMECE BASKETBOL,86 - 83,ALİAĞA PETKİM SPOR,,İSTANBUL,Gazanfer Bilge,TİVİBU Spor,CAN MAVİSU,ZİYA ÖZORHON,DUHAN KÖYİÇİ,ERKAN URASLI,MELDA ÇAKIRCA,YUSUF YELESDAĞ,SEMRA AKDUMAN,YÜCEL FIRAT,Gazanfer Bilge
27.09.2020,20:00,1EA3316,01,PINAR KARŞIYAKA,92 - 55,LOKMAN HEKİM FETHİYE BELEDİYE SPOR,,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,TİVİBU Spor 2,ZAFER YILMAZ,ALPER ALTUĞ KÖSELERLİ,POLAT PARLAK,İLKE ORTAÇ ALATAN,MERAL DURMAZ,GÖZDE ONAN,ŞAHİN ŞANLI,GİZEM ÖZAYDIN,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
7.10.2020,20:00,1EA3317,01,TÜRK TELEKOM,79 - 69,DARÜŞŞAFAKA TEKFEN,,ANKARA,Ankara Spor Salonu,TİVİBU Spor 3,AYTUĞ EKTİ,MEHMET ŞAHİN,KEREM BAKİ,HALDUN KUNT,GÖZDE ÖZBEK,İSMAİL FULSER,SİMAY ÇAKMAK,AKIN AYTEKİN,Ankara Spor Salonu
3.10.2020,13:00,1EA3321,02,EMPERA HALI GAZİANTEP BASKETBOL,59 - 55,PINAR KARŞIYAKA,,GAZİANTEP,Karataş Şahinbey Spor Salonu,TİVİBU Spor,OSMAN SİNAN İŞGÜDER,MEHMET SERDAR ÜNAL,SERHAT BÜKER,ALİ ATICI,TUĞBA DAGLIOĞLU,EKMEL CENGİZ,PINAR ŞAHİN,MUSTAFA BODUR,Karataş Şahinbey Spor Salonu
3.10.2020,15:15,1EA3318,02,LOKMAN HEKİM FETHİYE BELEDİYE SPOR,75 - 89,FRUTTİ EXTRA BURSASPOR,,MUĞLA,Fethiye Beşkaza Spor Salonu,TİVİBU Spor 2,ERŞAN KARTAL,AHMET TATLICI,ÖZGE ŞENTÜRK BAYRAKTAR,MEHMET DURU,SEVGİ ÖZKAN,NEVİN YAVAŞ ERTUĞRUL,YÜKSEL BÜYÜKADA,TUNCER FİKRİ ERTUĞRUL,Fethiye Beşkaza Spor Salonu
