Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
13.09.2023,17:00,1BA2980,01,ANTALYA TOROSLAR BASKETBOL,67 - 58,NESİBE AYDIN,,ANTALYA,Kepez Turgut Özal Spor Salonu,Youtube / TBF TV,FATİH GÜLER,FURKAN KESERATAR,SERHAT DÜLGER,MERT ELMA,BURHAN ÇİÇEK,SEVCAN CELİL,AYŞE ÖZMEN,KORAY ASAL,Kepez Turgut Özal Spor Salonu
13.09.2023,18:30,1BA2981,01,ÇBK MERSİN,0 - 20,FENERBAHÇE ALAGÖZ HOLDING,,MERSİN,Servet Tazegül Spor Salonu,"Youtube / TBF TV,SPORTSTV",KEREM BAKİ,ORKUN YURTTAŞ,MÜNEVVER ÖZEMRE,VEYSİ ORUK,NİL KİFAYET GÜRLÜ,RABİA YILDIZ ÖZTÜRK,MELDA KÖKLÜER,SABAHİTTİN KAZAN,Servet Tazegül Spor Salonu
13.09.2023,19:00,1BA2982,01,BEŞİKTAŞ  BOA,88 - 78,İLKEM YAPI TARSUS SPOR,,İSTANBUL,BJK Emlakjet Spor Kompleksi,Youtube / TBF TV,MURAT CİNER,METEHAN ALAÇAM,MUSTAFA GÜRHAN SOYSAL,EMİR GÜNEY,ÖZLEM TUNA,GÜLTEKİN KABAŞ,EMRE YAZICI,ERMAN YÜCEL,BJK Emlakjet Spor Kompleksi
13.09.2023,20:00,1BA2983,01,GALATASARAY ÇAĞDAŞ FAKTORING,56 - 46,EMLAK KONUT,,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,Youtube / TBF TV,ALİ ŞAKACI,FATMA ÖZTÜRK,KADİR GİRAY ESEN,AHMET MÜNİR GÖKMEN,KEREM SIRMAGİL,EMRAH RİFAİ,GÖKHAN ALTUNTAŞ,GÜL URASLI,Şehit Mustafa Özel Spor Kompleksi
14.09.2023,14:00,1BA2984,01,ÇANKAYA ÜNİVERSİTESİ,70 - 76,BOTAŞ,,ANKARA,Ankara Spor Salonu,Youtube / TBF TV,ALPER ÖZGÖK,MUHAMMED MURAT ZAFER,NAGEHAN ŞEYDA KURDEN AKTAŞ,HALDUN KUNT,MERT YILMAZ,HASAN BAŞKURT,MİNE MİHRİCAN KANBUR,VOLKAN DARCAN,Ankara Spor Salonu
14.09.2023,16:00,1BA2985,01,OGM ORMANSPOR,82 - 78,MEHMET KAVAN YAPI İZMİT BELEDİYESPOR,,ANKARA,M. Sait Zarifoğlu Spor Salonu,Youtube / TBF TV,POLAT PARLAK,MUSTAFA CANDEMİR TABAK,GÜNDOĞAN ALİ BALABAN,GÖKHAN ZEKERİYA ARSLAN,SELDA UZUN,FATİH DEMİRCİ,YASEMİN YILDIRIM,FATMA ÇELİK,M. Sait Zarifoğlu Spor Salonu
14.09.2023,18:00,1BA2986,01,MELİKGAZİ KAYSERİ BASKETBOL,94 - 84,BURSA ULUDAĞ BASKETBOL,,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,"Youtube / TBF TV,SPORTSTV",MEHMET ŞAHİN,ALMİNA KOCABAŞ,SAİT NEDİM ÇELİK,ABDULLAH ÖZSUVEREN,BÜLENT TOSUN,İDRİS KARATAŞ,İSMAİL DULDA,ALİM KILIÇ,Kadir Has Kongre Merkezi Spor Salonu
16.09.2023,15:00,1BA2987,02,İLKEM YAPI TARSUS SPOR,70 - 87,ANTALYA TOROSLAR BASKETBOL,,MERSİN,Servet Tazegül Spor Salonu,Youtube / TBF TV,TOLGA EDİS,METİN EROL,HASAN OK,EMRE BÜLENT ÖĞRAŞ,CANER CANDAR,SABRİ DUYGUN SAYDANOĞLU,FATMA ITIR ÖNCEL,BERK MERT,Servet Tazegül Spor Salonu
16.09.2023,17:00,1BA2988,02,EMLAK KONUT,51 - 46,BEŞİKTAŞ  BOA,,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,"Youtube / TBF TV,SPORTSTV",AHMET TATLICI,ERDOĞAN ÇELEBİ,SÜLEYMAN ÇAĞRI NAKİLCİOĞLU,FERHAT SUNA,MEHMET KAPUCU,PINAR ŞAHİN,KÜBRA TOPAL,YUSUF YELESDAĞ,Şehit Mustafa Özel Spor Kompleksi
17.09.2023,14:00,1BA2989,02,FENERBAHÇE ALAGÖZ HOLDING,84 - 56,GALATASARAY ÇAĞDAŞ FAKTORING,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,"Youtube / TBF TV,SPORTSTV",ALİ SERKAN EMLEK,ALPER GÖKÇEBEL,SEDA ESEN,ALİGÜRHAN UZUNAY,BEGÜM SAVAŞ,UFUK CAN SARI,MURAT GÜRKAN,ZEHRA AKAN,Fenerbahçe Metro Enerji Spor Salonu
17.09.2023,14:00,1BA2992,02,HATAY BÜYÜKŞEHİR BELEDİYESPOR,56 - 87,OGM ORMANSPOR,,HATAY,Hatay Merkez Spor Salonu,Youtube / TBF TV,SİNEM TETİK AKBAYRAK,MEHMET BURAK ANLATICI,SAFA HALİT ÇAKIR,YEŞİM ATUŞ KARAGÖZ,SEVSEM RAMAZAN,GAMZE İNAL,KADİR HANİFİ YILMAZ,MÜFİT ARSLAN,Hatay Merkez Spor Salonu
17.09.2023,15:30,1BA2990,02,MEHMET KAVAN YAPI İZMİT BELEDİYESPOR,76 - 71,ÇBK MERSİN,,KOCAELİ,Şehit Polis Recep Topaloğlu Spor Salonu,Youtube / TBF TV,BATUHAN SÖYLEMEZOĞLU,HÜSEYİN ÇAMCI,FATİH ERDOĞAN,MEHMET İSMET BAYRİ,SEVGİ CANDAZ,AYCAN PEKER,BERFU BARUT,ALEV KÖROĞLU,Şehit Polis Recep Topaloğlu Spor Salonu
17.09.2023,17:00,1BA2991,02,NESİBE AYDIN,82 - 68,MELİKGAZİ KAYSERİ BASKETBOL,,ANKARA,TOBB ETÜ Spor Salonu,Youtube / TBF TV,ÖZLEM YALMAN,SAMET BİNER,SELENA GAMZE ÖGET ÇERÇİ,KARDELEN ERDAŞ,UMUT AYBULUT,FUNDA KONCA,TUNCER ULUŞEKER,PELİN KUZU,TOBB ETÜ Spor Salonu
