Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
5.04.2019,18:00,BEA5197,01,GEÇİT SPOR,89 - 54,BİLECİK BELEDİYESİ,1. BÖLGE,BURSA,Bursa Atatürk Spor Salonu,,SALİH ARDA UNUL,CAN YANAR,BERK KURTULMUŞ,UĞUR AYDEMİR,HANDE NUR DOĞAN,TEOMAN ÖYLEK,FATİH DURGUT,HİLAL YÜKSEL TERCAN,Bursa Atatürk Spor Salonu
6.04.2019,12:45,BEA5250,01,ANKARA KAYI GENÇLİK,92 - 54,AÇI EĞİTİM KURUMLARI,3. BÖLGE,ANKARA,Ankara Spor Salonu (Küçük),,SONER TÜRKER,RIDVAN CÖMERT,TAYLAN KAYA,HALDUN KUNT,KAMİL TOSUN,MUSA SAFA SARI,SİNA KÜÇÜKDİLEK,GÖZDE ÖZBEK,Ankara Spor Salonu (Küçük)
6.04.2019,13:00,BEA5277,01,IĞDIR GENÇLİK SPOR,43 - 82,ÖZEL İDARE GENÇLERBİRLİĞİ,4. BÖLGE,IĞDIR,Iğdır Kazım Karabekir Spor Salonu,,METİN SARIOĞLU,HÜSEYİN DALMAN,ÖMER USLU,BURAK DEDE,RIDVAN TUTULMAZ,ATAKAN KOYUN,RAMAZAN UÇA,JALE AKBABA,Iğdır Kazım Karabekir Spor Salonu
6.04.2019,14:00,BEA5276,01,ŞUTİM SPOR,60 - 81,VOLKAN AKSOY SPOR,4. BÖLGE,ŞANLIURFA,Harran Üniversitesi Osmanbey Kampüsü Spor Salonu,,ZEYNETTİN BİNÇ,GÜNDOĞAN ALİ BALABAN,ABDURRAHMAN İNAL,ÖMER KAYMAZ,AYFER ÖZKİRİŞÇİ,HÜSEYİN ÇİFTÇİ,EYYÜP BAKİKOL,SERPİL ÇİFTÇİ,Harran Üniversitesi Osmanbey Kampüsü Spor Salonu
6.04.2019,18:00,BEA5249,01,ANADOLU BASKET,85 - 70,BAŞKENT YENİŞEHİR,3. BÖLGE,ANKARA,Ankara Spor Salonu (Küçük),,OKAN BERK TUNÇEL,SELENA GAMZE ÖGET ÇERÇİ,RIDVAN ARDA DEMİRCİ,MUSTAFA KOCAEREN,YUNUS KAHRAMAN,SEÇİL ÇAPKINOĞLU,HÜSEYİN MURAT EKİM,FATMA ÇELİK,Ankara Spor Salonu (Küçük)
6.04.2019,18:00,BEA5228,01,EGE ÜNİVERSİTESİ GSK,80 - 52,SALİHLİ BELEDİYE,2. BÖLGE,İZMİR,Celal Atik Spor Salonu,,ONUR BOZAN,AHMET TAYLAN ÖZTÜRK,YILDIZ TURAN,MURAT MISIRLI,MURAT GEDİK,CANSU ÇOBAN,ERKAN TURAN,GİZEM KULAKSIZ,Celal Atik Spor Salonu
7.04.2019,14:00,BEA5199,01,YEŞİM SPOR,66 - 78,YEŞİLYURT,1. BÖLGE,BURSA,Bursa Atatürk Spor Salonu,,SERAY AK,BARIŞ ÖZTÜRK,MERİÇ BAYAZIT,ZİYNİŞ ORUÇ,İREM İLKAY TABAN,ŞAFAK IRMAK SARAÇOĞLU,ERAY BABAHANOĞLU,SİNEM ERTEM,Bursa Atatürk Spor Salonu
7.04.2019,14:00,BEA5246,01,SAMSUN TELEKOM,77 - 65,MASTERLER,3. BÖLGE,SAMSUN,Mustafa Dağıstanlı Spor Salonu,,RAMAZAN SEZER BARAN,ALİHAN CİVELEK,ENES DURAN,CUMHUR ARSLAN,YEŞİM YILDIZ COŞKUN,MERVE SERDAR,MERT ABLAY,ESRA BAYZAT,Mustafa Dağıstanlı Spor Salonu
7.04.2019,17:30,BEA5225,01,SÖKE BASKET,55 - 85,UŞAK BELEDİYESİ BASKETBOL,2. BÖLGE,AYDIN,Söke Spor Salonu,,HALUK YAKIN,AHMET OĞUZHAN CİRİT,BUĞRA CEM İŞLEK,TURAN CAN OCAKOĞLU,EZGİ HAN,KAAN BERK BALCIOĞLU,ÖMER ÇAĞRI KARSAK,MELİH KAYA BERBER,Söke Spor Salonu
7.04.2019,18:00,BEA5196,01,ÇORLU BELEDİYESİ,69 - 63,MURAT PAŞAOĞLU SPOR,1. BÖLGE,TEKİRDAĞ,Çorlu Belediyesi Spor Salonu,,NURİ DİLMEN,BURAK MERT DEMİRTAŞ,ASLI KOÇAK,YAŞAR TERZİOĞLU,AHMET ERSÖZ,MİNEL ÇAKIR,HALİME ÇAKIR,GÜLCAN AYRIK,Çorlu Belediyesi Spor Salonu
10.04.2019,13:00,BEA5278,02,ÖZEL İDARE GENÇLERBİRLİĞİ,67 - 72,ŞUTİM SPOR,4. BÖLGE,BATMAN,Batman 19 Mayıs Spor Salonu,,BARAN VARLU,FARUK MİLLİ,SALİH OCAKOĞLU,YAŞAR ARIĞTEKİN,AYŞE BULUT,YUSUF GÜZEL,MESUT UTKUCU,DİLEK GÜZEL,Batman 19 Mayıs Spor Salonu
10.04.2019,13:00,BEA5280,02,MİDYAT BELEDİYESİ,97 - 44,IĞDIR GENÇLİK SPOR,4. BÖLGE,MARDİN,Artuklu Yeni Spor Salonu,,KAMİL TALHA OLGUN,HÜSEYİN EMRE EROL,ÜNAL ÖZDEMİR,ABDURRAHMAN ALTUN,HAMDİN BİNGÜL,İBRAHİM BARIŞ ERDOLU,HÜSEYİN IŞIK,BÜNYAMİN GÖKALEMİN,Artuklu Yeni Spor Salonu
10.04.2019,14:00,BEA5203,02,YEŞİLYURT,54 - 50,ÇORLU BELEDİYESİ,1. BÖLGE,İSTANBUL,Yeşilyurt Spor Salonu,,NİHAT KARA,METİN EROL,SAMET TEKİN,HÜSEYİN OSMAN BÜYÜKGÖKSU,ESİN MÜEZZİNOĞLU,CEYDA KAPKAÇ,GÜL URASLI,MERVE SAĞLAM,Yeşilyurt Spor Salonu
10.04.2019,14:00,BEA5255,02,BAŞKENT YENİŞEHİR,79 - 82,ANKARA KAYI GENÇLİK,3. BÖLGE,ANKARA,Ankara Spor Salonu (Küçük),,GÖRKEM SÜZEN,BURAK KAAN TAN,KAAN DAYAN,MEHMET KAŞİF BATTAL,MUHSİNE AYDIN,İBRAHİM BULUT,ONUR YEŞİLBAĞ,SİBEL FAZLIOĞLU,Ankara Spor Salonu (Küçük)
10.04.2019,15:00,BEA5229,02,İZMİR BŞB.,59 - 73,EGE ÜNİVERSİTESİ GSK,2. BÖLGE,İZMİR,Celal Atik Spor Salonu,,AHMET OĞUZHAN CİRİT,BARIŞ ÖZTÜRK,MERT KAYALI,MUSTAFA FIRAT,MERVE KOÇAK,FATMA DÖNMEZ,DİLEK GEDİK HANGÜL,MEHMET AKINCI,Celal Atik Spor Salonu
10.04.2019,16:00,BEA5251,02,AÇI EĞİTİM KURUMLARI,69 - 93,SAMSUN TELEKOM,3. BÖLGE,AMASYA,HAMİT KAPLAN SPOR SALONU,,HÜSEYİN DALMAN,AHMET OZANER KUTAY,SÜLEYMAN KAAN KESKİN,VEYSEL PEKDOĞAN,MUSTAFA İKİZ,SAMİ MUTLU,ERDAL TÜRKOĞLU,YASEMİN KAYA,HAMİT KAPLAN SPOR SALONU
10.04.2019,17:30,BEA5253,02,MASTERLER,59 - 92,ANADOLU BASKET,3. BÖLGE,KONYA,Büyükşehir Belediyesi Spor ve Kongre Merkezi (Küçük),,BERKAN YILMAZ,ALMİNA KOCABAŞ,SİBEL KOÇ,YÜKSEL ÇAKIR,OSMAN KESER,VEDAT ORHAN,AYKUT ÇETİN,AHMET TOPAL,Büyükşehir Belediyesi Spor ve Kongre Merkezi (Küçük)
10.04.2019,18:00,BEA5204,02,MURAT PAŞAOĞLU SPOR,63 - 69,GEÇİT SPOR,1. BÖLGE,İSTANBUL,Adalet Turan Spor ve Etkinlik Merkezi,,BATUHAN MERT GÜL,ESMA KÜÇÜKŞENTÜRK,FATİH ERDOĞAN,VEDAT DURGUT,GÜLİZ KONCA ADİLLER,ERMAN YÜCEL,BİROL ÖZDAL,EMRAH RİFAİ,Adalet Turan Spor ve Etkinlik Merkezi
10.04.2019,18:00,BEA5206,02,BİLECİK BELEDİYESİ,55 - 110,YEŞİM SPOR,1. BÖLGE,BİLECİK,Çok Amaçlı Spor Salonu,,NURİ DİLMEN,BERK KURTULMUŞ,OSMAN YETİŞKİN,MUSTAFA DURGUT,GÜLİZ ŞİMŞİR,HAVA TOPAL,BERKAY ÖZKAY,MUSTAFA BAYRAK,Çok Amaçlı Spor Salonu
10.04.2019,19:00,BEA5230,02,SALİHLİ BELEDİYE,74 - 44,SÖKE BASKET,2. BÖLGE,MANİSA,Salihli Belediye Spor Salonu,,HASAN KAMİL TAKINYALIOĞLU,SELENA GAMZE ÖGET ÇERÇİ,HÜSEYİN ÇAMCI,AHMET ÖZTÜRK,GÜL YILDIRIM,SERAP CAN,TUĞBERK ŞENGÜLDÜREN,BUSE GÖRER,Salihli Belediye Spor Salonu
13.04.2019,13:30,BEA5256,03,ANKARA KAYI GENÇLİK,81 - 59,MASTERLER,3. BÖLGE,ANKARA,Ankara Spor Salonu (Küçük),,GÖKHAN GÜRSOY,DERYA ÇELİK,TARIK ARAZ,ÖNDER ŞENEL,KAMİL TOSUN,HÜSEYİN MURAT EKİM,FEVZİ CAN ÜRESİN,İSMAİL FULSER,Ankara Spor Salonu (Küçük)
13.04.2019,14:00,BEA5282,03,ŞUTİM SPOR,0 - 20,MİDYAT BELEDİYESİ,4. BÖLGE,ŞANLIURFA,Harran Üniversitesi Osmanbey Kampüsü Spor Salonu,,MUSTAFA AKSOY,İSMAİL BALPETEK,ALİ CAN YILMAZ,METİN GÜRBÜZ,HAMZA ÇALIŞKAN,AYFER ÖZKİRİŞÇİ,EYYÜP BAKİKOL,HÜSEYİN ÇİFTÇİ,Harran Üniversitesi Osmanbey Kampüsü Spor Salonu
13.04.2019,18:00,BEA5232,03,UŞAK BELEDİYESİ BASKETBOL,76 - 65,SALİHLİ BELEDİYE,2. BÖLGE,UŞAK,Uşak Yeni Spor Salonu,,SALİH ÖZYURT,YILDIZ TURAN,HASAN OK,MUSTAFA BİÇER,GİZEM ANTEP,HALİL AYTAR,ADEM DELİAVCI,HALİME SEMA DÜMEN,Uşak Yeni Spor Salonu
14.04.2019,13:30,BEA5254,03,AÇI EĞİTİM KURUMLARI,78 - 98,BAŞKENT YENİŞEHİR,3. BÖLGE,AMASYA,HAMİT KAPLAN SPOR SALONU,,AHMET BASRİ YILDIZ,SALİH ACAR,KÜBRA KENDİRLİ,SEMİH KAYA,ERDAL TÜRKOĞLU,FATİH OĞUZHAN,MURAT ERDİ GAZELCİ,CANSU TAŞYILDIZ,HAMİT KAPLAN SPOR SALONU
14.04.2019,14:00,BEA5205,03,YEŞİM SPOR,66 - 91,ÇORLU BELEDİYESİ,1. BÖLGE,BURSA,Bursa Atatürk Spor Salonu,,ALİ OSMAN KANIK,SABRİ GÜNDÜZ,BURAK İREM ÇELEBİ,FİRDEVS EBRU ONARAN,SİNEM ERTEM,TAHSİN BURAK ŞEKERCİGİLLER,ERAY BABAHANOĞLU,BERNA EKBİÇ,Bursa Atatürk Spor Salonu
14.04.2019,14:00,BEA5201,03,BİLECİK BELEDİYESİ,46 - 113,MURAT PAŞAOĞLU SPOR,1. BÖLGE,BİLECİK,Çok Amaçlı Spor Salonu,,SİNAN ERTEKİN,MUSTAFA ÇELTİKER,ANIL HAMİT SAYAR,SELMA YILMAZ SARIOĞLU,GÜLİZ ŞİMŞİR,SEFA AYDIN,HAVA TOPAL,BERKAY ÖZKAY,Çok Amaçlı Spor Salonu
14.04.2019,15:00,BEA5252,03,SAMSUN TELEKOM,57 - 84,ANADOLU BASKET,3. BÖLGE,SAMSUN,Mustafa Dağıstanlı Spor Salonu,,RECEP GÜRKAN ÖZKAN,HÜSEYİN DALMAN,AHMET OZANER KUTAY,ŞEYMA NUR TALU,MERVE SERDAR,UĞUR YÜKSEL,FURKAN ÜNLÜ,ESRA BAYZAT,Mustafa Dağıstanlı Spor Salonu
14.04.2019,16:00,BEA5281,03,VOLKAN AKSOY SPOR,76 - 72,ÖZEL İDARE GENÇLERBİRLİĞİ,4. BÖLGE,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,,SALİH OCAKOĞLU,UMUT MEMİŞ,ONUR AÇIKYÜZ,BAHA KAÇIN,İKBAL AKMEHMETOĞLU,ÇİĞDEM  ÖZKAN,EMRE KARAKAYA,GÖZDE ÇULFACI,Kadir Has Kongre Merkezi Spor Salonu
14.04.2019,17:00,BEA5202,03,GEÇİT SPOR,75 - 73,YEŞİLYURT,1. BÖLGE,BURSA,Bursa Atatürk Spor Salonu,,BURAK DURMUŞ,BURAK AKTAŞ,EMRE ÖZTEN,SEVGİNAZ DIRAHOR,SİNEM ERTEM,ADEM ÇATALKAŞ,FATİH DURGUT,TAHSİN BURAK ŞEKERCİGİLLER,Bursa Atatürk Spor Salonu
14.04.2019,17:30,BEA5231,03,SÖKE BASKET,48 - 66,İZMİR BŞB.,2. BÖLGE,AYDIN,Söke Spor Salonu,,SONER ÖZAYDOĞAN,EMRE CAN ÇAKIR,KAĞAN SÖNMEZ,MEHMET KANER,ÖZLEM CAN,SEVCAN AKGÜL,FATİH ALVAR,MERT KAYA,Söke Spor Salonu
17.04.2019,13:00,BEA5283,04,IĞDIR GENÇLİK SPOR,55 - 94,ŞUTİM SPOR,4. BÖLGE,IĞDIR,Iğdır Kazım Karabekir Spor Salonu,,BUĞRA ÇAĞATAY SAVAŞ,BELKIS GÖKLER,BARIŞ TURGUT,FİLİZ ÖGET,ELBİRAY KAL,ATAKAN KOYUN,ARİF SAMANCI,RAMAZAN UÇA,Iğdır Kazım Karabekir Spor Salonu
17.04.2019,13:00,BEA5284,04,MİDYAT BELEDİYESİ,61 - 74,VOLKAN AKSOY SPOR,4. BÖLGE,MARDİN,Artuklu Yeni Spor Salonu,,EMRE DURSUN,MEHMET BATAK,ABDURRAHMAN İNAL,METİN GÜRBÜZ,HÜSEYİN IŞIK,HAMDİN BİNGÜL,İBRAHİM BARIŞ ERDOLU,BÜNYAMİN GÖKALEMİN,Artuklu Yeni Spor Salonu
17.04.2019,14:00,BEA5207,04,YEŞİLYURT,101 - 65,MURAT PAŞAOĞLU SPOR,1. BÖLGE,İSTANBUL,Yeşilyurt Spor Salonu,,SÜLEYMAN EREN PEKDOĞAN,ECEM BOZKURT,ALPER GÖKÇEBEL,SEVGİNAZ DIRAHOR,CEYDA KAPKAÇ,ERMAN YÜCEL,ALPKAN HACIYAKUPOĞLU,OSMAN AŞIK,Yeşilyurt Spor Salonu
17.04.2019,15:00,BEA5258,04,ANADOLU BASKET,110 - 57,AÇI EĞİTİM KURUMLARI,3. BÖLGE,ANKARA,Ankara Spor Salonu (Küçük),,MUSTAFA SELÇUK,YASİN AK,RIDVAN ARDA DEMİRCİ,UĞUR AYDEMİR,SELDA UZUN,ONUR YEŞİLBAĞ,KEZBAN EBRU ERDOĞAN,FATMA ÇELİK,Ankara Spor Salonu (Küçük)
17.04.2019,15:00,BEA5262,04,SAMSUN TELEKOM,64 - 83,ANKARA KAYI GENÇLİK,3. BÖLGE,SAMSUN,Mustafa Dağıstanlı Spor Salonu,,SONER TÜRKER,RAMAZAN SEZER BARAN,ONUR AÇIKYÜZ,RAFET DEMİR,TURHAN DUMAN,BATUHAN BERK DEMİR,ÇAĞATAY ÖZKOCA,CENGİZHAN KAÇAK,Mustafa Dağıstanlı Spor Salonu
17.04.2019,15:00,BEA5233,04,İZMİR BŞB.,90 - 80,UŞAK BELEDİYESİ BASKETBOL,2. BÖLGE,İZMİR,Celal Atik Spor Salonu,,HASAN KAMİL TAKINYALIOĞLU,HAKAN YİĞİT,FATMA ÖZTÜRK,İSMAİL ATLAYAN,FATMA DÖNMEZ,SİNEM BİRTÜRK,HALİL TEPEBAĞ,İSMAİL AKGÜL,Celal Atik Spor Salonu
