Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
26.10.2018,15:30,3EA1199,01,TENİS ESKRİM DAĞCILIK,75 - 55,BORNOVA BOSSAN,A,İSTANBUL,Caferağa Spor Salonu,,MUSTAFA TOPALOĞLU,NİYAZİ YASİN KAHRAMAN,OKAN BERK TUNÇEL,ADNAN KIVANÇ,BEGÜM SAVAŞ,EBRU ULUDOĞAN,ESER FIRIL,VEDAT SAVAŞ,Caferağa Spor Salonu
27.10.2018,16:00,3EA1201,01,SAMSUN BŞB. ANAKENT,56 - 76,MERKEZEFENDİ BELEDİYESİ DENİZLİ BASKET,A,SAMSUN,Mustafa Dağıstanlı Spor Salonu,,ÇETİN ARTAN,HALUK YAKIN,BATUHAN SÖYLEMEZOĞLU,RAFET DEMİR,ZEYNEP TEKER KORKMAZ,UĞURCAN MEMİŞ,MERTCAN AKGÜL,KÜBRA YILDIZ,Mustafa Dağıstanlı Spor Salonu
27.10.2018,18:00,3EA1200,01,EFE SPOR,65 - 80,BORNOVA BELEDİYESİ,A,AYDIN,Aydın Atatürk Spor Salonu,,BURAK YILMAZ,DOĞU BERK İNNAL,SERCAN SİNİRLİOĞLU,MEHMET AKİF KARAGÖZ,SÜLEYMAN DURMUŞ,MELTEM ARGUN,ŞERİF ÇAKIN,YONCA DEMİRBİLEK,Aydın Atatürk Spor Salonu
28.10.2018,15:00,3EA1202,01,UPS SPOR,81 - 63,SÖGÜTSEN SERAMİK,A,İSTANBUL,Ahmet Cömert Spor Salonu,,MEHMET BURAK ANLATICI,FIRAT ATAR,MUSTAFA AKSOY,BURAK DEMİR,AYŞE SERVER SEZER,CEYDA KAPKAÇ,ALİ MALÇOK,BÜŞRA KIRIKCI,Ahmet Cömert Spor Salonu
28.10.2018,16:00,3EA1203,01,HALİLİYE BELEDİYE,83 - 70,KOCAELİ BŞB. KAĞITSPOR,A,ŞANLIURFA,11 Nisan Spor Salonu,,AHMET BASRİ YILDIZ,KAMİL TALHA OLGUN,GÜRKAN DEMİR,ABDURRAHMAN ALTUN,TUĞÇE ÇİFÇİ,MEHMET KÜÇÜK,İBRAHİM HALİL ÖZGELİŞ,HÜSEYİN ÇİFTÇİ,11 Nisan Spor Salonu
9.11.2018,17:00,3EA1210,01,HALK ENERJİ TED ANKARA KOLEJLİLER,73 - 63,NAZİLLİ BELEDİYE,B,ANKARA,TED Üniversitesi Prof. Dr. Rüştü Yüce S.S.,,FATİH EVLİ,FIRAT ATAR,ANIL HAMİT SAYAR,HALDUN KUNT,SEÇİL ÇAPKINOĞLU,VEYSEL SİNAN TUNCER,SİBEL FAZLIOĞLU,CESARİ EMRE YILDIRIM,TED Üniversitesi Prof. Dr. Rüştü Yüce S.S.
10.11.2018,14:00,3EA1216,01,ROTA KOLEJİ,69 - 78,BOLU SPOR,B,İZMİR,Halkapınar Spor Salonu,,MEHMET BURAK ANLATICI,HALUK YAKIN,KAĞAN SÖNMEZ,MUSTAFA SAİT BATTALGAZİ,BURÇİN DURAN,ZEYNEP GÖRÜMLÜ,SEVERCAN GÜVEN,ERKAN TURAN,Halkapınar Spor Salonu
10.11.2018,16:00,3EA1215,01,İTÜ,60 - 123,MAVİŞEHİR SPOR,B,İSTANBUL,Caferağa Spor Salonu,,BATUHAN MERT GÜL,OKAN BERK TUNÇEL,ALPER CAN BOZYEL,ADNAN KIVANÇ,DEMET ULUCUTSOY,GÖRKEM GÖRGÜLÜ,MUSTAFA GÖKMEN DEMİRAY,BURCU DEMİRAY,Caferağa Spor Salonu
10.11.2018,16:00,3EA1211,01,KEPEZ BELEDİYE,58 - 72,ERZURUM BŞB GENÇLİK,B,ANTALYA,Kepez Turgut Özal Spor Salonu,,ÇETİN ARTAN,NİYAZİ YASİN KAHRAMAN,ALMİNA KOCABAŞ,METE BULUT,FATMA MAFACAN,MERYEM PEHLİVAN,ERKAN BÜDÜN,SEVCAN CELİL,Kepez Turgut Özal Spor Salonu
10.11.2018,17:00,3EA1218,01,LOKMAN HEKİM FETHİYE BELEDİYE SPOR,77 - 73,BEYLİKDÜZÜ BASKET,B,MUĞLA,Fethiye Beşkaza Spor Salonu,,BURAK YILMAZ,SABRİ GÜNDÜZ,SİNAN ERTEKİN,EMRE BAŞA,GÜLCAN KARABULUT,NEVİN YAVAŞ ERTUĞRUL,DUYGU ÇİMEN,TUNCER FİKRİ ERTUĞRUL,Fethiye Beşkaza Spor Salonu
2.11.2018,18:00,3EA1204,02,MERKEZEFENDİ BELEDİYESİ DENİZLİ BASKET,82 - 71,HALİLİYE BELEDİYE,A,DENİZLİ,Pamukkale Üniversitesi Spor Salonu,,GÖNENÇ ÇETİN,UĞUR AKYILDIZ,BERKAN YILMAZ,AHMET ÖZTÜRK,SEHER GEZER,MELEK ERYÜRÜK,BURAK MAY,ZEHRA NUR TÜRK,Pamukkale Üniversitesi Spor Salonu
