Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
12.10.2019,14:00,1BA2178,01,SAMSUN CANİK BELEDİYE,44 - 93,BÜYÜKŞEHİR BELEDİYESİ ADANA BASKETBOL,,SAMSUN,Mustafa Dağıstanlı Spor Salonu,,SÜLEYMAN DAĞDER DAĞLI,UMUT ÖZGÜN ERGÜN,HAKAN GEREY,ERHAN ELBİR,YEŞİM YILDIZ COŞKUN,MERVE SERDAR,ÇAĞRI TEMUR,ESRA BAYZAT,Mustafa Dağıstanlı Spor Salonu
12.10.2019,15:15,1BA2182,01,FENERBAHÇE ÖZNUR KABLO,97 - 54,BEŞİKTAŞ TRC İNŞAAT,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,TİVİBU Spor,TEKİN ÖZÜBİR,KEREM YILMAZ,SERDAR SARAÇ,RAHŞAN ŞEBNEM TÜMER,BEGÜM SAVAŞ,PERİHAN GİZEM ÜNSAL,ELİF ERGÜÇ,DEMET ULUCUTSOY,Fenerbahçe Metro Enerji Spor Salonu
12.10.2019,16:00,1BA2179,01,BOTAŞ,64 - 72,OGM ORMANSPOR,,ANKARA,Ankara Dsi Etlik Spor Salonu,,AYDIN KARAÇAM,OGÜN CILIZ,SEDA ESEN,HALDUN KUNT,PELİN KUZU,SAHRA ÇOKER,ARDA GÜRBÜZ,ANIL ENDER DURGUN,Ankara Dsi Etlik Spor Salonu
12.10.2019,17:00,1BA2181,01,İZMİT BELEDİYESPOR,100 - 101,BİREVİM ELAZIĞ İL ÖZEL İDARE,,KOCAELİ,Kocaeli Atatürk Spor Salonu,,TOLGA EDİS,AHMET MURAT ARIKANLI,MUHAMMED MURAT ZAFER,EBRU ÖZTAŞKIRAN,EBRU ÖZMEN,AYCAN PEKER,MUSTAFA SALMAN,GAMZE KURT,Kocaeli Atatürk Spor Salonu
12.10.2019,17:30,1BA2177,01,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,75 - 80,HATAY BŞB.,,MERSİN,Servet Tazegül Spor Salonu,TİVİBU Spor,ERGİN SARI,GÖKSUN ÖZ,HANDE ÖZTÜRK,YUSUF BÜYÜKFİDAN,SÜREYYA KANALICI,LEVENT YORULMAZ,ŞÜKRÜ SITKI,CANER SERTEL,Servet Tazegül Spor Salonu
13.10.2019,15:15,1BA2176,01,GALATASARAY,89 - 64,ÇANKAYA ÜNİVERSİTESİ,,İSTANBUL,Ahmet Cömert Spor Salonu,Youtube / TBF TV,ORKUN YURTTAŞ,CEMİL UYGÜL,MÜNEVVER ÖZEMRE,UĞUR AYDEMİR,CEYDA KAPKAÇ,ESİN MÜEZZİNOĞLU,GÜL URASLI,NİLAY YILMAZ,Ahmet Cömert Spor Salonu
19.10.2019,13:30,1BA2183,02,BİREVİM ELAZIĞ İL ÖZEL İDARE,83 - 68,BELLONA KAYSERİ BASKETBOL,,ELAZIĞ,Elazığ İl Özel İdare S.S.,Youtube / TBF TV,YÜCEL ÇİLİNGİR,BENHÜR İRCEL,ABDULLAH İLİK,NAİL DEĞİRMENCİ,AYŞE GÜNHAN,SEMANUR BOZKURT,FATMA SELCEN HATİPOĞLU,DİDEM YAVUZ SÖYLER,Elazığ İl Özel İdare S.S.
19.10.2019,15:15,1BA2187,02,BÜYÜKŞEHİR BELEDİYESİ ADANA BASKETBOL,56 - 85,FENERBAHÇE ÖZNUR KABLO,,ADANA,Atatürk Spor Salonu,TİVİBU Spor,FATİH GÜLER,ALPER ELÇİKOCA,BATUHAN SÖYLEMEZOĞLU,SERKAN SU,ERTUĞRUL BÜYÜKCE,CUMALİ TOSUN,HÜSEYİN ÖKMEN,CANSU DİKİLİTAŞ,Atatürk Spor Salonu
20.10.2019,13:00,1BA2186,02,BEŞİKTAŞ TRC İNŞAAT,88 - 89,İZMİT BELEDİYESPOR,,İSTANBUL,Ahmet Cömert Spor Salonu,,UĞUR ÖZEN,İSMAİL BİNBİR,NİYAZİ YASİN KAHRAMAN,UĞUR AYDEMİR,GÜL URASLI,HİLMİ CANKUT AYNAR,GÜLİZ KONCA ADİLLER,SAMET AKYÜREK,Ahmet Cömert Spor Salonu
20.10.2019,14:00,1BA2185,02,OGM ORMANSPOR,94 - 72,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,,ANKARA,M. Sait Zarifoğlu Spor Salonu,,MURAT CİNER,CEMİL UYGÜL,MUZAFFER VARDARLI,ZAFER ÖZGÜN,FATMA ÇELİK,FUNDA KONCA,FATİH ŞEN,İSMAİL FULSER,M. Sait Zarifoğlu Spor Salonu
