Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
13.09.2024,18:00,2EA5058,01,PİZZABULLS CO BASKET,78 - 71,BANDIRMA BORDO BASKETBOL,,İSTANBUL,Küçükçekmece Halkalı Spor Salonu,"Youtube / TBF TV,TRT Spor Yıldız",AYDIN KARAÇAM,ALİ OSMAN KANIK,ÖMER SARI,ÖMER KESKİN,BERNA ÇOLAK,MURAT ÖZKAN,GÜL URASLI,KEREM SIRMAGİL,Küçükçekmece Halkalı Spor Salonu
14.09.2024,14:00,2EA5059,01,ÇAYIROVA BELEDİYESİ,86 - 59,İSTANBUL ANKA SPOR,,KOCAELİ,Çayırova Spor Salonu,Youtube / TBF TV,METEHAN ALAÇAM,HASAN OK,ENES DURAN,NAİM ÖZYEŞİLPINAR,EBRU ÖZMEN,BERFU BARUT,EMRE ARICAN,TÜRKER YILMAZ,Çayırova Spor Salonu
14.09.2024,15:30,2EA5060,01,FENERBAHÇE KOLEJİ NOVOTEL,75 - 73,KONYA BÜYÜKŞEHİR BELEDİYESİ SPOR,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,Youtube / TBF TV,FATİH GÜLER,BARIŞ BURAK DURMUŞ,MUSTAFA GÜRHAN SOYSAL,SEVGİNAZ DIRAHOR,DİDEM ARPACI KARAGÖZ,ZEHRA AKAN,ALTAN CANDAN,EBRU ULUDOĞAN,Fenerbahçe Metro Enerji Spor Salonu
14.09.2024,17:00,2EA5061,01,BALIKESİR BÜYÜKŞEHİR BELEDİYE SPOR,77 - 65,FİNALSPOR,,BALIKESİR,Kurtdereli Spor Salonu,Youtube / TBF TV,OZAN GÖNEN,HAKAN GEREY,NAGEHAN ŞEYDA KURDEN AKTAŞ,İBRAHİM EMRE AYDEMİR,ERCAN ÇAVUŞOĞLU,MERT TELLİBAYRAKTAR,MAHMUT DEMİR,METİN IŞIK,Kurtdereli Spor Salonu
14.09.2024,18:30,2EA5062,01,HAREM SPOR,64 - 86,ESENLER EROKSPOR,,İSTANBUL,Beylikdüzü Spor Salonu,Youtube / TBF TV,ERDOĞAN ÇELEBİ,CANER BAHADIR,ALİ RIZA PİNAT,BEKİR GENÇAL,BURÇİN ÖZBAYRAKTAR,MURAT SEVGİL,MURAT YAZ,BİROL ŞİMŞEK,Beylikdüzü Spor Salonu
15.09.2024,14:00,2EA5063,01,KAPAKLI SPOR,77 - 66,TRABZONSPOR,,TEKİRDAĞ,Çerkezköy Organize Sanayi Bölgesi Spor Salonu,Youtube / TBF TV,ORKUN YURTTAŞ,BENHÜR İRCEL,ÖZKAN TALO,YAŞAR SİNAN ÇELİKOĞLU,ÖZLEM DELİCE,BİLGİNAR KARABIYIK,ŞULE AYLANÇ,ENGİN KARABIYIK,Çerkezköy Organize Sanayi Bölgesi Spor Salonu
15.09.2024,16:00,2EA5064,01,GAZİANTEP BASKETBOL,79 - 82,iLab BASKETBOL,,GAZİANTEP,Karataş Şahinbey Spor Salonu,Youtube / TBF TV,GÖKSUN ÖZ,NİYAZİ YASİN KAHRAMAN,SÜLEYMAN ÇAĞRI NAKİLCİOĞLU,MEYMİNE MİNE YAZGÖNÜL,TUĞBA İYİNACAR,MURAT ÖZGÜNEŞ,ÖZLEM ADIYAMAN,UĞUR ŞAHAN,Karataş Şahinbey Spor Salonu
15.09.2024,18:00,2EA5065,01,OGM ORMANSPOR,72 - 64,CARPARTNER TED ANKARA KOLEJLİLER,,ANKARA,M. Sait Zarifoğlu Spor Salonu,Youtube / TBF TV,AHMET TANER İBİN,HALDUN ÇOBAN,FATİH KURT,GÖKHAN ZEKERİYA ARSLAN,MİNE MİHRİCAN KANBUR,HÜSEYİN ÖKMEN,MUSA SAFA SARI,SİBEL FAZLIOĞLU,M. Sait Zarifoğlu Spor Salonu
16.09.2024,16:00,2EA5066,01,ÇAĞDAŞ BODRUM SPOR,65 - 64,MKE ANKARAGÜCÜ IKON MENKUL,,MUĞLA,Bodrum Spor Salonu,"Youtube / TBF TV,TRT Spor Yıldız",TURGUT IŞIK,MUSTAFA ÇELTİKER,BURAK AKTAŞ,EMRE BAŞA,YAŞAR TOPUZ,DUYGU ÇİMEN,MUSTAFA ÖZCAN,ORHAN SELÇUK,Bodrum Spor Salonu
20.09.2024,18:00,2EA5067,02,ESENLER EROKSPOR,88 - 81,ÇAYIROVA BELEDİYESİ,,İSTANBUL,Sinan Erdem Spor Salonu,"Youtube / TBF TV,TRT Spor Yıldız",YARKIN KESKİN,NİYAZİ YASİN KAHRAMAN,ÇAĞATAY TAŞKIN,ERKAN URASLI,GÖKHAN BAŞARAN,ZAFER RİFAİ,HAKAN ÜNAL,YUSUF YELESDAĞ,Sinan Erdem Spor Salonu
