Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
5.10.2019,14:00,BGL543,01,FENERBAHÇE BEKO,72 - 67,GELİŞİM KOLEJİ,A,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,,MEHMET OZAN ÇAKAR,METEHAN ALAÇAM,İBRAHİM BARIŞ ERDOLU,SAVAŞ BAYRAM ERTÜRK,SEÇİL SILA KORALP,MUSTAFA GÖKMEN DEMİRAY,AHMET ERKASAP,GÜLTEKİN KABAŞ,Fenerbahçe Metro Enerji Spor Salonu
5.10.2019,14:00,BGL551,01,TED ANKARA KOLEJLİLER,72 - 69,PINAR KARŞIYAKA,B,ANKARA,Ankara Spor Salonu (Küçük),,ORHAN ÇAĞRI HEKİMOĞLU,FATİH OĞUZHAN,VEYSEL ASLAN,VEYSEL PEKDOĞAN,FATMA ÇELİK,FATİH DEMİRCİ,SİMAY ÇAKMAK,SERKAY GÜNEY,Ankara Spor Salonu (Küçük)
5.10.2019,18:30,BGL548,01,TOFAŞ,77 - 71,AREL ÜNİVERSİTESİ BÜYÜKÇEKMECE BASKETBOL,A,BURSA,Tofaş Spor Salonu,,CAN MAVİSU,FURKAN TURSUN,OZAN GÜNDÜZ,MUSTAFA DURGUT,HANDE NUR DOĞAN,TEOMAN ÖYLEK,BERNA EKBİÇ,ERAY BABAHANOĞLU,Tofaş Spor Salonu
5.10.2019,18:30,BGL550,01,AFYON BELEDİYESİ,57 - 123,TÜRK TELEKOM,A,AFYONKARAHİSAR,Prof. Dr. Veysel Eroğlu Spor Salonu,,MEHMET SERDAR ÜNAL,MEHMET BOZKURT,ALİ RIZA PİNAT,TURAN CAN OCAKOĞLU,HATİCE OKÇU,HASAN ALİ TUTAR,HASAN GÖRDES,MEHMET ALİ KARAASLAN,Prof. Dr. Veysel Eroğlu Spor Salonu
6.10.2019,14:00,BGL549,01,BAHÇEŞEHİR KOLEJİ,56 - 59,GALATASARAY,A,İSTANBUL,Caferağa Spor Salonu,,HALİT CAN CİHAN,ÇAĞLAR ÖZKAN,MAHSUN ALANKO,FİRDEVS EBRU ONARAN,ARZU KÖRKEN,ŞÜKRÜ ALOĞLU,İREM KESKİN,DEMET ULUCUTSOY,Caferağa Spor Salonu
6.10.2019,14:00,BGL546,01,OGM ORMANSPOR,75 - 91,DARÜŞŞAFAKA SPOR KULÜBÜ,B,ANKARA,M. Sait Zarifoğlu Spor Salonu,,AYTUĞ EKTİ,ATAKAN KOLCU,FERHAT BARUT,MUSTAFA KOCAEREN,GÖKTÜRK FULSER,FUNDA KONCA,FATİH DEMİRCİ,ANIL ENDER DURGUN,M. Sait Zarifoğlu Spor Salonu
6.10.2019,14:00,BGL547,01,TAC NEF,104 - 69,BURSASPOR,B,MERSİN,Edip Buran Spor Salonu,,SİNEM TETİK AKBAYRAK,DEYER AKÇAY,YAKUP BUTASIM,YUSUF BÜYÜKFİDAN,MELDA KÖKLÜER,LEVENT YORULMAZ,ŞÜKRÜ SITKI,VİLDAN KÖROĞLU EZER,Edip Buran Spor Salonu
6.10.2019,16:00,BGL544,01,BEŞİKTAŞ,115 - 62,FMV IŞIK BB,B,İSTANBUL,Süleyman Seba S.Salonu,,HÜSEYİN ÇELİK,KADİR GİRAY ESEN,MUSTAFA YAVUZ TAŞ,HURŞİT CEM AKAN,ŞERMİN NAZLIGÜL,ERMAN YÜCEL,HİLMİ CANKUT AYNAR,ALPKAN HACIYAKUPOĞLU,Süleyman Seba S.Salonu
6.10.2019,17:00,BGL545,01,ANADOLU EFES,108 - 65,GAZİANTEP BASKETBOL,B,İSTANBUL,Ahmet Cömert Spor Salonu,,HALİL BALDEMİR,KUBİLAY SERDAR DURAN,YUNUS EMRE ALICI,BURAK DEMİR,YUSUF YELESDAĞ,GÜLİZ KONCA ADİLLER,OSMAN AŞIK,MEHMET KAPUCU,Ahmet Cömert Spor Salonu
8.10.2019,14:00,BGL542,01,TEKSÜT BANDIRMA BK,84 - 73,TEŞVİKİYE,A,BALIKESİR,Teksüt Kara Ali Acar Spor Salonu,,ORHAN ÇAĞRI HEKİMOĞLU,OSMAN ÖZGÜR TATLIDİL,YARKIN KESKİN,MURAT KARTAL,GAMZE ATİLA,EYLEM KAYA,IŞIL ÖZKAN,SELMA YÜKSEL,Teksüt Kara Ali Acar Spor Salonu
12.10.2019,13:00,BGL557,02,PINAR KARŞIYAKA,49 - 71,TAC NEF,B,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,,AYTUĞ EKTİ,ERKMEN KAYA,METİN ÜSTER,MURAT MISIRLI,MERVE KOÇAK,SİNEM BİRTÜRK,SEVERCAN GÜVEN,OSMAN ARKIN BARUTCU,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
12.10.2019,14:00,BGL560,02,DARÜŞŞAFAKA SPOR KULÜBÜ,52 - 77,ANADOLU EFES,B,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu,,EMİN MOĞULKOÇ,SADETTİN BAYCAN,FURKAN TURSUN,HURŞİT CEM AKAN,FURKAN ATALAY,KEREM SIRMAGİL,HİLMİ CANKUT AYNAR,EMRAH RİFAİ,Darüşşafaka Ayhan Şahenk Spor Salonu
12.10.2019,17:30,BGL561,02,FMV IŞIK BB,81 - 84,OGM ORMANSPOR,B,İSTANBUL,Dr. Özge Sezerman Spor Salonu,,ÖZGE ŞENTÜRK BAYRAKTAR,GÖKHAN EĞLENOĞLU,MUSTAFA GÜRHAN SOYSAL,GÖZDE ERSÖZ,BİROL ÖZDAL,ALPKAN HACIYAKUPOĞLU,NEŞE KIRAN,REMZİ KILIÇ,Dr. Özge Sezerman Spor Salonu
13.10.2019,14:00,BGL558,02,GAZİANTEP BASKETBOL,63 - 66,TED ANKARA KOLEJLİLER,B,GAZİANTEP,Karataş Şahinbey Spor Salonu,,MEHMET OZAN ÇAKAR,FURKAN  SÖYLEMEZOĞLU,MAHSUN ALANKO,ALİ ATICI,EYÜP KALA,ALİ DALYANOĞLU,UĞUR ŞAHAN,RECEP ÖZTÜRK,Karataş Şahinbey Spor Salonu
13.10.2019,14:00,BGL552,02,GELİŞİM KOLEJİ,113 - 50,AFYON BELEDİYESİ,A,İZMİR,Gelişim Koleji S.S.,,SEHER AYŞE NUR YAZICIOĞLU,ÇAĞLAR ÖZKAN,MUSTAFA YAVUZ TAŞ,HAKAN ŞAHİN,MEHMET AKINCI,ÖZGÜR TOPCU,MESUT KARABULUT,ZEYNEP GÖRÜMLÜ,Gelişim Koleji S.S.
