Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
7.10.2017,14:00,1BA1746,01,ADANA ASKİ,44 - 57,HATAY BŞB.,,ADANA,Menderes Spor Salonu,,SERTAN KIRKLAR,GÖKSUN ÖZ,İSMAİL BİNBİR,,,,,,Menderes Spor Salonu
7.10.2017,14:00,1BA1748,01,ÇUKUROVA BASKETBOL,78 - 69,BEŞİKTAŞ,,MERSİN,Edip Buran Spor Salonu,,ERGİN SARI,MUSA KAZIM ÇETİN,HALİL ERKOÇ,,,,,,Edip Buran Spor Salonu
7.10.2017,15:00,1BA1751,01,GALATASARAY,82 - 73,MERSİN BŞB.,,İSTANBUL,Ahmet Cömert Spor Salonu,,AYDIN KARAÇAM,SEYHAN TOPALOĞLU,MEHMET ONUR SÖNMEZ,,,,,,Ahmet Cömert Spor Salonu
7.10.2017,15:30,1BA1747,01,FENERBAHÇE,83 - 65,OGM ORMANSPOR,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,TRTSPOR,ORKUN YURTTAŞ,OGÜN CILIZ,HİKMET FEN,,,,,,Fenerbahçe Metro Enerji Spor Salonu
8.10.2017,14:00,1BA1752,01,SAMSUN CANİK BLD.,84 - 72,İSTANBUL ÜNİVERSİTESİ,,SAMSUN,Canik Hasan Doğan Spor Kompleksi,,TURGUT IŞIK,SÜLEYMAN DAĞDER DAĞLI,AHMET MURAT ARIKANLI,,,,,,Canik Hasan Doğan Spor Kompleksi
8.10.2017,17:00,1BA1750,01,BOTAŞ,48 - 51,YAKIN DOĞU ÜNİ.,,ANKARA,M. Sait Zarifoğlu Spor Salonu,TRT TÜRK,ÖNDER YILMAZ,FAZİLET HİSARKAYA,HALDUN ÇOBAN,,,,,,M. Sait Zarifoğlu Spor Salonu
14.10.2017,14:00,1BA1757,02,OGM ORMANSPOR,71 - 47,ADANA ASKİ,,ANKARA,M. Sait Zarifoğlu Spor Salonu,,YÜCEL ÇİLİNGİR,UYGAR KURT,HANDE ÖZTÜRK,,,,,,M. Sait Zarifoğlu Spor Salonu
14.10.2017,14:00,1BA1755,02,MERSİN BŞB.,55 - 64,FENERBAHÇE,,MERSİN,Edip Buran Spor Salonu,TRT TÜRK,UĞUR ÖZEN,MUSA KAZIM ÇETİN,İSMAİL BİNBİR,,,,,,Edip Buran Spor Salonu
14.10.2017,16:30,1BA1754,02,YAKIN DOĞU ÜNİ.,93 - 83,ÇUKUROVA BASKETBOL,,İSTANBUL,Caferağa Spor Salonu,,MURAT CİNER,YİĞİT EMRE ŞİMŞEK,İZEL DENİZ PEHLİVAN ÇAKICI,,,,,,Caferağa Spor Salonu
15.10.2017,16:00,1BA1756,02,İSTANBUL ÜNİVERSİTESİ,68 - 73,ABDULLAH GÜL ÜNİVERSİTESİ,,İSTANBUL,Prof. Dr. Turgay Atasü Spor Salonu,,AHMET TANER İBİN,ORHAN ÇAĞRI HEKİMOĞLU,ALPER ELÇİKOCA,,,,,,Prof. Dr. Turgay Atasü Spor Salonu
15.10.2017,16:30,1BA1753,02,HATAY BŞB.,67 - 52,BOTAŞ,,HATAY,Antakya Spor Salonu,,TAHSİN KUZU,AYHAN BAYKARA,SEDA ESEN,,,,,,Antakya Spor Salonu
15.10.2017,17:00,1BA1758,02,BEŞİKTAŞ,65 - 86,SAMSUN CANİK BLD.,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,TRT AVAZ,TUNÇTAN DURMUŞCAN,ALİ KÖSEOĞLU,FURKAN OZAN ÇÖVEN,,,,,,Akatlar Spor ve Kültür Kompleksi
21.10.2017,13:30,1BA1764,03,OGM ORMANSPOR,61 - 68,MERSİN BŞB.,,ANKARA,M. Sait Zarifoğlu Spor Salonu,TRTSPOR,ÖNDER YILMAZ,ERHAN GÜRSEL,AHMET TUNCA EVCİL,,,,,,M. Sait Zarifoğlu Spor Salonu
21.10.2017,14:00,1BA1762,03,ÇUKUROVA BASKETBOL,76 - 91,HATAY BŞB.,,MERSİN,Edip Buran Spor Salonu,,SAMİ ÖZEL,MUHAMMET MUSTAFA AKILLIOĞLU,MUZAFFER VARDARLI,,,,,,Edip Buran Spor Salonu
21.10.2017,14:00,1BA1760,03,ADANA ASKİ,51 - 78,BOTAŞ,,ADANA,Menderes Spor Salonu,,TURGUT IŞIK,TOLGA EDİS,HİKMET FEN,,,,,,Menderes Spor Salonu
