Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
14.10.2011,14:00,1EA527,01,MERSİN BŞB.,61 - 72,TOFAŞ,,MERSİN,Edip Buran Spor Salonu,,RECEP ANKARALI,HALİL BALDEMİR,ZİYA ÖZORHON,,HATİCE GÜLER,FERİDE ŞAT,TURGAY KÖROĞLU,SERKAN SU,Edip Buran Spor Salonu
14.10.2011,15:00,1EA534,01,ALİAĞA PETKİM,65 - 75,HACETTEPE ÜNİV.,,İZMİR,Enka Spor Salonu,,MURAT  BİRİCİK,KAAN BÜYÜKÇİL,SEMİH VURAL,,MESUT KARABULUT,ÖMER DURSUN,EDA NİHAN DUMAN,GÜLTEKİN DAĞDEVİREN,Enka Spor Salonu
14.10.2011,15:00,1EA533,01,BANVİT,71 - 79,PINAR KARŞIYAKA,,BALIKESİR,Banvit Kara Ali Acar Spor Salonu,,ENGİN KENNERMAN,FATİH ARSLANOĞLU,AYDIN KARAÇAM,,,,,,Banvit Kara Ali Acar Spor Salonu
15.10.2011,13:00,1EA532,01,ERDEMİR,53 - 89,ANADOLU EFES,,ZONGULDAK,Erdemir Spor Salonu,,FATİH SÖYLEMEZOĞLU,UĞUR ÖZEN,AHMET TATLICI,,,KADİR BÖLÜKCÜ,ESMA KÖKSAL,BERRİN ÜÇER,Erdemir Spor Salonu
15.10.2011,14:00,1EA531,01,OLİN EDİRNE,71 - 98,GALATASARAY MEDİCAL PARK,,EDİRNE,Mimar Sinan Spor Salonu,,ERŞAN KARTAL,MEHMET SERDAR ÜNAL,MURAT CİNER,,LALE ABACI,SÜLEYBE KASAP,CAHİT KEMAL ÇAVDARLIER,ELİF ÖÇAL,Mimar Sinan Spor Salonu
15.10.2011,17:00,1EA530,01,FENERBAHÇE ÜLKER,88 - 63,TRABZONSPOR,,İSTANBUL,Abdi İpekçi Spor Salonu,,ÖZLEM YALMAN,ALPER ÖZGÖK,YÜCEL ÇİLİNGİR,,ASUMAN SİNEM ÖZDEMİR,AHMET YILDIZ,NURAY ÇAKMAK,PERİHAN GİZEM ÜNSAL,Abdi İpekçi Spor Salonu
16.10.2011,12:30,1EA529,01,BEŞİKTAŞ,107 - 69,BANDIRMA KIRMIZI,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,,ZAFER YILMAZ,TUNÇTAN DURMUŞCAN,TURGUT IŞIK,,,,,,Akatlar Spor ve Kültür Kompleksi
16.10.2011,17:00,1EA528,01,TÜRK TELEKOM,94 - 85,ANTALYA BŞB.,,ANKARA,Ankara Spor Salonu,,İSMAİL ÖZGÜN,AHMET ERSAN ERGÜLER,MEHMET OZAN ÇAKAR,,,,,,Ankara Spor Salonu
21.10.2011,15:00,1EA536,02,HACETTEPE ÜNİV.,74 - 80,OLİN EDİRNE,,ANKARA,Ankara Spor Salonu,,MEHMET KESERATAR,AHMET ERSAN ERGÜLER,MEHMET KARABİLECEN,,,,,,Ankara Spor Salonu
21.10.2011,15:00,1EA537,02,TRABZONSPOR,66 - 78,MERSİN BŞB.,,TRABZON,Hayri Gür Spor Salonu,,ERŞAN KARTAL,ALİ ŞAKACI,AHMET TATLICI,,ZAFER AKBULUT,ABDULKADİR KAYNAK,,ADEM TAYFUR,Hayri Gür Spor Salonu
21.10.2011,15:00,1EA542,02,BANDIRMA KIRMIZI,67 - 95,TÜRK TELEKOM,,BALIKESİR,Banvit Kara Ali Acar Spor Salonu,,RÜŞTÜ NURAN,SEMİH VURAL,ÖNDER YILMAZ,,SİNEM DAL,ESİN ÇAKIR,SEDAT YORCU,MEHMET TUNCAY  DEMİRCAN,Banvit Kara Ali Acar Spor Salonu
22.10.2011,12:00,1EA535,02,ANTALYA BŞB.,77 - 81,FENERBAHÇE ÜLKER,,ANTALYA,Antalya ATATÜRK Spor Salonu,,FATİH SÖYLEMEZOĞLU,FATİH ARSLANOĞLU,SAMİ ÖZEL,,NECAT TAYFUN YAPICI,TUĞBA POLAT,CİHAN ÖZTEMEL,ŞÜKRÜ ETHEM ERDEN,Antalya ATATÜRK Spor Salonu
22.10.2011,14:00,1EA538,02,GALATASARAY MEDİCAL PARK,84 - 73,BANVİT,,İSTANBUL,Abdi İpekçi Spor Salonu,,RECEP ANKARALI,ALPER ÖZGÖK,OSMAN SİNAN İŞGÜDER,,,,,,Abdi İpekçi Spor Salonu
22.10.2011,16:00,1EA541,02,PINAR KARŞIYAKA,93 - 100,BEŞİKTAŞ,,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,,MURAT  BİRİCİK,YENER YILMAZ,UĞUR ÖZEN,,,,,,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
22.10.2011,16:30,1EA540,02,TOFAŞ,74 - 70,ERDEMİR,,BURSA,Gemlik Spor Salonu,,AYTUĞ EKTİ,MEHMET SERDAR ÜNAL,ERMAN ERDEMLİ,,MERAL ÖZÜBİR,SERAP AKYILDIZ,GONCA BAHÇECİ,ATİF AL,Gemlik Spor Salonu
23.10.2011,12:30,1EA539,02,ANADOLU EFES,80 - 65,ALİAĞA PETKİM,,İSTANBUL,Abdi İpekçi Spor Salonu,,EMİN MOĞULKOÇ,ALİ SERKAN EMLEK,CAN ATSÜREN,,GÖKÇE AYKIN,NAGİHAN  YILMAZ,OYA BALSUN KÜÇÜK,ZEYNEP OTUR,Abdi İpekçi Spor Salonu
28.10.2011,18:00,1EA544,03,TÜRK TELEKOM,88 - 97,BEŞİKTAŞ,,ANKARA,Ankara Spor Salonu,,RÜŞTÜ NURAN,ALPER ALTUĞ KÖSELERLİ,ALİ ŞAKACI,,ENİSE TUĞBA KOŞKA ŞAHİN,SERKAN ÇADIR,AHMET ÖZKAN,VEYSEL SİNAN TUNCER,Ankara Spor Salonu
29.10.2011,14:00,1EA543,03,MERSİN BŞB.,102 - 65,ANTALYA BŞB.,,MERSİN,Edip Buran Spor Salonu,,MURAT  BİRİCİK,ALPER ÖZGÖK,ERMAN ERDEMLİ,,AYLİN ÖZER,HATİCE GÜLER,MEHMET ALİ ÖNCÜ,SERKAN SU,Edip Buran Spor Salonu
29.10.2011,16:30,1EA547,03,FENERBAHÇE ÜLKER,93 - 60,BANDIRMA KIRMIZI,,İSTANBUL,Abdi İpekçi Spor Salonu,,İSMAİL ÖZGÜN,MEHMET OZAN ÇAKAR,MURAT CİNER,,ASUMAN SİNEM ÖZDEMİR,PERİHAN GİZEM ÜNSAL,,NURAY ÇAKMAK,Abdi İpekçi Spor Salonu
29.10.2011,16:30,1EA548,03,ERDEMİR,71 - 62,TRABZONSPOR,,ZONGULDAK,Erdemir Spor Salonu,,RECEP ANKARALI,KAAN BÜYÜKÇİL,OSMAN SİNAN İŞGÜDER,,AYŞİM BAYRAK,BERRİN ÜÇER,BURÇİN ALBAYRAK,KADİR BÖLÜKCÜ,Erdemir Spor Salonu
30.10.2011,12:30,1EA546,03,GALATASARAY MEDİCAL PARK,79 - 72,PINAR KARŞIYAKA,,İSTANBUL,Abdi İpekçi Spor Salonu,,ERŞAN KARTAL,HALİL BALDEMİR,MEHMET SERDAR ÜNAL,,CEYDA KAPKAÇ,ALİ MALÇOK,ZAFER RİFAİ,YEŞİM ÖZCAN ÖZTÜRK,Abdi İpekçi Spor Salonu
30.10.2011,14:30,1EA545,03,OLİN EDİRNE,67 - 88,ANADOLU EFES,,EDİRNE,Mimar Sinan Spor Salonu,,AYTUĞ EKTİ,YENER YILMAZ,YÜCEL ÇİLİNGİR,,,,,,Mimar Sinan Spor Salonu
30.10.2011,15:00,1EA549,03,ALİAĞA PETKİM,74 - 73,TOFAŞ,,İZMİR,Enka Spor Salonu,,MEHMET KESERATAR,UĞUR ÖZEN,MEHMET KARABİLECEN,,ORÇUN ATAMAN,DİLEK KESGİN,SEVİNÇ ÖZYÜNLÜ,GÜLÇİN AKIN,Enka Spor Salonu
30.10.2011,15:00,1EA550,03,BANVİT,84 - 66,HACETTEPE ÜNİV.,,BALIKESİR,Banvit Kara Ali Acar Spor Salonu,,ÖZLEM YALMAN,TURGUT IŞIK,ZİYA ÖZORHON,,,,,,Banvit Kara Ali Acar Spor Salonu
4.11.2011,15:00,1EA558,04,BANDIRMA KIRMIZI,63 - 77,MERSİN BŞB.,,BALIKESİR,Banvit Kara Ali Acar Spor Salonu,,MEHMET KESERATAR,FATİH ARSLANOĞLU,ALPER ALTUĞ KÖSELERLİ,,,,,,Banvit Kara Ali Acar Spor Salonu
4.11.2011,18:00,1EA557,04,PINAR KARŞIYAKA,98 - 110,TÜRK TELEKOM,,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,,EMİN MOĞULKOÇ,ZİYA ÖZORHON,SEMİH VURAL,,ZÜLFÜKAR ŞENBİL,MERAL DURMAZ,ELİF EZGİ OVALI KÜÇÜK,ŞAHİN ŞANLI,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
5.11.2011,12:30,1EA552,04,HACETTEPE ÜNİV.,68 - 86,GALATASARAY MEDİCAL PARK,,ANKARA,Ankara Spor Salonu,,AYTUĞ EKTİ,ALİ SERKAN EMLEK,TUNÇTAN DURMUŞCAN,,YASEMEN ÇALIŞKAN TOKGÖZ,YILDIZ BAKIRCI,YUSUF NADAS,RAMAZAN TALU,Ankara Spor Salonu
5.11.2011,15:00,1EA554,04,TRABZONSPOR,67 - 77,ALİAĞA PETKİM,,TRABZON,Hayri Gür Spor Salonu,,FATİH SÖYLEMEZOĞLU,HALİL BALDEMİR,ÖNDER YILMAZ,,ZAFER AKBULUT,,ABDULKADİR KAYNAK,,Hayri Gür Spor Salonu
5.11.2011,15:00,1EA551,04,ANTALYA BŞB.,70 - 72,ERDEMİR,,ANTALYA,Antalya ATATÜRK Spor Salonu,,ENGİN KENNERMAN,YENER YILMAZ,CAN ATSÜREN,,NECAT TAYFUN YAPICI,TUĞBA POLAT,TUĞBA YERGÖK,SEDEF ERCAN,Antalya ATATÜRK Spor Salonu
5.11.2011,16:30,1EA556,04,TOFAŞ,68 - 57,OLİN EDİRNE,,BURSA,Gemlik Spor Salonu,,RECEP ANKARALI,AHMET ERSAN ERGÜLER,AHMET TATLICI,,NERMİYE ÖZÇİFTÇİ,SERAP AKYILDIZ,MERAL ÖZÜBİR,ATİF AL,Gemlik Spor Salonu
6.11.2011,12:30,1EA555,04,ANADOLU EFES,84 - 76,BANVİT,,İSTANBUL,Sinan Erdem Spor Salonu,,MURAT  BİRİCİK,İSMAİL ÖZGÜN,ERMAN ERDEMLİ,,,,,,Sinan Erdem Spor Salonu
6.11.2011,15:30,1EA553,04,BEŞİKTAŞ,83 - 78,FENERBAHÇE ÜLKER,,İSTANBUL,Sinan Erdem Spor Salonu,,ERŞAN KARTAL,KAAN BÜYÜKÇİL,ALPER ÖZGÖK,,,,,,Sinan Erdem Spor Salonu
11.11.2011,15:00,1EA560,05,HACETTEPE ÜNİV.,75 - 91,PINAR KARŞIYAKA,,ANKARA,Ankara Spor Salonu,,RÜŞTÜ NURAN,İSMAİL ÖZGÜN,MEHMET OZAN ÇAKAR,,SAFİYE ESRA DOĞAN,VEYSEL SİNAN TUNCER,SİBEL DÖRTKOL CANLI,ALİ MURAT SUNGUR,Ankara Spor Salonu
11.11.2011,15:00,1EA565,05,ALİAĞA PETKİM,89 - 76,ANTALYA BŞB.,,İZMİR,Enka Spor Salonu,,AYTUĞ EKTİ,ALİ ŞAKACI,AYDIN KARAÇAM,,CEYDA SARICA KUZU,İRFAN TEMELLİ,EDA NİHAN DUMAN,ÖMER DURSUN,Enka Spor Salonu
11.11.2011,16:00,1EA563,05,OLİN EDİRNE,67 - 74,TRABZONSPOR,,EDİRNE,Mimar Sinan Spor Salonu,,MEHMET KESERATAR,ZAFER YILMAZ,TURGUT IŞIK,,SÜLEYBE KASAP,,,,Mimar Sinan Spor Salonu
11.11.2011,16:30,1EA564,05,ERDEMİR,85 - 66,BANDIRMA KIRMIZI,,ZONGULDAK,Erdemir Spor Salonu,,ERŞAN KARTAL,ÖZLEM YALMAN,SAMİ ÖZEL,,,,,,Erdemir Spor Salonu
12.11.2011,14:00,1EA559,05,MERSİN BŞB.,82 - 98,BEŞİKTAŞ,,MERSİN,Edip Buran Spor Salonu,,MURAT  BİRİCİK,AHMET ERSAN ERGÜLER,OSMAN SİNAN İŞGÜDER,,BURCU BAHAR ÇAĞLAR,MEHTAP GÜMÜŞ,SERKAN SU,MEHMET ALİ ÖNCÜ,Edip Buran Spor Salonu
12.11.2011,16:30,1EA566,05,BANVİT,96 - 85,TOFAŞ,,BALIKESİR,Banvit Kara Ali Acar Spor Salonu,,FATİH SÖYLEMEZOĞLU,KAAN BÜYÜKÇİL,ÖNDER YILMAZ,,,,,,Banvit Kara Ali Acar Spor Salonu
13.11.2011,12:30,1EA562,05,FENERBAHÇE ÜLKER,64 - 83,TÜRK TELEKOM,,İSTANBUL,Sinan Erdem Spor Salonu,,RECEP ANKARALI,ALİ SERKAN EMLEK,UĞUR ÖZEN,,AYTEK CÖMERT,AYTEK CÖMERT,AYTEK CÖMERT,AYTEK CÖMERT,Sinan Erdem Spor Salonu
13.11.2011,16:30,1EA561,05,GALATASARAY MEDİCAL PARK,61 - 69,ANADOLU EFES,,İSTANBUL,Abdi İpekçi Spor Salonu,,ENGİN KENNERMAN,FATİH ARSLANOĞLU,YENER YILMAZ,,,,,,Abdi İpekçi Spor Salonu
18.11.2011,15:00,1EA568,06,TRABZONSPOR,72 - 78,BANVİT,,TRABZON,Hayri Gür Spor Salonu,,RECEP ANKARALI,ALPER ALTUĞ KÖSELERLİ,SAMİ ÖZEL,,,,,,Hayri Gür Spor Salonu
18.11.2011,15:00,1EA574,06,BANDIRMA KIRMIZI,88 - 89,ALİAĞA PETKİM,,BALIKESİR,Banvit Kara Ali Acar Spor Salonu,,ENGİN KENNERMAN,YÜCEL ÇİLİNGİR,ZİYA ÖZORHON,,ZEYNEP  SERBEST,ÖZTÜRK KESKİNKILIÇ,MEHMET TUNCAY  DEMİRCAN,ESİN ÇAKIR,Banvit Kara Ali Acar Spor Salonu
19.11.2011,14:00,1EA573,06,PINAR KARŞIYAKA,75 - 77,FENERBAHÇE ÜLKER,,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,,MURAT  BİRİCİK,ALİ ŞAKACI,ERMAN ERDEMLİ,,SEVİNÇ ÖZYÜNLÜ,GÜLÇİN AKIN,ÖZNUR KÜÇÜKOĞLU,MERAL DURMAZ,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
19.11.2011,15:00,1EA570,06,ANTALYA BŞB.,73 - 78,OLİN EDİRNE,,ANTALYA,Antalya ATATÜRK Spor Salonu,,RÜŞTÜ NURAN,HALİL BALDEMİR,SEMİH VURAL,,,,,,Antalya ATATÜRK Spor Salonu
19.11.2011,16:00,1EA569,06,TÜRK TELEKOM,88 - 82,MERSİN BŞB.,,ANKARA,Ankara Spor Salonu,,ERŞAN KARTAL,ZAFER YILMAZ,AHMET TATLICI,,AZİZE YILDIZ,GİZEM YAPICI,,SERHAT UZ,Ankara Spor Salonu
19.11.2011,16:00,1EA567,06,BEŞİKTAŞ,84 - 88,ERDEMİR,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,,ALİ SERKAN EMLEK,TUNÇTAN DURMUŞCAN,MEHMET KARABİLECEN,,AREZU KARAKAŞ,PERİHAN GİZEM ÜNSAL,MERT İĞDELİ,NURAY ÇAKMAK,Akatlar Spor ve Kültür Kompleksi
20.11.2011,14:00,1EA572,06,TOFAŞ,75 - 95,GALATASARAY MEDİCAL PARK,,BURSA,Bursa Atatürk Spor Salonu,,MEHMET KESERATAR,CAN ATSÜREN,ALPER ÖZGÖK,,MİHRİBAN TOPALOĞLU,GONCA BAHÇECİ,MERAL ÖZÜBİR,ATİF AL,Bursa Atatürk Spor Salonu
