Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
8.01.2023,15:00,1BA2865,14,OGM ORMANSPOR,78 - 75,BOTAŞ,,ANKARA,M. Sait Zarifoğlu Spor Salonu,Youtube / TBF TV,SEMİH VURAL,DORUKHAN KALYONCU,BURAK ERKAN,FİLİZ ÖGET,NİHAN ÜNSAL,ALİ MURAT SUNGUR,ESİN KALELİ,FATMA ÇELİK,M. Sait Zarifoğlu Spor Salonu
8.01.2023,17:30,1BA2868,14,BEŞİKTAŞ,84 - 81,MELİKGAZİ KAYSERİ BASKETBOL,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,"Youtube / TBF TV,SPORTSTV",SEHER AYŞE NUR YAZICIOĞLU,HALDUN ÇOBAN,HÜSEYİN ÇAMCI,HURŞİT CEM AKAN,TUNA TAŞ,CEYDA KAPKAÇ,ÖZLEM TUNA,GÜL URASLI,Akatlar Spor ve Kültür Kompleksi
13.01.2023,14:30,1BA2877,15,ANTALYA TOROSLAR BASKETBOL,69 - 106,FENERBAHÇE ALAGÖZ HOLDİNG,,ANTALYA,Kepez Turgut Özal Spor Salonu,Youtube / TBF TV,ALİ ŞAKACI,HAKAN GEREY,ALMİNA KOCABAŞ,MERT ELMA,NEŞE KARTAL,NESLİHAN SÜTLÜ,ALİ USLU,VOLKAN YILDIZ,Kepez Turgut Özal Spor Salonu
14.01.2023,13:00,1BA2874,15,BURSA ULUDAĞ BASKETBOL,82 - 85,RİZE BELEDİYESİ,,BURSA,Naim Süleymanoğlu Spor Kompleksi,"Youtube / TBF TV,SPORTSTV",MEHMET ŞAHİN,SERTAN KIRKLAR,SAFA HALİT ÇAKIR,EBRU ÖZTAŞKIRAN,SİNEM ERTEM,TARIK KEMAL ÜNLÜ,ESRA SOLAK,BERNA EKBİÇ,Naim Süleymanoğlu Spor Kompleksi
14.01.2023,15:00,1BA2875,15,EMLAK KONUT,74 - 56,OGM ORMANSPOR,,İSTANBUL,Başakşehir Spor Kompleksi,Youtube / TBF TV,ALİ SERKAN EMLEK,SAMET TEKİN,METİN EROL,HÜSEYİN MELİH  GÜDEN,MEHMET KAPUCU,MERVE SAĞLAM,REMZİ KILIÇ,MURAT SÜMER,Başakşehir Spor Kompleksi
14.01.2023,16:00,1BA2871,15,GALATASARAY ÇAĞDAŞ FAKTORING,83 - 57,ÇANKAYA ÜNİVERSİTESİ,,İSTANBUL,Ahmet Cömert Spor Salonu,Youtube / TBF TV,YİĞİT GÖNÜLTAŞ,TOLGA AKKUŞOĞLU,SELENA GAMZE ÖGET ÇERÇİ,EMRULLAH DAĞ,NAZLI YENER,YÜKSEL NAZLIGÜL,GÜL URASLI,CEYDA KAPKAÇ,Ahmet Cömert Spor Salonu
15.01.2023,15:00,1BA2873,15,MELİKGAZİ KAYSERİ BASKETBOL,71 - 72,TUFAN METALURJİ HATAY BÜYÜKŞEHİR BELEDİYESPOR,,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,Youtube / TBF TV,AHMET TATLICI,AYDIN KARAÇAM,BURAK ERKAN,ABDULLAH ÖZSUVEREN,BÜŞRA ALAN,FATİH SAVAŞKAN,CEREN SIDIKA DEMİR,SİNEM MUTLU,Kadir Has Kongre Merkezi Spor Salonu
15.01.2023,15:30,1BA2876,15,BOTAŞ,66 - 56,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,,ANKARA,Ankara Spor Salonu,"Youtube / TBF TV,SPORTSTV",ÖZLEM YALMAN,ABDULLAH İLİK,BURAK AKTAŞ,IRMAK BAŞAK KAN,ALPER KESEN,SİBEL FAZLIOĞLU,GÖZDE ÖZBEK,SİNA KÜÇÜKDİLEK,Ankara Spor Salonu
15.01.2023,16:00,1BA2872,15,NESİBE AYDIN,60 - 65,BEŞİKTAŞ,,ANKARA,TOBB ETÜ Spor Salonu ,Youtube / TBF TV,AYTUĞ EKTİ,ANIL VEZİROĞLU,SEZER BOR,HACI MUSTAFA  BORA,SEÇİL ÇAPKINOĞLU,RESUL GEÇER,TUNCER ULUŞEKER,FUNDA KONCA,TOBB ETÜ Spor Salonu
21.01.2023,14:00,1BA2879,16,FENERBAHÇE ALAGÖZ HOLDİNG,88 - 64,BOTAŞ,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,Youtube / TBF TV,SEHER AYŞE NUR YAZICIOĞLU,BURAK DURMUŞ,RAMAZAN SEZER BARAN,TUĞBA YURTSEVEN,ZEHRA AKAN,YEŞİM ÖZCAN ÖZTÜRK,ESER FIRIL,ALTAN CANDAN,Fenerbahçe Metro Enerji Spor Salonu
