Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
4.12.2020,17:00,3EA1662,01,TED ANKARA KOLEJLİLER,80 - 81,ASYA KARTALLARI,D,ANKARA,TED Üniversitesi Prof. Dr. Rüştü Yüce S.S.,,ÖMER SARI,ANIL HAMİT SAYAR,RIDVAN CÖMERT,FİLİZ ÖGET,PELİN KUZU,FATİH ŞEN,ALİ MURAT SUNGUR,ARDA GÜRBÜZ,TED Üniversitesi Prof. Dr. Rüştü Yüce S.S.
5.12.2020,14:00,3EA1656,01,SEYHAN BELEDİYESPOR,69 - 90,ABB EGOSPOR,B,ADANA,Menderes Spor Salonu,,HİKMET FEN,EMRE YELDAŞ,BEYHAN ERBİLGİN,YEŞİM ATUŞ KARAGÖZ,MEHTAP TOSUN,MUSTAFA ERDİNÇ,İBRAHİM YALANCA,CANSU DİKİLİTAŞ,Menderes Spor Salonu
5.12.2020,14:00,3EA1658,01,BEYLİKDÜZÜ BASKETBOL,84 - 48,ÇÖZÜM ANKARA KOLEJİ,B,İSTANBUL,Beylikdüzü Spor Salonu,,SERHAT DÜLGER,MUSTAFA ÇELTİKER,MUSTAFA GÜRHAN SOYSAL,ELHAN ÜLGENER,SERDAR ERHAN,SEMRA AKDUMAN,REMZİ KILIÇ,MELDA ÇAKIRCA,Beylikdüzü Spor Salonu
5.12.2020,15:00,3EA1663,01,DARICA GENÇLERBİRLİĞİ,79 - 97,SARAY BELEDİYESPOR,D,KOCAELİ,Gebze Spor Salonu,,SEZER BOR,FURKAN  SÖYLEMEZOĞLU,GÜNEY BİRLİK,BURAK DEMİR,SÜLEYMAN SIRRI YÜKSEL,İSMET MUHAMMED DEMİRER,İSMAİL DİREN,BURAK ŞANCI,Gebze Spor Salonu
5.12.2020,16:00,3EA1664,01,ERZURUM BŞB GENÇLİK,83 - 60,EGE SPORTİF,D,ERZURUM,Erzurum Büyükşehir Belediyesi Spor Salonu,,ORÇUN AKGÜL,BERK BEŞGEN,HEYBET NASIROĞLU,SEMAHATTİN YILDIZ,GÖKŞEN KÜNİ,ŞERMİN BOZOĞLU,İLKNUR ÖZGÜNEY,OSMAN BAHADIR CULFA,Erzurum Büyükşehir Belediyesi Spor Salonu
5.12.2020,16:00,3EA1655,01,KASTAMONU YURDUM GSK,78 - 69,NAZİLLİ BELEDİYESPOR,A,KASTAMONU,Hüsnü Tandoğan Spor Salonu,,FURKAN KESERATAR,HASAN OK,BERK YÜCEL,SİBEL KANIK,İRFAN KÜTÜKOĞLU,SUAT KARKACIOĞLU,ERCAN ÇİÇEK,ŞENOL KARABALTAOĞLU,Hüsnü Tandoğan Spor Salonu
5.12.2020,16:00,3EA1661,01,KAYSERİGAZ GSK,67 - 91,İSTANBUL BBSK,C,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,,SİBEL KOÇ,HÜSEYİN EMRE EROL,ÜNAL ÖZDEMİR,ABDULLAH ÖZSUVEREN,BÜŞRA ALAN,FATİH SAVAŞKAN,SALİH KAPUCU,EMRE KARAKAYA,Kadir Has Kongre Merkezi Spor Salonu
6.12.2020,15:00,3EA1654,01,SAMSUN DOĞA KOLEJİ İLKADIM 55 GSK,67 - 88,HIGH TOUCH HT,A,SAMSUN,Mustafa Dağıstanlı Spor Salonu,,ALPER TACETTİN,CELAL GÖRMÜŞ,METİN SARIOĞLU,CUMHUR ARSLAN,ESRA BAYZAT,MERVE SERDAR,HAKAN ÖNEN,MURAT ŞENDERE,Mustafa Dağıstanlı Spor Salonu
6.12.2020,16:00,3EA1653,01,BAŞKENT YENİŞEHİR,71 - 63,HAREM SPOR,A,ANKARA,Ankara Taha Akgül Spor Salonu,,FATİH EVLİ,ALİ BARAN TECİRLİ,YUNUS EMRE ALICI,BURAK DEDE,SÜMEYYE SENEKLİOĞLU,SİNA KÜÇÜKDİLEK,BORA AĞBULUT,ARDA GÜRBÜZ,Ankara Taha Akgül Spor Salonu
6.12.2020,16:00,3EA1657,01,KADIKÖY İSTANBUL SK,59 - 68,BATI EGE,B,İSTANBUL,Caferağa Spor Salonu,,MURAT GENÇ,METEHAN ALAÇAM,ATAKAN KOLCU,RAHŞAN ŞEBNEM TÜMER,MURAT SONER DURADEMİR,MUSTAFA GÖKMEN DEMİRAY,TOLGAY ÖZCAN,RAMAZAN KOÇ,Caferağa Spor Salonu
