Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
10.10.2015,14:00,1EA1981,01,ROYAL HALI GAZİANTEP,53 - 59,DARÜŞŞAFAKA DOĞUŞ,,GAZİANTEP,Karataş Şahinbey Spor Salonu,NTV SPOR,ERŞAN KARTAL,ALPER ALTUĞ KÖSELERLİ,KEREM BAKİ,,,,,,Karataş Şahinbey Spor Salonu
10.10.2015,16:30,1EA1983,01,TRABZONSPOR MEDICALPARK,58 - 80,GALATASARAY ODEABANK,,TRABZON,Hayri Gür Spor Salonu,LİGTV3,MEHMET KESERATAR,KAAN BÜYÜKÇİL,ALİ ŞAKACI,,ALEYNA KİLİT,CÜNEYT DURMUŞ,MEHMET DİNÇ,,Hayri Gür Spor Salonu
10.10.2015,19:00,1EA1986,01,BEŞİKTAŞ SOMPO JAPAN,79 - 96,PINAR KARŞIYAKA,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,LİGTV3,AYTUĞ EKTİ,YENER YILMAZ,MEHMET SERDAR ÜNAL,,ALPER LAÇİNKAYA,ZAFER RİFAİ,AREZU KARAKAŞ,YÜKSEL NAZLIGÜL,Akatlar Spor ve Kültür Kompleksi
13.10.2015,20:00,1EA1980,01,FENERBAHÇE,97 - 81,RÖNESANS TED ANKARA KOLEJLİLER,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,NTV SPOR,ALİ SERKAN EMLEK,ZİYA ÖZORHON,İBRAHİM ALTINTAŞ,,BEGÜM SAVAŞ,ESER FIRIL,BERNA MELİS ALMALAR,EBRU ULUDOĞAN,Ülker Spor ve Etkinlik Salonu
14.01.2016,19:00,1EA1979,01,MURATBEY UŞAK SPORTİF,79 - 86,AKIN ÇORAP YEŞİLGİRESUN BLD.,,UŞAK,Uşak Universitesi,Youtube / TBF TV,MURAT  BİRİCİK,AHMET ERSAN ERGÜLER,SEHER AYŞE NUR YAZICIOĞLU,,DENİZ DEMİREL,ŞULE AKSAN,KAZIM KAĞAN ŞENTÜRK,NADİRE SEDA YILMAZ,Uşak Universitesi
16.01.2016,16:00,1EA1984,01,İSTANBUL BBSK,94 - 88,BANVİT BASKETBOL,,İSTANBUL,Cebeci Spor Salonu,LİGTV3,EMİN MOĞULKOÇ,HALİL BALDEMİR,MEHMET ŞAHİN,,MURAT ÖZKAN,ZAFER RİFAİ,SENA MUSLU,AYGÜN SEVGİL,Cebeci Spor Salonu
18.01.2016,19:00,1EA1985,01,TÜRK TELEKOM,71 - 79,DEMİR İNŞAAT BÜYÜKÇEKMECE,,ANKARA,Ankara Spor Salonu,Youtube / TBF TV,RECEP ANKARALI,ALPER ÖZGÖK,ERGİN SARI,,SELİN AVNAMAK,YUSUF NADAS,VEYSEL SİNAN TUNCER,BÜŞRA AYDIN,Ankara Spor Salonu
18.01.2016,19:00,1EA1982,01,ANADOLU EFES,98 - 71,TORKU KONYA SPOR,,İSTANBUL,Abdi İpekçi Spor Salonu,NTV SPOR,ENGİN KENNERMAN,ÖZLEM YALMAN,İSMAİL AYDIN,,ESİN MÜEZZİNOĞLU,AHMET YILDIZ,SEMRA AKDUMAN,YÜCEL FIRAT,Abdi İpekçi Spor Salonu
17.10.2015,16:00,1EA1993,02,PINAR KARŞIYAKA,100 - 74,TÜRK TELEKOM,,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,LİGTV2,ALİ SERKAN EMLEK,ALİ ŞAKACI,AHMET TATLICI,,BARIŞ ERTOSUN,ORÇUN ATAMAN,GÜLÇİN AKIN,PINAR EĞRİLMEZ,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
17.10.2015,17:00,1EA1992,02,DEMİR İNŞAAT BÜYÜKÇEKMECE,91 - 90,İSTANBUL BBSK,,İSTANBUL,Gazanfer Bilge,Youtube / TBF TV,FATİH ARSLANOĞLU,YENER YILMAZ,ZİYA ÖZORHON,,SİNEM ÜNAL,DİNÇER ADİLLER,CEYDA KAPKAÇ,GÜLŞAH ÇEBİ,Gazanfer Bilge
