Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
19.03.2023,14:00,BGL1356,Playoff Eleme Turu,GALATASARAY NEF,108 - 71,TÜRK TELEKOM SPOR,Play Off Eleme A4-B5,İSTANBUL,Ahmet Cömert Spor Salonu,Youtube / TBF TV,HÜSEYİN ÇELİK,İSMAİL BALPETEK,YASEMİN KUNDAKÇI,VOLKAN  KILIÇ,ÖZLEM TUNA,EYÜP KÜLLE,MURAT ÖZKAN,TUĞÇE KAYA,Ahmet Cömert Spor Salonu
19.03.2023,19:30,BGL1357,Playoff Eleme Turu,PINAR KARŞIYAKA,81 - 67,TED ANKARA KOLEJLİLER,Play Off Eleme B4-A5,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,Youtube / TBF TV,KAAN BÜYÜKÇİL,YUNUS EMRE ALICI,SEÇKİN ŞENTÜRK,MURAT MISIRLI,CEMRE ÇEKAL,İLAYDA DİNÇEL,GÖKHAN YAZ,ERSOY TURAN,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
22.03.2023,18:00,BGL1358,Playoff Eleme Turu,TÜRK TELEKOM SPOR,75 - 65,GALATASARAY NEF,Play Off Eleme B5-A4,ANKARA,TOBB ETÜ Spor Salonu ,Youtube / TBF TV,MUSA KAZIM ÇETİN,ENES DURAN,BERK BÜKE,HACI MUSTAFA  BORA,MİNE KARAMAN,VOLKAN DARCAN,FATMA ÇELİK,MİNE MİHRİCAN KANBUR,TOBB ETÜ Spor Salonu
23.03.2023,15:00,BGL1359,Playoff Eleme Turu,TED ANKARA KOLEJLİLER,74 - 50,PINAR KARŞIYAKA,Play Off Eleme A5-B4,ANKARA,Gölbaşı Spor Salonu,Youtube / TBF TV,FATİH GÜLER,CELAL GÖRMÜŞ,HASAN TUNÇ KESKİN,OZAN ÜSTÜN,SEDA KIDIK,HASAN BAŞKURT,EZGİ KILIÇ,ALPER KESEN,Gölbaşı Spor Salonu
27.03.2023,19:00,BGL1361,Playoff Eleme Turu,PINAR KARŞIYAKA,64 - 53,TED ANKARA KOLEJLİLER,Play Off Eleme A5-B4,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,Youtube / TBF TV,ZİYA ÖZORHON,ERKMEN KAYA,HALİL ATA GÜNAL,TOLGA  AKSULAR,SADIK ERGÜL,İLAYDA DİNÇEL,DİLEK DOĞAN KARACA,SİNEM BİRTÜRK,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
3.04.2023,15:00,BGL1362,Playoff Çeyrek Final,TOFAŞ,73 - 80,BEŞİKTAŞ JK,Play Off Çeyrek Final A2-B3,BURSA,Tofaş Spor Salonu,Youtube / TBF TV,TOLGA EDİS,SAMİ İREK,ARTUN BAYRAKTAR,MACİT ZEREN,NEBİYE SALLANTI,TEOMAN ÖYLEK,ŞAFAK IRMAK SARAÇOĞLU,ADEM ÇATALKAŞ,Tofaş Spor Salonu
5.04.2023,16:30,BGL1364,Playoff Çeyrek Final,GAZİANTEP BASKETBOL,102 - 79,PINAR KARŞIYAKA,Play Off Çeyrek Final A1-B4,KOCAELİ,Çayırova Spor Salonu,Youtube / TBF TV,CAN MAVİSU,MUSA ONUR SAVAŞ,OĞUZHAN GÜZEL,FİRDEVS EBRU ONARAN,ÖZGE ERÇETİN,GAMZE KURT,YAĞIZ KAAN SERT,SUDENUR DUMAN,Çayırova Spor Salonu
5.04.2023,17:30,BGL1363,Playoff Çeyrek Final,DARÜŞŞAFAKA,85 - 79,GELİŞİM KOLEJİ,Play Off Çeyrek Final B2-A3,İSTANBUL,Caferağa Spor Salonu,Youtube / TBF TV,AHMET TATLICI,BATUHAN BARUT,TEOMAN ALTAR AKIN,RAHŞAN ŞEBNEM TÜMER,TUĞBA DURNAOĞLU,EBRU ULUDOĞAN,FATMA GÖK,ZEHRA AKAN,Caferağa Spor Salonu
6.04.2023,16:00,BGL1366,Playoff Çeyrek Final,BEŞİKTAŞ JK,74 - 67,TOFAŞ,Play Off Çeyrek Final B3-A2,İSTANBUL,BJK Emlakjet Spor Kompleksi,Youtube / TBF TV,FATİH GÜLER,KAAN ÖZKAN,FATİH ŞAFAK,HÜSEYİN OSMAN BÜYÜKGÖKSU,TUĞÇE KAYA,ALPKAN HACIYAKUPOĞLU,TUNA TAŞ,ŞERMİN NAZLIGÜL,BJK Emlakjet Spor Kompleksi
6.04.2023,19:00,BGL1365,Playoff Çeyrek Final,ANADOLU EFES,89 - 62,GALATASARAY NEF,Play Off Çeyrek Final B1-A4,İSTANBUL,Küçükçekmece Halkalı Spor Salonu,Youtube / TBF TV,CAN MAVİSU,ERHAN ERDOĞAN,YUNUS ÖZTÜRK,CEM ATMACA,BİROL ÖZDAL,SAMET AKYÜREK,MURAT ÖZKAN,HİLMİ CANKUT AYNAR,Küçükçekmece Halkalı Spor Salonu
