Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
5.10.2018,19:00,1EA2793,01,BAHÇEŞEHİR KOLEJİ,88 - 79,AFYON BELEDİYESPOR,,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu,TİVİBU Spor,ERŞAN KARTAL,ALPER ALTUĞ KÖSELERLİ,MUSA KAZIM ÇETİN,İLKE ORTAÇ ALATAN,BEKİR SEVİMLİ,YÜKSEL NAZLIGÜL,ŞERMİN NAZLIGÜL,ALPKAN HACIYAKUPOĞLU,Darüşşafaka Ayhan Şahenk Spor Salonu
6.10.2018,13:00,1EA2791,01,DARÜŞŞAFAKA TEKFEN,62 - 63,GAZİANTEP BASKETBOL,,İSTANBUL,Volkswagen Arena,TİVİBU Spor 2,MEHMET KESERATAR,KEREM BAKİ,SİNEM TETİK AKBAYRAK,ALİ RIZA YILMAZ,AYŞE SERVER SEZER,ERMAN YÜCEL,GÖZDE BEGÜM AKÜZÜM,ALİ MALÇOK,Volkswagen Arena
6.10.2018,15:15,1EA2795,01,PINAR KARŞIYAKA,55 - 82,TOFAŞ,,İZMİR,Mustafa Kemal Atatürk Karşıyaka Spor Salonu,TİVİBU Spor 2,ALİ SERKAN EMLEK,ALPER ÖZGÖK,SEHER AYŞE NUR YAZICIOĞLU,MEHMET CELAL ARISAN,MERAL DURMAZ,İRFAN TEMELLİ,BERRİN TURAN,GÜNAY ALPUĞUZ,Mustafa Kemal Atatürk Karşıyaka Spor Salonu
6.10.2018,17:30,1EA2788,01,FENERBAHÇE BEKO,78 - 73,BEŞİKTAŞ SOMPO JAPAN,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,TİVİBU Spor 2,YENER YILMAZ,MEHMET SERDAR ÜNAL,ALİ ŞAKACI,MEHMET ZAFER MİLLİ,ESER FIRIL,SERHAT LEVENT,EBRU ULUDOĞAN,GÜLŞAH ÇEBİ,Ülker Spor ve Etkinlik Salonu
7.10.2018,13:00,1EA2789,01,ADATIP SAKARYA BÜYÜKŞEHİR BELEDİYE BASKETBOL,55 - 65,TÜRK TELEKOM,,SAKARYA,Sakarya Spor Salonu,TİVİBU Spor 2,KAAN BÜYÜKÇİL,MEHMET OZAN ÇAKAR,DUHAN KÖYİÇİ,GÖRKEM BIÇAKCIOĞLU,YUSUF MURAT ÖTEN,ABDULLAH ŞEREMET,TARKAN MERİÇ,MÜCAHİT YAŞAR,Sakarya Spor Salonu
7.10.2018,15:15,1EA2792,01,GALATASARAY DOĞA SİGORTA,70 - 73,ANADOLU EFES,,İSTANBUL,Sinan Erdem Spor Salonu,TİVİBU Spor,FATİH ARSLANOĞLU,MEHMET ŞAHİN,CAN MAVİSU,YEŞER EROĞLU ESKİCİOĞLU,CEYDA KAPKAÇ,ERMAN YÜCEL,MERVE SAĞLAM,ESİN MÜEZZİNOĞLU,Sinan Erdem Spor Salonu
7.10.2018,17:30,1EA2790,01,BANVİT,59 - 81,AREL ÜNİVERSİTESİ BÜYÜKÇEKMECE BASKETBOL,,BALIKESİR,Banvit Kara Ali Acar Spor Salonu,TİVİBU Spor 2,ZAFER YILMAZ,HALİL BALDEMİR,ALİ KÖSEOĞLU,MUSTAFA SAİT BATTALGAZİ,ÇAĞLA USLUCA,MERT TELLİBAYRAKTAR,METİN IŞIK,ERCAN ÇAVUŞOĞLU,Banvit Kara Ali Acar Spor Salonu
13.10.2018,13:00,1EA2803,02,BEŞİKTAŞ SOMPO JAPAN,61 - 57,PINAR KARŞIYAKA,,İSTANBUL,Akatlar Spor ve Kültür Kompleksi,TİVİBU Spor 2,EMİN MOĞULKOÇ,FATİH ARSLANOĞLU,MUSA KAZIM ÇETİN,EMİN FAZIL KESERATAR,ESER FIRIL,EBRU ULUDOĞAN,GÖZDE BEGÜM AKÜZÜM,SEDA İŞLER,Akatlar Spor ve Kültür Kompleksi
13.10.2018,15:15,1EA2798,02,GAZİANTEP BASKETBOL,73 - 69,BANVİT,,GAZİANTEP,Karataş Şahinbey Spor Salonu,TİVİBU Spor 2,ALPER ALTUĞ KÖSELERLİ,ZİYA ÖZORHON,MEHMET ŞAHİN,AHMET ÖZKAN,RECEP ÖZTÜRK,EKMEL CENGİZ,PINAR ŞAHİN,ALİ DALYANOĞLU,Karataş Şahinbey Spor Salonu
13.10.2018,17:30,1EA2800,02,BAHÇEŞEHİR KOLEJİ,83 - 78,GALATASARAY DOĞA SİGORTA,,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu,TİVİBU Spor 2,ÖZLEM YALMAN,MEHMET KARABİLECEN,SERHAT BÜKER,HAKAN ERGİN,SELCAN TUĞÇE ALKAYA,AHMET YILDIZ,HİLMİ CANKUT AYNAR,ALPKAN HACIYAKUPOĞLU,Darüşşafaka Ayhan Şahenk Spor Salonu
