Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
20.10.2023,17:30,BGLK351,01,FENERBAHÇE,83 - 57,OGM ORMANSPOR,A,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,Youtube / TBF TV,FATMA ÖZTÜRK,BERKİN YÜCER,AHMET EMRE PEHLİVAN,TAYFUN AY,MURAT GÜRKAN,GÜLTEKİN KABAŞ,NAZLI TUZCUOĞLU,ZEHRA AKAN,Fenerbahçe Metro Enerji Spor Salonu
20.10.2023,19:00,BGLK353,01,BOTAŞ,67 - 42,BEŞİKTAŞ,B,ANKARA,Yeni Botaş Spor Salonu,Youtube / TBF TV,ALMİNA KOCABAŞ,MUTLU AKBAŞ,SÜLEYMAN YILDIZ,FİLİZ ÖGET,ELİF CAN,ALİ MURAT SUNGUR,VOLKAN DARCAN,ALPER KESEN,Yeni Botaş Spor Salonu
21.10.2023,13:00,BGLK354,01,ÇBK MERSİN,78 - 77,BURSA ULUDAĞ BASKETBOL,B,MERSİN,Servet Tazegül Spor Salonu,Youtube / TBF TV,HALİL ERKOÇ,TAYYİP YAVUZ,HASAN HÜSEYİN DEVECİ,YALÇIN DEDE,MÜCAHİT AHMED UĞUR,MERVE YAĞMA,AHMET ÖZDOĞAN,TUFAN EZER,Servet Tazegül Spor Salonu
21.10.2023,13:00,BGLK357,01,EMLAK KONUT,72 - 67,ASİLADA EGE GELİŞİM,D,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,Youtube / TBF TV,FURKAN KESERATAR,YAVUZHAN KÜRŞAT AYDIN,İLAYDA SEZAN,RAHŞAN ŞEBNEM TÜMER,EYÜP KÜLLE,PINAR ŞAHİN,REMZİ KILIÇ,MURAT SÜMER,Şehit Mustafa Özel Spor Kompleksi
21.10.2023,15:00,BGLK355,01,TED ANKARA KOLEJLİLER,63 - 49,KEPEZ BELEDİYE ANTALYA TOROSLAR,C,ANKARA,TED Üniversitesi Prof. Dr. Rüştü Yüce S.S.,Youtube / TBF TV,ÖZKAN TALO,KADİR BERDAN ŞEKER,KEMAL VURAL,MUTLU  HİÇYILMAZ,HÜSEYİN ÖKMEN,SÜMEYYE SENEKLİOĞLU,SEMİH BOSTANCI,YUNUS KAHRAMAN,TED Üniversitesi Prof. Dr. Rüştü Yüce S.S.
21.10.2023,16:00,BGLK356,01,MELİKGAZİ KAYSERİ BASKETBOL,56 - 71,GALATASARAY,C,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,Youtube / TBF TV,AHMET MURAT ARIKANLI,ÜNAL ÖZDEMİR,OSMAN KINCAL,MEHMET ONUR KARACA,HAKAN ÇEKMEN,FATMA AŞILI,SİNEM MUTLU,BÜLENT TOSUN,Kadir Has Kongre Merkezi Spor Salonu
21.10.2023,16:00,BGLK358,01,İSTANBUL BASKETBOL FENERİ,40 - 70,NESİBE AYDIN,D,İSTANBUL,İTO Yakacık Spor Salonu,Youtube / TBF TV,MUHAMMED MURAT ZAFER,BATUHAN AKIN,NURTEN BEREKET,ERSİN ÇELİK,PINAR PAR MAT,GÜLTEKİN KABAŞ,MERVE SERDAR,ZEHRA AKAN,İTO Yakacık Spor Salonu
23.10.2023,14:00,BGLK352,01,ÇANKAYA ÜNİVERSİTESİ,68 - 53,ECOGREEN MERKEZEFENDİ BELEDİYESİ,A,ANKARA,Çankaya Üniversitesi Olimpik Spor Salonu,Youtube / TBF TV,ÇAĞATAY TAŞKIN,SERKAN İPEK,HAKAN ÇETİN,MUSTAFA KOCAEREN,BEYZA MERYEM BOLAT,VEYSEL SİNAN TUNCER,MELİKE DENİZ BAYRAM,AYSU İNALTUN,Çankaya Üniversitesi Olimpik Spor Salonu
2.02.2024,18:00,BGLK409,Final Grubu,OGM ORMANSPOR,51 - 70,ASİLADA EGE GELİŞİM,FİNAL GRUBU A,ANKARA,M. Sait Zarifoğlu Spor Salonu,Youtube / TBF TV,OSMAN CAN GÜNDOĞDU,BEKİR BOZKURT,KÜBRA GÜMÜŞ,MUSTAFA KOCAEREN,SELDA UZUN,FATMA ÇELİK,MELİKE DENİZ BAYRAM,MİNE MİHRİCAN KANBUR,M. Sait Zarifoğlu Spor Salonu
3.02.2024,16:00,BGLK410,Final Grubu,NESİBE AYDIN,77 - 61,ÇANKAYA ÜNİVERSİTESİ,FİNAL GRUBU A,ANKARA,TOBB ETÜ Spor Salonu ,Youtube / TBF TV,DERYA ÇELİK,KADİR BERDAN ŞEKER,MEHMET FURKAN GÜLTEN,SERKAN OKAN,SİMAY ÇAKMAK,SİBEL FAZLIOĞLU,BORA MERT KARADEMİR,HASAN BAŞKURT,TOBB ETÜ Spor Salonu
