Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
22.09.2023,16:00,2BA4321,01,ÇBK GELİŞİM,66 - 81,ÇERKEZKÖY BELEDİYESİ,,MERSİN,Servet Tazegül Spor Salonu,Youtube / TBF TV,MEHMET BURAK ANLATICI,ANIL VEZİROĞLU,ALİ BARAK,TURGAY KÖROĞLU,EMİNE SEYREK,MÜCAHİT AHMED UĞUR,İLKNUR DABLAN,SABRİ DUYGUN SAYDANOĞLU,Servet Tazegül Spor Salonu
22.09.2023,17:15,2BA4323,01,ÇANKIRISPOR YÜKSELİŞ,71 - 99,YTR GAYRİMENKUL BODRUM BASKETBOL,,ÇANKIRI,Hasan Fehmi Gökşen Spor Salonu,Youtube / TBF TV,ALMİNA KOCABAŞ,DERYA ÇELİK,SÜLEYMAN TEPE,VEYSEL PEKDOĞAN,HATİCE REYHAN BEŞLİ,OĞUZ KAAN GÖKMEN,SELİM KIZILAY,İSMAİL TAHA ALTINSOY,Hasan Fehmi Gökşen Spor Salonu
22.09.2023,18:00,2BA4322,01,URLA BELEDİYESİ,41 - 80,FERHATOĞLU EDREMİT BELEDİYESİ GÜRESPOR,,İZMİR,12 Eylül Spor Salonu,Youtube / TBF TV,MUSTAFA CANDEMİR TABAK,HAVVA MİRHAN ATEŞER,YUNUS ÖZTÜRK,TOLGA  AKSULAR,BETÜL AKDOĞAN,MEHMET AKINCI,HALDUN TAŞKAVAK,ÇAĞATAY KAMER VANLIOĞLU,12 Eylül Spor Salonu
23.09.2023,14:00,2BA4325,01,HDI SİGORTA YALOVA VIP,74 - 67,LİDYA GARDEN CİTY TURGUTLU BELEDİYESPOR,,YALOVA,90. Yıl Spor Salonu,Youtube / TBF TV,ERDOĞAN ÇELEBİ,İZEL DENİZ PEHLİVAN ÇAKICI,CANER BAHADIR,ATİF AL,NURSEVİL AKYOL,HANİFE CELEPOĞLU,ESRA YOLCU ESEN,ANIL BIYIKOĞLU,90. Yıl Spor Salonu
23.09.2023,14:30,2BA4326,01,01 ADANA BASKETBOL,82 - 71,FENERBAHÇE ALAGÖZ HOLDING GELİŞİM,,ADANA,Menderes Spor Salonu,Youtube / TBF TV,MEHMET BURAK ANLATICI,SİBEL KOÇ,EMRE YELDAŞ,AHMET ÖZKAN,GÜVEN AYDOĞAN,CUMALİ TOSUN,EDA AYDOĞAN,DENİZ ORGÜN,Menderes Spor Salonu
23.09.2023,16:00,2BA4324,01,EMLAK KONUT GELİŞİM,46 - 68,ZONGULDAK SPOR BASKET 67,,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,Youtube / TBF TV,SEDA ESEN,SEDEF YARICI,KAAN ÖZKAN,BEKİR GENÇAL,BİROL ŞİMŞEK,BURHAN DEMİR,FATİH DEMİR,EMRE YAZICI,Şehit Mustafa Özel Spor Kompleksi
23.09.2023,17:00,2BA4327,01,ASLAN YOL BURHANİYE BELEDİYESPOR,82 - 94,DANİLO'S PİZZA BURSA ANT SPOR,,BALIKESİR,Burhaniye Spor Salonu,Youtube / TBF TV,ÖNDER YILMAZ,GÖZDE KAFADAR,RAHMİ GÜNER,SERKAN İNCE,GAMZE ATİLA,MUSA ÇALIŞKAN,OĞUZHAN YEŞİL,ESİN ÖZSÜRMELİ,Burhaniye Spor Salonu
25.09.2023,13:00,2BA4320,01,TOURISM X BOĞAZİÇİ BASKETBOL,49 - 67,BOTAŞ GELİŞİM,,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,Youtube / TBF TV,FATMA ÖZTÜRK,TEOMAN ALTAR AKIN,İREM KORKMAZ,MELİK YİĞİT BAYINDIR,GÖKHAN ALTUNTAŞ,ERMAN YÜCEL,MURAT ÖZKAN,AHSEN CANBULAT,Şehit Mustafa Özel Spor Kompleksi
30.09.2023,13:00,2BA4331,02,FENERBAHÇE ALAGÖZ HOLDING GELİŞİM,92 - 60,ÇANKIRISPOR YÜKSELİŞ,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,Youtube / TBF TV,ATAKAN KAYMAK,MURAT GENÇ,NİHAT KARA,TUĞBA YURTSEVEN,OSMAN OKUDAN,MURAT SONER DURADEMİR,DİLAN SARIBULAK,DİDEM ARPACI KARAGÖZ,Fenerbahçe Metro Enerji Spor Salonu
30.09.2023,14:00,2BA4335,02,FERHATOĞLU EDREMİT BELEDİYESİ GÜRESPOR,95 - 59,ÇBK GELİŞİM,,BALIKESİR,Edremit Spor Salonu,Youtube / TBF TV,SABRİ GÜNDÜZ,MUSTAFA TOPALOĞLU,SENAY COŞKUN,ELA ONAT,GAMZE ATİLA,NESLİHAN ÇOBAN,OĞUZHAN YEŞİL,ESİN ÖZSÜRMELİ,Edremit Spor Salonu
30.09.2023,16:00,2BA4330,02,YTR GAYRİMENKUL BODRUM BASKETBOL,83 - 68,ASLAN YOL BURHANİYE BELEDİYESPOR,,MUĞLA,Bodrum Spor Salonu,Youtube / TBF TV,KADİR GİRAY ESEN,NUR AKÇA,HAKKI ÜNVER,OKAN ÖZER,YAŞAR TOPUZ,EMRE TURAN,MEHMET CAN FİDAN,ORHAN SELÇUK,Bodrum Spor Salonu
30.09.2023,16:00,2BA4328,02,ZONGULDAK SPOR BASKET 67,69 - 43,01 ADANA BASKETBOL,,ZONGULDAK,Site Spor Salonu,Youtube / TBF TV,YARKIN KESKİN,MURAT AMAÇ,HÜSEYİN SÖYLEMEZOĞLU,GÖKHAN ÇAĞLIYAN,SELİN ÇAKAR,MÜZEYYEN UZUN,ESRA ŞAHİN,MURAT PÜREN,Site Spor Salonu
30.09.2023,16:30,2BA4332,02,LİDYA GARDEN CİTY TURGUTLU BELEDİYESPOR,58 - 65,URLA BELEDİYESİ,,MANİSA,Yıldırım Beyazıt Spor Salonu,Youtube / TBF TV,NİYAZİ YASİN KAHRAMAN,SONER ÖZAYDOĞAN,OZAN İNCE,OKAN KAHRAMAN,SERVET NUR TOYGAR,ENGİN ABATAY,RAUF ŞENEL,RAMAZAN YAŞAR,Yıldırım Beyazıt Spor Salonu
30.09.2023,17:00,2BA4329,02,ÇERKEZKÖY BELEDİYESİ,90 - 69,TOURISM X BOĞAZİÇİ BASKETBOL,,TEKİRDAĞ,Çerkezköy Belediyesi 29 Ekim Spor Kompleksi,Youtube / TBF TV,MÜNEVVER ÖZEMRE,OZAN GÜNDÜZ,FATİH ŞAFAK,YAŞAR SİNAN ÇELİKOĞLU,DERYA GÜLBAHAR,ÖZLEM DELİCE,DERYA GÖROĞLU,MÜJDE ÖNGEL,Çerkezköy Belediyesi 29 Ekim Spor Kompleksi
1.10.2023,17:00,2BA4334,02,DANİLO'S PİZZA BURSA ANT SPOR,93 - 75,HDI SİGORTA YALOVA VIP,,BURSA,Yıldırım Şahin Başol Spor Kompleksi,Youtube / TBF TV,AYDIN KARAÇAM,SEYHAN TOPALOĞLU,ERHAN ERDOĞAN,MUSTAFA DURGUT,ELİF ERGÜÇ,BERNA EKBİÇ,SEVİLAY ÖZDEMİR,FATİH DURGUT,Yıldırım Şahin Başol Spor Kompleksi
2.10.2023,18:00,2BA4333,02,BOTAŞ GELİŞİM,80 - 58,EMLAK KONUT GELİŞİM,,ANKARA,Ankara Spor Salonu (Küçük),Youtube / TBF TV,ÖZKAN TALO,ABDULLAH UYANIK,SALİH SERKAN KOÇAK,BURAK DEDE,EROL TUNCEL,TUNCER ULUŞEKER,ELİF CAN,HASAN BAŞKURT,Ankara Spor Salonu (Küçük)
6.10.2023,14:00,2BA4341,03,01 ADANA BASKETBOL,55 - 54,BOTAŞ GELİŞİM,,ADANA,Menderes Spor Salonu,Youtube / TBF TV,AHMET KEMAL DİGİLLİ,HİKMET FEN,ALİ CAN YILMAZ,MEYMİNE MİNE YAZGÖNÜL,MEHTAP TOSUN,SEVDA YAŞAR,ERKAN İNCE,GÜVEN AYDOĞAN,Menderes Spor Salonu
6.10.2023,15:00,2BA4336,03,TOURISM X BOĞAZİÇİ BASKETBOL,52 - 74,FERHATOĞLU EDREMİT BELEDİYESİ GÜRESPOR,,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,Youtube / TBF TV,İBRAHİM ALTINTAŞ,AHMET KÖSE,OĞUZHAN GÜZEL,TUNAHAN  DEMİR,REMZİ KILIÇ,NEŞE KIRAN,YEŞİM AKAN,MURAT SEVGİL,Şehit Mustafa Özel Spor Kompleksi
6.10.2023,16:00,2BA4337,03,ÇBK GELİŞİM,54 - 87,URLA BELEDİYESİ,,MERSİN,Servet Tazegül Spor Salonu,Youtube / TBF TV,YİĞİT EMRE ŞİMŞEK,DEYER AKÇAY,BETÜL YENİSU,EMRE BÜLENT ÖĞRAŞ,TÜRKAN KEKLİK,MERVE YAĞMA,ABUZER BİLEN,BERK MERT,Servet Tazegül Spor Salonu
6.10.2023,17:15,2BA4339,03,ÇANKIRISPOR YÜKSELİŞ,46 - 72,ZONGULDAK SPOR BASKET 67,,ÇANKIRI,Orhan Saka Spor Salonu,Youtube / TBF TV,BURAK AKTAŞ,MELİKŞAH MERCAN,OSMAN CAN GÜNDOĞDU,CANSIN BERK KÖSEOĞLU,TUĞÇE SAKMAN,OĞUZ KAAN GÖKMEN,SELİM KIZILAY,İSMAİL TAHA ALTINSOY,Orhan Saka Spor Salonu
7.10.2023,14:00,2BA4340,03,HDI SİGORTA YALOVA VIP,76 - 64,YTR GAYRİMENKUL BODRUM BASKETBOL,,YALOVA,90. Yıl Spor Salonu,Youtube / TBF TV,MUSTAFA CANDEMİR TABAK,SEÇKİN ŞENTÜRK,ŞEVKET KUTLUHAN KANBUROĞLU,MAHMUT TAN,EMİNE AK,NURAY SORUŞ,NURHAK AYHAN,İBRAHİM HALİL SİVİL,90. Yıl Spor Salonu
7.10.2023,15:00,2BA4342,03,DANİLO'S PİZZA BURSA ANT SPOR,70 - 74,LİDYA GARDEN CİTY TURGUTLU BELEDİYESPOR,,BURSA,Naim Süleymanoğlu Spor Kompleksi,Youtube / TBF TV,BURAK DURMUŞ,SALİH ACAR,NİHAT FURKAN YÜZGEÇ,GÜNAY YAYLI,ESRA SOLAK,BERNA EKBİÇ,NEBİYE SALLANTI,ESRA AL,Naim Süleymanoğlu Spor Kompleksi
7.10.2023,17:00,2BA4343,03,ASLAN YOL BURHANİYE BELEDİYESPOR,81 - 69,FENERBAHÇE ALAGÖZ HOLDING GELİŞİM,,BALIKESİR,Burhaniye Spor Salonu,Youtube / TBF TV,SELENA GAMZE ÖGET ÇERÇİ,GÖKHAN EĞLENOĞLU,BETÜL UNTUÇ,CEM ATMACA,GAMZE ATİLA,OĞUZHAN YEŞİL,ECEM BERBEROĞLU,ESİN ÖZSÜRMELİ,Burhaniye Spor Salonu
9.10.2023,15:00,2BA4338,03,EMLAK KONUT GELİŞİM,67 - 52,ÇERKEZKÖY BELEDİYESİ,,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,Youtube / TBF TV,MUSTAFA ÇELTİKER,ENES DURAN,BATUHAN BARUT,ÖMER KESKİN,MURAT SEVGİL,DİLARA YEŞİLDAL,HALİL İBRAHİM SEVİLİR,AHSEN CANBULAT,Şehit Mustafa Özel Spor Kompleksi
