Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
13.09.2024,18:00,2BA4580,01,ROMATEM BURSA ULUDAĞ BASKETBOL,75 - 69,URLA BELEDİYESİ,,BURSA,Tofaş Spor Salonu,Youtube / TBF TV,SEDEF YARICI,HASAN TUNÇ KESKİN,FATİH ŞAFAK,RAMAZAN ÖYLEK,AYÇA ÜNLÜ,SUELNUR ÇELİK,TEOMAN ÖYLEK,ERAY BABAHANOĞLU,Tofaş Spor Salonu
13.09.2024,20:00,2BA4581,01,GALLARDO,58 - 79,FERHATOĞLU EDREMİT BELEDİYESİ GÜRESPOR,,ANKARA,Sinan Şamil Sam Spor Salonu,Youtube / TBF TV,MURAT AMAÇ,MURAT GENÇ,SALİH SERKAN KOÇAK,OZAN ÜSTÜN,BURCU NUR KIVRAK,MELİKE DENİZ BAYRAM,VEYSEL SİNAN TUNCER,MELİKE DENİZ BAYRAM,Sinan Şamil Sam Spor Salonu
14.09.2024,14:00,2BA4582,01,YALOVA VİP,62 - 85,J&amp;M ÇANAKKALE BELEDİYESPOR,,YALOVA,90. Yıl Spor Salonu,Youtube / TBF TV,YUNUS ÖZTÜRK,MERT ENVER GERMEN,EFE ÖZALKAN,AHMET ÖZKAN,NURAY SORUŞ,NAZMİYE BIYIKOĞLU,CEYLAN BİRLİK,ANIL BIYIKOĞLU,90. Yıl Spor Salonu
14.09.2024,14:30,2BA4583,01,SEÇİL KAUÇUK MERSİN BASKETBALL,70 - 73,ÇİMSA ÇBK MERSİN GELİŞİM,,MERSİN,Edip Buran Spor Salonu,Youtube / TBF TV,ALİ CAN YILMAZ,HAKAN MENNAN,ALİ BARAK,TURGAY KÖROĞLU,YELİZ KAZAN,RABİA YILDIZ ÖZTÜRK,MUZAFFER HARUN ÖZSOY,LEVENT YORULMAZ,Edip Buran Spor Salonu
14.09.2024,17:00,2BA4584,01,ASLAN YOL BURHANİYE BELEDİYESPOR,76 - 68,ÇANKAYA ÜNİVERSİTESİ,,BALIKESİR,Burhaniye Spor Salonu,Youtube / TBF TV,KEREM ALTINTAŞ,ERTUĞRUL TURAN TOPAL,ALPER OĞUZCAN CİRİT,SERKAN İNCE,IŞIL ÖZKAN,ALEV GÜLAÇTI,EYLEM KAYA,GAMZE ATİLA,Burhaniye Spor Salonu
14.09.2024,17:30,2BA4585,01,EDİRNE DSİ,53 - 79,LİDYA GARDEN CİTY TURGUTLU BELEDİYESPOR,,EDİRNE,Edirne Mimar Sinan Spor Salonu,Youtube / TBF TV,SÜLEYMAN EREN PEKDOĞAN,ALPER CAN BOZYEL,KAAN BERK BALCIOĞLU,MELİH ERGENE,CEMRESU DİRİCAN,SELENAY DEĞİRMENDERELİ,BURAK TUNALI,ELİF ÖÇAL,Edirne Mimar Sinan Spor Salonu
15.09.2024,15:00,2BA4586,01,KIRKLARELİ BELEDİYESİ KIRKLARELİ FEN BİLİMLERİ,72 - 68,01 ADANA BASKETBOL,,KIRKLARELİ,Yeni Kırklareli Spor Salonu,Youtube / TBF TV,SAMET TEKİN,MUSA ONUR SAVAŞ,KAMİL TALHA OLGUN,ENİS GÜREL,BETÜL ERDEM,SEMRA SOLAK,GÜLİZ ÖZALTAN DİLMEN,ASLI ŞİMŞEK,Yeni Kırklareli Spor Salonu
16.09.2024,18:00,2BA4587,01,FENERBAHÇE GELİŞİM,60 - 64,EMLAK KONUT GELİŞİM,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,Youtube / TBF TV,ABDULLAH İLİK,HÜSEYİN SÖYLEMEZOĞLU,İSMAİL ARSLAN,ALİGÜRHAN UZUNAY,TİMUR TOPUZ,HAKAN KARAGÖZ,TUĞBA DURNAOĞLU,AYSEL GÜNER,Fenerbahçe Metro Enerji Spor Salonu
20.09.2024,14:00,2BA4588,02,ÇANKAYA ÜNİVERSİTESİ,49 - 55,ROMATEM BURSA ULUDAĞ BASKETBOL,,ANKARA,ATA Spor Salonu,Youtube / TBF TV,OSMAN CAN GÜNDOĞDU,TARIK ENES BAŞ,ŞÜKRİYE NUR KIZIL,HACI MUSTAFA  BORA,AZRA ÖZKAN,FATİH ŞEN,FATMA ÇELİK,ANIL ENDER DURGUN,ATA Spor Salonu
20.09.2024,18:30,2BA4589,02,URLA BELEDİYESİ,82 - 73,EDİRNE DSİ,,İZMİR,12 Eylül Spor Salonu,Youtube / TBF TV,AYGÜN AKGÜL,MELİK KAYA,BUSE NUR KAHYAOĞULLARI,BÜLENT GÖKÇE,SADIK ERGÜL,BERRİN TURAN,BÜLENT TURAN,SENEM ARIN KOCATÜRK,12 Eylül Spor Salonu
