Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
4.10.2019,13:30,2BA3204,01,NESİBE AYDIN,90 - 66,URLA BELEDİYESİ,,ANKARA,TOBB ETÜ Spor Salonu,,UĞUR AKYILDIZ,ÖMER KALAYDIN,MUSTAFA SELÇUK,FİLİZ ÖGET,GÖKTÜRK FULSER,RESUL GEÇER,ANIL ENDER DURGUN,VEYSEL SİNAN TUNCER,TOBB ETÜ Spor Salonu
4.10.2019,17:00,2BA3208,01,BOTAŞ GELİŞİM,43 - 70,BURSA BÜYÜKŞEHİR,,ANKARA,Ankara Dsi Etlik Spor Salonu,,CİHAN CEYLAN,ANIL HAMİT SAYAR,HÜSEYİN ÇAMCI,MEHMET KAŞİF BATTAL,FATİH DEMİRCİ,FATİH ŞEN,FATMA ÇELİK,SERKAY GÜNEY,Ankara Dsi Etlik Spor Salonu
4.10.2019,18:00,2BA3209,01,BAYRAKLI BELEDİYESİ,78 - 84,1881 DÜZCE BELEDİYE,,İZMİR,Bayraklı Mustafa Kemal Atatürk Spor Salonu,,SAMET FIRAT SAVAŞ,SONER ÖZAYDOĞAN,ERDOĞAN ÇELEBİ,MEHMET KANER,DİLEK GEDİK HANGÜL,ALİ DEVECİ,BERRİN TURAN,MEHMET AKINCI,Bayraklı Mustafa Kemal Atatürk Spor Salonu
5.10.2019,15:00,2BA3210,01,EMLAK KONUT,70 - 56,YALOVA VİP,,İSTANBUL,Complex Istanbul,,HAVVA MİRHAN ATEŞER,ALİ OSMAN KANIK,AHMET TAYLAN ÖZTÜRK,YAŞAR TERZİOĞLU,AYŞE SERVER SEZER,DİNÇER ADİLLER,GÜLİZ KONCA ADİLLER,TUTKU MELİS AYGÜN,Complex Istanbul
5.10.2019,15:00,2BA3207,01,EDREMİT BLD.GÜRE,75 - 69,MERSİN ÜNİVERSİTESİ,,BALIKESİR,Edremit Spor Salonu,Youtube / TBF TV,HASAN KAMİL TAKINYALIOĞLU,SALİH ÖZYURT,BURAK İREM ÇELEBİ,HAKAN ŞAHİN,IŞIL ÖZKAN,OGÜN KURTULUŞ,ESİN ÖZSÜRMELİ,ERCAN ÇAVUŞOĞLU,Edremit Spor Salonu
5.10.2019,16:00,2BA3206,01,BİLGE HASTANESİ SAKARYA YÜKSELİŞ,41 - 58,İSTANBUL ÜNİVERSİTESİ,,SAKARYA,Sakarya Spor Salonu,,AHMET KÖSE,OKAN GÜNGÖR,OKAN BERK TUNÇEL,ZAFER ÖZGÜN,ASLIHAN ONAR,HAKAN BİRLİK,MESUT BORAZAN,KADRİYE ÇAKA,Sakarya Spor Salonu
6.10.2019,14:00,2BA3203,01,FENERBAHÇE GELİŞİM,71 - 59,ANTALYA 07 BASKETBOL,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,,ÖMER SARI,UĞUR ÇETİNEL,ESRA YILDIZ,ALPER ERİN,PERİHAN GİZEM ÜNSAL,SERHAT LEVENT,SEDA İŞLER,ELA ZÜLEYHA ÖZER,Fenerbahçe Metro Enerji Spor Salonu
6.10.2019,14:00,2BA3205,01,MARDİN BÜYÜKŞEHİR BAŞAK,77 - 73,BOSNA 34,,MARDİN,Artuklu Yeni Spor Salonu,,GÖRKEM SÜZEN,SALİH OCAKOĞLU,ZEYNETTİN BİNÇ,MEHMET BOZDAĞ,HÜSEYİN IŞIK,NUR ŞAHİN KANTAŞ,MEDENİ BÜLBÜL,VEYSEL AĞALDAY,Artuklu Yeni Spor Salonu
11.10.2019,18:00,2BA3211,02,URLA BELEDİYESİ,65 - 64,FENERBAHÇE GELİŞİM,,İZMİR,12 Eylül Spor Salonu,,ELİF İNCİ,ABDURRAHMAN AYDOĞDU,BARIŞ BURAK DURMUŞ,İLKE ORTAÇ ALATAN,CEREN BARAN,FATMA DÖNMEZ,ONUR BURAK,SİNEM YENİ,12 Eylül Spor Salonu
12.10.2019,14:00,2BA3218,02,ANTALYA 07 BASKETBOL,54 - 58,EMLAK KONUT,,ANTALYA,Antalya Spor Salonu,,MESUT ÇINAR,AHMET OĞUZHAN CİRİT,OKAN MUHAMMET ANLATICI,MEHMET KANER,PELİN TOPCU,ERKAN BÜDÜN,FATMA MAFACAN,ELİF KÜBRA TÜRKCAN,Antalya Spor Salonu
12.10.2019,14:00,2BA3213,02,İSTANBUL ÜNİVERSİTESİ,83 - 72,MARDİN BÜYÜKŞEHİR BAŞAK,,İSTANBUL,Prof. Dr. Turgay Atasü Spor Salonu,,RAMAZAN SEZER BARAN,SERAY AK,UMUT MEMİŞ,AHMET MÜNİR GÖKMEN,BİROL ŞİMŞEK,OSMAN AŞIK,SERTAÇ KAYA,EMRECAN ÇAKIRCA,Prof. Dr. Turgay Atasü Spor Salonu
12.10.2019,14:00,2BA3215,02,BURSA BÜYÜKŞEHİR,66 - 53,EDREMİT BLD.GÜRE,,BURSA,Yıldırım Şahin Başol Spor Kompleksi,Youtube / TBF TV,SALİH ARDA UNUL,NURİ DİLMEN,ECEM BOZKURT,ATİF AL,ÖZLEM ÖZKAN,TUĞBA ÖYLEK,ESRA AL,SABRİYE ERKAPLAN,Yıldırım Şahin Başol Spor Kompleksi
12.10.2019,15:00,2BA3217,02,YALOVA VİP,65 - 75,BAYRAKLI BELEDİYESİ,,YALOVA,90. Yıl Spor Salonu,,METİN EROL,HAKAN ÇETİN,DERYA ÇELİK,FİRDEVS EBRU ONARAN,ELMAS DEMİREL AYDEMİR,SİNAN ALAGÖZ,İBRAHİM HALİL SİVİL,HÜLYA DOĞAN,90. Yıl Spor Salonu
12.10.2019,17:00,2BA3216,02,1881 DÜZCE BELEDİYE,62 - 55,BOTAŞ GELİŞİM,,DÜZCE,Kalıcı Konutlar Merkez Spor Salonu,,HALUK YAKIN,ALPER TACETTİN,ECE AKMAN,HÜSEYİN HAKAN KUDAK,EMRE ARSLAN,MURAT ORHAN,MERTCAN AKGÜL,ONUR OROÇ,Kalıcı Konutlar Merkez Spor Salonu
13.10.2019,14:00,2BA3214,02,MERSİN ÜNİVERSİTESİ,58 - 70,BİLGE HASTANESİ SAKARYA YÜKSELİŞ,,MERSİN,Mersin Üniversitesi Spor Salonu,,MEHMET BURAK ANLATICI,GÜRKAN DEMİR,ALİ CAN YILMAZ,MUHAMMED DİYAÜDDİN SAĞIR,RABİA YILDIZ ÖZTÜRK,CANER SERTEL,ŞÜKRÜ SITKI,FATMA ITIR ÖNCEL,Mersin Üniversitesi Spor Salonu
13.10.2019,17:00,2BA3212,02,BOSNA 34,80 - 68,NESİBE AYDIN,,KIRKLARELİ,Lüleburgaz Belediyesi Yıldızlar Akademisi Spor Salonu,,SÜLEYMAN EREN PEKDOĞAN,ONUR AÇIKYÜZ,SAMET TEKİN,ÖMER KESKİN,ASLI ŞİMŞEK,AYBİKE KURTULDU,GÖKÇEN GÜNAY,ECE DACI,Lüleburgaz Belediyesi Yıldızlar Akademisi Spor Salonu
15.10.2019,17:00,2BA3224,03,BOTAŞ GELİŞİM,67 - 60,YALOVA VİP,,ANKARA,Ankara Dsi Etlik Spor Salonu,,MUSTAFA BAŞTÜRK,MELİKŞAH MERCAN,ASLI KOÇAK,HALDUN KUNT,VEYSEL SİNAN TUNCER,SİMAY ÇAKMAK,ANIL ENDER DURGUN,ARDA GÜRBÜZ,Ankara Dsi Etlik Spor Salonu
