Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
16.05.2022,20:30,1EA3822,Playoff Çeyrek Final,BAHÇEŞEHİR KOLEJİ,94 - 98,GALATASARAY NEF,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,TİVİBU Spor 2,ALİ SERKAN EMLEK,FATİH ARSLANOĞLU,MUSA KAZIM ÇETİN,SAVAŞ BAYRAM ERTÜRK,BÜŞRA ERKAN,GÖZDE BEGÜM AKÜZÜM,TUĞBA DURNAOĞLU,ALTAN CANDAN,Ülker Spor ve Etkinlik Salonu
17.05.2022,20:30,1EA3823,Playoff Çeyrek Final,FRUTTİ EXTRA BURSASPOR,97 - 77,FENERBAHÇE BEKO,,BURSA,Tofaş Spor Salonu,TİVİBU Spor 2,MEHMET KESERATAR,ZAFER YILMAZ,SERHAT BÜKER,ERDEM EFE,NİDA ECE TÜZÜK,SEVDA USTA,ESRA AL,ABDULLAH KURT,Tofaş Spor Salonu
18.05.2022,18:00,1EA3825,Playoff Çeyrek Final,GAZİANTEP BASKETBOL,73 - 82,DARÜŞŞAFAKA,,GAZİANTEP,Karataş Şahinbey Spor Salonu,TİVİBU Spor 2,MEHMET KARABİLECEN,CAN MAVİSU,MEHMET SERDAR ÜNAL,YEŞİM ATUŞ KARAGÖZ,ZEYNEP AKARKAMÇI,MUSTAFA BODUR,OSMAN KINCAL,EKMEL CENGİZ,Karataş Şahinbey Spor Salonu
19.05.2022,20:30,1EA3826,Playoff Çeyrek Final,FENERBAHÇE BEKO,93 - 81,FRUTTİ EXTRA BURSASPOR,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,TİVİBU Spor 2,EMİN MOĞULKOÇ,KEREM BAKİ,ZİYA ÖZORHON,YAŞAR SİNAN ÇELİKOĞLU,ESER FIRIL,SERHAT LEVENT,ZEHRA AKAN,GÖZDE BEGÜM AKÜZÜM,Ülker Spor ve Etkinlik Salonu
24.05.2022,19:00,1EA3824,Playoff Çeyrek Final,ANADOLU EFES,83 - 68,PINAR KARŞIYAKA,,İSTANBUL,Sinan Erdem Spor Salonu,"TRTSPOR,TİVİBU Spor 2",YENER YILMAZ,ALİ SERKAN EMLEK,KAAN BÜYÜKÇİL,HAKAN BEŞTEPE,CEYDA KAPKAÇ,ZAFER RİFAİ,ESİN MÜEZZİNOĞLU,HİLMİ CANKUT AYNAR,Sinan Erdem Spor Salonu
24.05.2022,21:00,1EA3827,Playoff Yarı Final,FENERBAHÇE BEKO,94 - 69,DARÜŞŞAFAKA,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,TİVİBU Spor 3,AYTUĞ EKTİ,ALPER ALTUĞ KÖSELERLİ,ORHAN ÇAĞRI HEKİMOĞLU,HURŞİT CEM AKAN,HALİL İBRAHİM ÖZBEK,PERİHAN GİZEM ÜNSAL,EDA ELFİDAN,EBRU ULUDOĞAN,Ülker Spor ve Etkinlik Salonu
26.05.2022,20:30,1EA3828,Playoff Yarı Final,FENERBAHÇE BEKO,81 - 82,DARÜŞŞAFAKA,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,"TRTSPOR,TİVİBU Spor 2",ALİ SERKAN EMLEK,MEHMET KARABİLECEN,KAAN BÜYÜKÇİL,EMİN FAZIL KESERATAR,BÜŞRA ERKAN,GÖZDE BEGÜM AKÜZÜM,ECE DİKMENLİ,DEMET ULUCUTSOY,Ülker Spor ve Etkinlik Salonu
27.05.2022,20:30,1EA3830,Playoff Yarı Final,ANADOLU EFES,70 - 105,GALATASARAY NEF,,İSTANBUL,Sinan Erdem Spor Salonu,"TRTSPOR,TİVİBU Spor 2",AYTUĞ EKTİ,KEREM BAKİ,ZİYA ÖZORHON,MEHMET KAŞİF BATTAL,GÜLİZ KONCA ADİLLER,YUSUF YELESDAĞ,ERMAN YÜCEL,GÜL URASLI,Sinan Erdem Spor Salonu
28.05.2022,19:00,1EA3829,Playoff Yarı Final,DARÜŞŞAFAKA,69 - 73,FENERBAHÇE BEKO,,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu,TİVİBU Spor 2,EMİN MOĞULKOÇ,HÜSEYİN ÇELİK,AHMET TATLICI,ERKAN URASLI,YÜKSEL NAZLIGÜL,ALPER LAÇİNKAYA,PINAR ŞAHİN,ALPKAN HACIYAKUPOĞLU,Darüşşafaka Ayhan Şahenk Spor Salonu
29.05.2022,19:00,1EA3831,Playoff Yarı Final,ANADOLU EFES,91 - 77,GALATASARAY NEF,,İSTANBUL,Sinan Erdem Spor Salonu,TİVİBU Spor 2,YENER YILMAZ,CAN MAVİSU,ALPER ÖZGÖK,SERKAN İNCE,ŞERMİN NAZLIGÜL,KEREM SIRMAGİL,AYGÜN SEVGİL,LAL DENİZ ÇELİKER,Sinan Erdem Spor Salonu
30.05.2022,20:30,1EA3833,Playoff Yarı Final,DARÜŞŞAFAKA,65 - 91,FENERBAHÇE BEKO,,İSTANBUL,Darüşşafaka Ayhan Şahenk Spor Salonu,"TRTSPOR,TİVİBU Spor 2",KEREM BAKİ,FATİH ARSLANOĞLU,ZİYA ÖZORHON,HAKAN BEŞTEPE,EMRAH RİFAİ,DİNÇER ADİLLER,AYBERK PARALI,HİLMİ CANKUT AYNAR,Darüşşafaka Ayhan Şahenk Spor Salonu
31.05.2022,20:30,1EA3832,Playoff Yarı Final,GALATASARAY NEF,64 - 71,ANADOLU EFES,,İSTANBUL,Sinan Erdem Spor Salonu,"TİVİBU Spor 2,TRT Spor Yıldız",ERŞAN KARTAL,MEHMET ŞAHİN,SERHAT BÜKER,İBRAHİM EMRE AYDEMİR,TUĞÇE KAYA,AHMET YILDIZ,MERVE SAĞLAM,SEMRA AKDUMAN,Sinan Erdem Spor Salonu
2.06.2022,20:30,1EA3834,Playoff Yarı Final,GALATASARAY NEF,86 - 81,ANADOLU EFES,,İSTANBUL,Sinan Erdem Spor Salonu,TİVİBU Spor 2,MEHMET KARABİLECEN,HÜSEYİN ÇELİK,MEHMET SERDAR ÜNAL,HURŞİT CEM AKAN,ESİN MÜEZZİNOĞLU,ZAFER RİFAİ,ERMAN YÜCEL,GÜL URASLI,Sinan Erdem Spor Salonu
4.06.2022,19:00,1EA3835,Playoff Yarı Final,ANADOLU EFES,104 - 77,GALATASARAY NEF,,İSTANBUL,Sinan Erdem Spor Salonu,"TİVİBU Spor 2,TRT Spor Yıldız",YENER YILMAZ,ERŞAN KARTAL,ALPER ALTUĞ KÖSELERLİ,HAKAN BEŞTEPE,CEYDA KAPKAÇ,ALPER LAÇİNKAYA,HİLMİ CANKUT AYNAR,YUSUF YELESDAĞ,Sinan Erdem Spor Salonu
7.06.2022,20:00,1EA3836,Playoff Final,FENERBAHÇE BEKO,85 - 76,ANADOLU EFES,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,"TRTSPOR,TİVİBU Spor 2",AYTUĞ EKTİ,MEHMET ŞAHİN,CAN MAVİSU,SAVAŞ BAYRAM ERTÜRK,ALTAN CANDAN,PERİHAN GİZEM ÜNSAL,ESER FIRIL,GÖZDE BEGÜM AKÜZÜM,Ülker Spor ve Etkinlik Salonu
9.06.2022,20:30,1EA3837,Playoff Final,FENERBAHÇE BEKO,93 - 78,ANADOLU EFES,,İSTANBUL,Ülker Spor ve Etkinlik Salonu,"TRTSPOR,TİVİBU Spor 2",MEHMET KESERATAR,ERŞAN KARTAL,KAAN BÜYÜKÇİL,HURŞİT CEM AKAN,BÜŞRA ERKAN,SERHAT LEVENT,GÖZDE BEGÜM AKÜZÜM,PERİHAN GİZEM ÜNSAL,Ülker Spor ve Etkinlik Salonu
11.06.2022,19:00,1EA3838,Playoff Final,ANADOLU EFES,103 - 92,FENERBAHÇE BEKO,,İSTANBUL,Sinan Erdem Spor Salonu,"TRTSPOR,TİVİBU Spor 2",EMİN MOĞULKOÇ,YENER YILMAZ,HÜSEYİN ÇELİK,EMİN FAZIL KESERATAR,ŞAZİYE SİMSAR YAKIN,GÜLİZ KONCA ADİLLER,YÜKSEL NAZLIGÜL,EMRAH RİFAİ,Sinan Erdem Spor Salonu
13.06.2022,20:30,1EA3839,Playoff Final,ANADOLU EFES,80 - 92,FENERBAHÇE BEKO,,İSTANBUL,Sinan Erdem Spor Salonu,"TRTSPOR,TİVİBU Spor 2",AYTUĞ EKTİ,KEREM BAKİ,ALPER ALTUĞ KÖSELERLİ,HAKAN BEŞTEPE,BEKİR SEVİMLİ,YUSUF YELESDAĞ,ALPKAN HACIYAKUPOĞLU,SEMRA AKDUMAN,Sinan Erdem Spor Salonu
