Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
4.12.2020,14:00,2BA3476,01,MENEMEN BELEDİYESİ KARŞIYAKA ÇARŞI KOLEJİ,68 - 62,BOTAŞ GELİŞİM,,İZMİR,Vali Hüseyin Öğütcen Spor Salonu,,AHMET BİLAL ÖZTÜRK,BARIŞ BURAK DURMUŞ,GÖNENÇ ÇETİN,GÖRKEM BIÇAKCIOĞLU,HALDUN TAŞKAVAK,CEYDA SARICA KUZU,OSMAN ARKIN BARUTCU,HAKAN DÖNMEZ,Vali Hüseyin Öğütcen Spor Salonu
4.12.2020,14:00,2BA3481,01,MERSİN ÜNİVERSİTESİ MERSİN BÜYÜKŞEHİR BELEDİYESİ GSK,44 - 72,BURSA BÜYÜKŞEHİR BELEDİYESPOR,,MERSİN,Mersin Üniversitesi Spor Salonu,,MEHMET BURAK ANLATICI,ÖZKAN ÇAĞLAYAN,SAMET BİNER,TURGAY KÖROĞLU,MELDA KÖKLÜER,VİLDAN KÖROĞLU EZER,FATMA ITIR ÖNCEL,LEVENT YORULMAZ,Mersin Üniversitesi Spor Salonu
5.12.2020,14:00,2BA3474,01,ÇEŞME BASKETBOL,103 - 54,İSTANBUL ÜNİVERSİTESİ,,İZMİR,ATATÜRK Çeşme Spor Salonu,,SONER ÖZAYDOĞAN,NUR AKÇA,ALPER CAN BOZYEL,FAYSAL AYDEMİR,SİNEM YENİ,ELİF KALENDER,SİNEM BİRTÜRK,GÜLÇİN AKIN,ATATÜRK Çeşme Spor Salonu
5.12.2020,14:00,2BA3480,01,ANTALYA 07 BASKETBOL,76 - 69,YALOVA VİP,,ANTALYA,Akdeniz Üni. Gazi Mustafa Kemal Spor Salonu,,HALDUN ÇOBAN,ERCAN BOZDOĞAN,HAKAN YİĞİT,MERT ELMA,BURHAN ÇİÇEK,ERKAN BÜDÜN,FATMA MAFACAN,NESLİHAN SÜTLÜ,Akdeniz Üni. Gazi Mustafa Kemal Spor Salonu
5.12.2020,16:00,2BA3477,01,GLOBAL CONNECT TRAVEL DÜZCE,46 - 69,FERHATOĞLU EDREMİT BELEDİYESİ GÜRESPOR,,DÜZCE,Kalıcı Konutlar Merkez Spor Salonu,Youtube / TBF TV,SAMET FIRAT SAVAŞ,ESRA YILDIZ,BATUHAN MERT GÜL,UĞUR ERHAN DEDEŞAH,UFUK DOĞANAY,MERT CAN YAZGELDİ,MERTCAN AKGÜL,METEHAN AKGÜL,Kalıcı Konutlar Merkez Spor Salonu
6.12.2020,14:00,2BA3479,01,BODRUM KARYA,75 - 77,CEYHAN BELEDİYESİ,,MUĞLA,Bodrum Binnaz Karakaya Spor Salonu,,GÖZDE KAFADAR,OKAN GÜNGÖR,KAĞAN SÖNMEZ,MEHMET DURU,ALİ BEŞİROĞLU,NEVİN YAVAŞ ERTUĞRUL,HÜSEYİN EŞKİ,SÜLEYMAN ALPER YILDIZ,Bodrum Binnaz Karakaya Spor Salonu
6.12.2020,18:30,2BA3475,01,FENERBAHÇE GELİŞİM,57 - 61,EMLAK KONUT,,İSTANBUL,Fenerbahçe Metro Enerji Spor Salonu,,ÇETİN ARTAN,UĞUR AKYILDIZ,UĞUR YÜKSEL,AHMET MÜNİR GÖKMEN,BÜŞRA ERKAN,DEMET ULUCUTSOY,İREM KESKİN,EDA ELFİDAN,Fenerbahçe Metro Enerji Spor Salonu
12.12.2020,14:00,2BA3488,02,BURSA BÜYÜKŞEHİR BELEDİYESPOR,76 - 73,ANTALYA 07 BASKETBOL,,BURSA,Yıldırım Şahin Başol Spor Kompleksi,Youtube / TBF TV,CANER BAHADIR,ALPER GÖKÇEBEL,FATMA ÖZTÜRK,MUSTAFA DURGUT,ÖZLEM ÖZKAN,EMEL ÖZTÜRK,TEOMAN ÖYLEK,ESRA AL,Yıldırım Şahin Başol Spor Kompleksi
12.12.2020,14:30,2BA3487,02,YALOVA VİP,79 - 73,BODRUM KARYA,,YALOVA,90. Yıl Spor Salonu,,ABDULLAH UYANIK,SALİH ARDA UNUL,BERK KURTULMUŞ,HAKAN AK,ÖZGEN KIRKIŞ,AYSEL GÜNER,HÜLYA DOĞAN,ÖMER FARUK KOCA,90. Yıl Spor Salonu
12.12.2020,15:00,2BA3484,02,FERHATOĞLU EDREMİT BELEDİYESİ GÜRESPOR,84 - 71,MENEMEN BELEDİYESİ KARŞIYAKA ÇARŞI KOLEJİ,,BALIKESİR,Edremit Spor Salonu,Youtube / TBF TV,ELİF İNCİ,SALİH ÖZYURT,ASLI KOÇAK,MURAT KARTAL,NESLİHAN ÇOBAN,MUSA ÇALIŞKAN,ALEV GÜLAÇTI,IŞIL ÖZKAN,Edremit Spor Salonu
