Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
15.10.2022,15:00,BGLK226,01,TED ANKARA KOLEJLİLER,89 - 66,MELİKGAZİ KAYSERİ BASKETBOL,A,ANKARA,TED ÜNİVERSİTESİ PROF. DR. RÜŞTÜ YÜCE S.S.,Youtube / TBF TV,CEMİL UYGÜL,BEDİRHAN ÇİÇEK,HASAN HÜSEYİN GÜRSES,CENGİZ AKAR,SAMET CAN ALICI,FUNDA KONCA,HASAN BAŞKURT,SEÇİL ÇAPKINOĞLU,TED ÜNİVERSİTESİ PROF. DR. RÜŞTÜ YÜCE S.S.
15.10.2022,17:00,BGLK229,01,ÇANKAYA ÜNİVERSİTESİ,71 - 64,DÜZCE ATLETİK,B,ANKARA,ÇANKAYA ÜNİVERSİTESİ OLİMPİK SPOR SALONU,Youtube / TBF TV,ANIL VEZİROĞLU,ÇAĞRI TEMUR,MİHRİBAN PEKER,IRMAK BAŞAK KAN,EMRULLAH ŞİMŞEK,SİNA KÜÇÜKDİLEK,ANIL ENDER DURGUN,EREN UYGUN,ÇANKAYA ÜNİVERSİTESİ OLİMPİK SPOR SALONU
16.10.2022,14:00,BGLK225,01,FENERBAHÇE,104 - 52,ECOGREEN MERKEZEFENDİ BELEDİYESİ,A,İSTANBUL,FENERBAHÇE METRO ENERJİ SPOR SALONU,Youtube / TBF TV,ÖMER SARI,BERKE NÜFER,KAAN ÖZKAN,BEKİR GENÇAL,DUYGU USTAOĞLU,GÜLTEKİN KABAŞ,RAMAZAN KOÇ,GÖRKEM GÖRGÜLÜ,FENERBAHÇE METRO ENERJİ SPOR SALONU
16.10.2022,15:30,BGLK227,01,NESİBE AYDIN,87 - 29,BURSA ULUDAĞ BASKETBOL,A,ANKARA,TOBB ETÜ Spor Salonu ,Youtube / TBF TV,HAKAN GEREY,OSMAN OZAN ÇALAP,ÇELEBİ YAŞAR,HACI MUSTAFA  BORA,MİNE MİHRİCAN KANBUR,ONUR YEŞİLBAĞ,SÜMEYYE SENEKLİOĞLU,FİKRET MERCAN,TOBB ETÜ Spor Salonu
16.10.2022,16:00,BGLK230,01,İSTANBUL BASKETBOL FENERİ,57 - 52,GALATASARAY,B,İSTANBUL,İTO YAKACIK SPOR SALONU,Youtube / TBF TV,FATMA ÖZTÜRK,YUNUS EMRE YILDIZ,EMİRHAN SERTOĞLU,CEM ATMACA,NADİR GÜNER,SERHAT LEVENT,MEHMET KAPALIGÖZ,MURAT GÜRKAN,İTO YAKACIK SPOR SALONU
16.10.2022,18:00,BGLK231,01,HATAY BÜYÜKŞEHİR BELEDİYESPOR,57 - 75,ÇBK MERSİN YENİŞEHİR BELEDİYESİ,B,HATAY,ANTAKYA SPOR SALONU,Youtube / TBF TV,YARKIN KESKİN,DENİZ SENİR,HASAN KORKMAZ,MELEK BANU MURSAL,CUMA KARA,RECEP CEVDET ÖZSOY,SONGÜL ÖZSOY,SEMRA UĞRAŞAN,ANTAKYA SPOR SALONU
17.10.2022,14:00,BGLK224,01,KARŞIYAKA ÇARŞI KOLEJİ,34 - 90,EMLAK KONUT,A,İZMİR,VALİ HÜSEYİN ÖĞÜTCEN SPOR SALONU,Youtube / TBF TV,BURAK DURMUŞ,ÖZKAN ALTINÖRS,MEHMET KURTULUŞ SAVAŞ,KAAN KARTAL,SENEM ARIN KOCATÜRK,CEREN ARIKAN BAYKUŞ,DİLEK DOĞAN KARACA,ELİF KALENDER,VALİ HÜSEYİN ÖĞÜTCEN SPOR SALONU
17.10.2022,15:30,BGLK228,01,ASİLADA İNŞAAT EGE GELİŞİM,32 - 78,BOTAŞ,B,İZMİR,SERDAR YERELİ SPOR SALONU,Youtube / TBF TV,OZAN GÖNEN,SEDAT ERKOL,HALİL ATA GÜNAL,SEDEF ÜSTÜNER,HALİL TEPEBAĞ,OKAN ÇETİNBAŞ,OSMAN ARKIN BARUTCU,AYŞE SELCEN ÜŞENMEZ,SERDAR YERELİ SPOR SALONU
22.10.2022,13:00,BGLK239,02,GALATASARAY,50 - 45,HATAY BÜYÜKŞEHİR BELEDİYESPOR,B,İSTANBUL,Şehit Mustafa Özel Spor Kompleksi,Youtube / TBF TV,BENHÜR İRCEL,FATİH ŞAFAK,ÇAĞATAY TAŞKIN,VOLKAN  KILIÇ,GÜLÇİHAN SEVDA,ONUR İLHAN,NAZLI YENER,BURHAN DEMİR,Şehit Mustafa Özel Spor Kompleksi
23.10.2022,14:00,BGLK237,02,ASİLADA İNŞAAT EGE GELİŞİM,55 - 88,İSTANBUL BASKETBOL FENERİ,B,İZMİR,SERDAR YERELİ SPOR SALONU,Youtube / TBF TV,DORUKHAN KALYONCU,KAAN BERK BALCIOĞLU,OZAN İNCE,AHMET ÖNEY,TUĞBA ERTE,AYŞE SELCEN ÜŞENMEZ,SİNEM BİRTÜRK,EBRU AYDIN,SERDAR YERELİ SPOR SALONU
