Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
1.04.2018,14:00,BEA5120,01,ŞUTİM SPOR,67 - 75,GENÇ YİBO,6.BÖLGE,ŞANLIURFA,Yenice Spor Salonu,,ZEYNETTİN BİNÇ,HASAN MESUT DEMİR,,,ŞERİFE SEVDE ELİHOŞ,MEHMET KÜÇÜK,HÜSEYİN ÇİFTÇİ,TUĞÇE ÇİFÇİ,Yenice Spor Salonu
1.04.2018,14:00,BEA5121,01,MALATYA BŞB.,60 - 73,KAHRAMANMARAŞ BÜYÜKŞEHİR BLD.,6.BÖLGE,MALATYA,TECDE SPOR SALONU,,LEYLA GÜLEN,BARAN VARLU,,,RAMAZAN DENİZ,ŞEYMA KOLAY,EYÜP KITLIK,,TECDE SPOR SALONU
1.04.2018,16:00,BEA5052,01,UMURBEY BLD. GÜREŞ SP.,66 - 69,KÜTAHYA BELEDİYE,1.BÖLGE,ÇANAKKALE,Anafartalar Spor Salonu,,SERCAN SİNİRLİOĞLU,DERYA ÇELİK,,,KAYHAN SEVİMLİ,KADRİYE SEVİLAY BAYRAM,ZEYNEP YILDIRIM,AHMET YILDIRIM,Anafartalar Spor Salonu
1.04.2018,18:00,BEA5053,01,ÇORLU BELEDİYESİ,49 - 51,YEŞİLYURT,1.BÖLGE,TEKİRDAĞ,Çorlu Belediyesi S.S.,,NURİ DİLMEN,GÖKSU TEKSÖZ,,,ÖZLEM DELİCE,FECRİYE GÜDER,MİNEL ÇAKIR,ATA UĞUR ÖNGEL,Çorlu Belediyesi S.S.
7.04.2018,15:00,BEA5109,01,BAFRA BELEDİYESİ,47 - 52,SAYGI GENÇLİK,5.BÖLGE,SAMSUN,Bafra Spor Salonu,,RAMAZAN SEZER BARAN,ONUR DENİZ AY,,,MERVE SERDAR,TAYFUN KARAKUM,MERT ABLAY,KÜBRA YILDIZ,Bafra Spor Salonu
7.04.2018,15:30,BEA5085,01,AKANT GENÇLİK VE SPOR,76 - 82,NAZİLLİ BELEDİYE,3.BÖLGE,ANTALYA,Döşemealtı Spor Salonu,,AHMET OĞUZHAN CİRİT,AYGÜN AKGÜL,,,SEZEN AKSU,CİHAN ÖZTEMEL,HÜSEYİN ERAY TOPCU,İLKAY ERDOĞAN,Döşemealtı Spor Salonu
7.04.2018,17:00,BEA5111,01,OKVOLIGHT TEKDEN KOLEJİ,59 - 70,TOKAT ÖZGEM GRUP BASKETBOL,5.BÖLGE,KAYSERİ,Kadir Has Kongre Merkezi Spor Salonu,,MUSTAFA AKSOY,EMRE YELDAŞ,,,ELİF CENGİZ,İBRAHİM TÜRKMENÇALIKOĞLU,CELAL AKSOY,İDRİS KARATAŞ,Kadir Has Kongre Merkezi Spor Salonu
7.04.2018,17:30,BEA5098,01,MURATPAŞA BELEDİYESİ SK,77 - 95,SÖGÜTSEN SERAMİK,4.BÖLGE,ANTALYA,Çağlayan Spor Salonu,,SERAY AK,BERKİ PEKER,,,PELİN TOPCU,SEDA DİKER,DENİZ ÇETİNTAŞ,MELEK AKAN,Çağlayan Spor Salonu
8.04.2018,15:00,BEA5097,01,ISPARTA BELEDİYESİ SPOR,74 - 63,TARSUS AMERİKAN KOLEJİ,4.BÖLGE,ISPARTA,6 Mart Spor Salonu,,KAĞAN SÖNMEZ,EMRE CAN ÇAKIR,,,MEVLÜT CAN SARAÇOĞLU,ÇAĞATAY KASIM KÜÇÜKOĞLU,BURAK TATOĞLU,HASAN TAHA SARIKAYA,6 Mart Spor Salonu
8.04.2018,16:00,BEA5086,01,MENEMEN BELEDİYE,82 - 66,MUĞLA ÜNİVERSİTESİ SPOR KULÜBÜ,3.BÖLGE,İZMİR,Serdar Yereli Spor Salonu,,NURŞAH OPAKBAY,GÜNEY BİRLİK,,,AYBİKE GÖCEKLİ,HALİDE KAYA,KEMAL AYPARS,MESUT KARABULUT,Serdar Yereli Spor Salonu
8.04.2018,16:00,BEA5074,01,BAHÇELİEVLER BELEDİYE,86 - 71,SÖKE BASKET,2.BÖLGE,İSTANBUL,Muhsin Yazıcıoğlu Spor Salonu,,MUSTAFA ÇELTİKER,ESRA YILDIZ,,,NİLAY YILMAZ,BEKİR SEVİMLİ,BİROL ÖZDAL,,Muhsin Yazıcıoğlu Spor Salonu
8.04.2018,17:00,BEA5075,01,MKD BOSSAN,78 - 73,HACETTEPE ÜNİVERSİTESİ GSK,2.BÖLGE,İZMİR,Bornova Belediye Muhammet Yıldız Işıkkent Spor Salonu,,OKAN MUHAMMET ANLATICI,GÖZDE KAFADAR,,,GİZEM ÖZAYDIN,CEREN BARAN,ELİF KALENDER,İSMAİL AKGÜL,Bornova Belediye Muhammet Yıldız Işıkkent Spor Salonu
4.06.2018,11:00,BEA5155,Final Grubu,MENEMEN BELEDİYE,84 - 56,ŞUTİM SPOR,TÜRKİYE FİNALİ A,KONYA,Selçuklu Belediyesi Spor Salonu,,AHMET KEMAL DİGİLLİ,ABDULLAH UYANIK,,,AYKUT ÇETİN,HEDİYE BALIKCI,SÜLEYMAN KEMAL HOROZOĞLU,,Selçuklu Belediyesi Spor Salonu
4.06.2018,11:00,BEA5161,Final Grubu,ÇORLU BELEDİYESİ,53 - 64,UMURBEY BLD. GÜREŞ SP.,TÜRKİYE FİNALİ B,KONYA,Selçuk Üniversitesi 19 Mayıs Spor Salonu,,ABDULLAH KOPUTAN,ANIL VEZİROĞLU,,,AHMET TOPAL,SADETTİN YAMAN,VEDAT ORHAN,,Selçuk Üniversitesi 19 Mayıs Spor Salonu
4.06.2018,13:00,BEA5162,Final Grubu,BAHÇELİEVLER BELEDİYE,68 - 72,HACETTEPE ÜNİVERSİTESİ GSK,TÜRKİYE FİNALİ B,KONYA,Selçuk Üniversitesi 19 Mayıs Spor Salonu,,MUSA KAZIM ÇETİN,EMİR CAN ÖZKAN,,,AHMET TOPAL,VEDAT ORHAN,SADETTİN YAMAN,,Selçuk Üniversitesi 19 Mayıs Spor Salonu
4.06.2018,13:00,BEA5157,Final Grubu,KAHRAMANMARAŞ BÜYÜKŞEHİR BLD.,70 - 62,GENÇ YİBO,TÜRKİYE FİNALİ A,KONYA,Selçuklu Belediyesi Spor Salonu,,YİĞİT EMRE ŞİMŞEK,MEHMET BURAK ANLATICI,,,AYKUT ÇETİN,HEDİYE BALIKCI,SÜLEYMAN KEMAL HOROZOĞLU,,Selçuklu Belediyesi Spor Salonu
4.06.2018,15:00,BEA5167,Final Grubu,TOKAT ÖZGEM GRUP BASKETBOL,75 - 87,SÖGÜTSEN SERAMİK,TÜRKİYE FİNALİ C,KONYA,Selçuklu Belediyesi Spor Salonu,,HALDUN ÇOBAN,EYYÜP AYHAN,,,EMİNE HARTÜN,HEDİYE BALIKCI,HARUN HORTU,,Selçuklu Belediyesi Spor Salonu
4.06.2018,15:00,BEA5173,Final Grubu,NAZİLLİ BELEDİYE,61 - 67,OKVOLIGHT TEKDEN KOLEJİ,TÜRKİYE FİNALİ D,KONYA,Selçuk Üniversitesi 19 Mayıs Spor Salonu,,CEMİL UYGÜL,SONER ÖZAYDOĞAN,,,ELİF ERDOĞAN,HÜSEYİN BAĞCI,OSMAN KESER,,Selçuk Üniversitesi 19 Mayıs Spor Salonu
4.06.2018,17:00,BEA5168,Final Grubu,MKD BOSSAN,57 - 48,ISPARTA BELEDİYESİ SPOR,TÜRKİYE FİNALİ C,KONYA,Selçuklu Belediyesi Spor Salonu,,NİHAT ÇETİN,ALİHAN CİVELEK,,,EMİNE HARTÜN,HEDİYE BALIKCI,HARUN HORTU,,Selçuklu Belediyesi Spor Salonu
4.06.2018,17:00,BEA5175,Final Grubu,YEŞİLYURT,65 - 74,KÜTAHYA BELEDİYE,TÜRKİYE FİNALİ D,KONYA,Selçuk Üniversitesi 19 Mayıs Spor Salonu,,HALİL ERKOÇ,MUSTAFA AKSOY,,,ELİF ERDOĞAN,HÜSEYİN BAĞCI,OSMAN KESER,,Selçuk Üniversitesi 19 Mayıs Spor Salonu
7.04.2018,13:00,BEA5057,02,ANKARA ANADOLU BASKET,56 - 71,UMURBEY BLD. GÜREŞ SP.,1.BÖLGE,ANKARA,Ankara Spor Salonu (Küçük),,DURSUN UĞRAL,UMUT MEMİŞ,,,FATİH DEMİRCİ,SERKAN ÇADIR,SİMAY ÇAKMAK,İREM ERGÜN,Ankara Spor Salonu (Küçük)
8.04.2018,14:00,BEA5126,02,KAHRAMANMARAŞ BÜYÜKŞEHİR BLD.,61 - 59,GENÇ YİBO,6.BÖLGE,KAHRAMANMARAŞ,Batıpark Spor Salonu,,EMRE DURSUN,YETER DOĞAN,,,HAMİT ÇERAY,DÜRDANE KARABÖRK,EMRAH AÇIKAR,ŞERİFE AKKÖK,Batıpark Spor Salonu
8.04.2018,16:00,BEA5124,02,ELAZIĞ BASKETBOL AKADEMİ,45 - 67,MALATYA BŞB.,6.BÖLGE,ELAZIĞ,Elazığ İl Özel İdare S.S.,,SALİH SERKAN KOÇAK,İLKER ERBEK,,,AYŞE GÜNHAN,SEMANUR BOZKURT,ERDAL KALEM,YASEMİN DÜNDAR,Elazığ İl Özel İdare S.S.
8.04.2018,16:30,BEA5056,02,KÜTAHYA BELEDİYE,45 - 75,ÇORLU BELEDİYESİ,1.BÖLGE,KÜTAHYA,Dumlupınar Üniversitesi Merkez Kampüsü Spor Salonu,,MURATCAN REYHAN,FURKAN KESERATAR,,,MERYEM FETEN,TAMER AYAZ,UMUT DEMİRALAY,EMRAH OYANKAYA,Dumlupınar Üniversitesi Merkez Kampüsü Spor Salonu
