Tarih,Saat,Maç No,Hafta,A Takım,Sonuç,B Takım,Grubu,Şehir,Salon,TV,Baş Hakem,1. Yrd. Hakem,2. Yrd. Hakem,Temsilci,1. Masa G.,2. Masa G.,3. Masa G.,4. Masa G.,Salon.1
17.11.2023,18:00,BBA1716,01,GALLARDO,110 - 48,GÜNGÖREN BELEDİYESİ,B,ANKARA,Sinan Şamil Sam Spor Salonu,,TAYFUN KARAKUM,OSMAN OZAN ÇALAP,DENİZ SENİR,OZAN ÜSTÜN,FİLİZ UYGUN,SAMET CAN ALICI,AZRA ÖZKAN,YUNUS KAHRAMAN,Sinan Şamil Sam Spor Salonu
17.11.2023,18:00,BBA1718,01,UNIGEN DÜZCE ATLETİK,65 - 69,İSTANBUL BASKETBOL FENERİ,B,DÜZCE,Bahçeşehir Merkez Spor Kompleksi,,ERHAN ERDOĞAN,ARMAN ATLI,HASAN HÜSEYİN GÜRSES,UĞUR ERHAN DEDEŞAH,ONUR OROÇ,EMRE ARSLAN,GÜLNİHAL ERDEM,MERT CAN YAZGELDİ,Bahçeşehir Merkez Spor Kompleksi
17.11.2023,19:30,BBA1713,01,BEYKOZ BASKETBOL,50 - 48,KAİNAT HOLDING KIRKLARELİ FEN BİLİMLERİ,A,İSTANBUL,İstanbul Büyükşehir Belediyesi Fatih Spor Kompleksi,,BATUHAN BARUT,OĞUZHAN GÜZEL,BURAK ALKAN,NURSEL İSLAM,MEHMET NECATİ EROĞUL,BARIŞ AKSAKAL,EMRE YAZICI,MURAT ÖZKAN,İstanbul Büyükşehir Belediyesi Fatih Spor Kompleksi
18.11.2023,13:00,BBA1719,01,AYDIN GSİM,53 - 57,İZMİR BÜYÜKŞEHİR BELEDİYESPOR,C,AYDIN,Aydın Atatürk Spor Salonu,,SONER ÖZAYDOĞAN,ERTUĞRUL TURAN TOPAL,İREM GÖRDES,OKAN ÖZER,LÜTFİYE ÖZDÖVENCİ,ŞERİF ÇAKIN,CEREN SAĞEL,SÜLEYMAN DURMUŞ,Aydın Atatürk Spor Salonu
18.11.2023,14:00,BBA1720,01,J&amp;M ÇANAKKALE BELEDİYESPOR,76 - 30,BURSA AYYILDIZ,C,ÇANAKKALE,Anafartalar Spor Salonu,,HALUK YAKIN,BEYHAN ERBİLGİN,CELAL GÖRMÜŞ,HAKAN ŞAHİN,CUMALİ ÖZLER,KADRİYE SEVİLAY BAYRAM,ZEYNEP YILDIRIM,AHMET YILDIRIM,Anafartalar Spor Salonu
18.11.2023,16:00,BBA1722,01,DİCLE 21,103 - 48,ADANA BÜYÜKŞEHİR BELEDİYESİ,D,DİYARBAKIR,Köşkler Spor Salonu,,ALİ CAN YILMAZ,MEHMET KURTULUŞ SAVAŞ,HASAN KORKMAZ,MEHMET BOZDAĞ,ÖZGEN BOYLU,HATIRA BALLI,SARA AKKOYUN,MEHMET VEYSİ ORHAN,Köşkler Spor Salonu
18.11.2023,18:00,BBA1714,01,İZMİT ZİRVE,40 - 75,TRANSBOSPHOR DENİZCİLİK BEŞAS SPOR,A,KOCAELİ,Kocaeli Atatürk Spor Salonu,,SALİH ACAR,OSMAN CAN GÜNDOĞDU,SENAY COŞKUN,NAİM ÖZYEŞİLPINAR,SUDENUR DUMAN,AYCAN PEKER,ZEYNEP SARI,BERK BATUHAN ARICI,Kocaeli Atatürk Spor Salonu
19.11.2023,14:00,BBA1723,01,OGM ORMANSPOR GELİŞİM,67 - 116,SEÇİL KAUÇUK MERSİN ÜNİVERSİTESİ,D,ANKARA,M. Sait Zarifoğlu Spor Salonu,,METİN SARIOĞLU,ÇAĞRI TEMUR,YASEMİN KUNDAKÇI,NİYAZİ ALİŞAN,MİNE KARAMAN,YUNUS KAHRAMAN,VOLKAN DARCAN,SİMAY ÇAKMAK,M. Sait Zarifoğlu Spor Salonu
20.11.2023,15:00,BBA1715,01,İSTANBUL PANTERLERİ,43 - 73,EDİRNE DSİ,A,İSTANBUL,Caferağa Spor Salonu,,SÜLEYMAN TEPE,BURAK METE ÖZTÜRK,SEDAT ERKOL,RAHŞAN ŞEBNEM TÜMER,DİLAN SARIBULAK,UFUK CAN SARI,BUKET ÖZDEMİR,AYSEL GÜNER,Caferağa Spor Salonu
20.11.2023,18:00,BBA1717,01,KADIKÖY BASKETBOL,64 - 98,BURSA ULUDAĞ BASKETBOL GELİŞİM,B,İSTANBUL,Caferağa Spor Salonu,,OZAN İNCE,EMRE EFE CİHAN,EMİRHAN SERTOĞLU,BEKİR GENÇAL,HAKAN KARAGÖZ,ESER FIRIL,EDA ELFİDAN,İLYAS KURTULUŞ,Caferağa Spor Salonu
6.12.2023,16:30,BBA1721,01,FUNDAMENTAL İZMİR BASKETBOL,63 - 67,ASİLADA EGE GELİŞİM,C,İZMİR,Halkapınar Spor Salonu,,GÖKHAN EĞLENOĞLU,BETÜL UNTUÇ,EMRE ÖZÜTOK,SİBEL SARIDAĞ,BEREN ÇELİKOĞLU,CANSU ÇOBAN,MEHMET AKINCI,OKAN ÇETİNBAŞ,Halkapınar Spor Salonu
24.11.2023,16:00,BBA1731,02,SEÇİL KAUÇUK MERSİN ÜNİVERSİTESİ,102 - 48,SAMSUN ZORLU KOLEJİ,D,MERSİN,Mersin Üniversitesi 2 nolu Spor Salonu,,HİKMET FEN,DENİZ SENİR,KAZIM KILIÇ,MUHAMMED DİYAÜDDİN SAĞIR,ŞEFİKA IŞIK SOYDAN,MERVE YAĞMA,İLKNUR DABLAN,ABUZER BİLEN,Mersin Üniversitesi 2 nolu Spor Salonu
24.11.2023,17:00,BBA1729,02,BURSA ULUDAĞ BASKETBOL GELİŞİM,66 - 68,UNIGEN DÜZCE ATLETİK,B,BURSA,Tofaş Spor Salonu,,FURKAN  SÖYLEMEZOĞLU,OSMAN YETİŞKİN,İREM KORKMAZ,GÜNAY YAYLI,FATMA SARI,TEOMAN ÖYLEK,NEBİYE SALLANTI,NİDA ECE TÜZÜK,Tofaş Spor Salonu
25.11.2023,17:00,BBA1728,02,İSTANBUL BASKETBOL FENERİ,58 - 46,GALLARDO,B,İSTANBUL,İTO Yakacık Spor Salonu,,ENES DURAN,ŞEVKET KUTLUHAN KANBUROĞLU,FURKAN ÜNLÜ,BOĞAÇHAN ŞERBETCİOĞLU,EBRU ULUDOĞAN,SEHER KAZANÇ,ŞÜKRÜ ALOĞLU,MUSTAFA KEMAL PENPE,İTO Yakacık Spor Salonu
25.11.2023,17:30,BBA1725,02,EDİRNE DSİ,85 - 53,BEYKOZ BASKETBOL,A,EDİRNE,Edirne Mimar Sinan Spor Salonu,,SEYHAN TOPALOĞLU,OZAN GÜNDÜZ,FATİH ŞAFAK,YAŞAR TERZİOĞLU,BURAK TUNALI,DENİZ AZAZ,AHSEN DAYAN,ELİF ÖÇAL,Edirne Mimar Sinan Spor Salonu
25.11.2023,18:00,BBA1726,02,TRANSBOSPHOR DENİZCİLİK BEŞAS SPOR,74 - 33,İSTANBUL PANTERLERİ,A,İSTANBUL,Caferağa Spor Salonu,,CELAL GÖRMÜŞ,EREN AKPULAT,ERTUĞRUL TURAN TOPAL,GÖZDE ERSÖZ,DEMET ULUCUTSOY,UFUK CAN SARI,TOLGAY ÖZCAN,İLYAS KURTULUŞ,Caferağa Spor Salonu
26.11.2023,14:00,BBA1730,02,ADANA BÜYÜKŞEHİR BELEDİYESİ,61 - 75,OGM ORMANSPOR GELİŞİM,D,ADANA,Menderes Spor Salonu,,ERSEL BÜYÜKKARA,DEYER AKÇAY,OSMAN OZAN ÇALAP,MUSTAFA KEMAL ERSÖZ,MEHTAP TOSUN,CUMALİ TOSUN,LETAFET FEYZA YÜKSEL,MEHMET MURAT KÖMÜRHANLI,Menderes Spor Salonu
26.11.2023,14:00,BBA1732,02,İZMİR BÜYÜKŞEHİR BELEDİYESPOR,60 - 94,J&amp;M ÇANAKKALE BELEDİYESPOR,C,İZMİR,Celal Atik Spor Salonu,,AYGÜN AKGÜL,BURAK MERT DEMİRTAŞ,BUSE NUR KAHYAOĞULLARI,MEHMET AKİF KARAGÖZ,GİZEM ÖZAYDIN,OSMAN ARKIN BARUTCU,AYŞE SELCEN ÜŞENMEZ,ARİF SOSYAL,Celal Atik Spor Salonu
26.11.2023,16:45,BBA1734,02,BURSA AYYILDIZ,79 - 67,FUNDAMENTAL İZMİR BASKETBOL,C,BURSA,Yıldırım Şahin Başol Spor Kompleksi,,SEDEF YARICI,HASAN KAMİL TAKINYALIOĞLU,MURAT BERK KAYA,ZİYNİŞ ORUÇ,FATMA SARI,TEOMAN ÖYLEK,MUHARREM KAYAL,FATİH DURGUT,Yıldırım Şahin Başol Spor Kompleksi
26.11.2023,17:00,BBA1724,02,KAİNAT HOLDING KIRKLARELİ FEN BİLİMLERİ,76 - 66,İZMİT ZİRVE,A,KIRKLARELİ,ATATÜRK,,SALİH ARDA UNUL,KAMİL TALHA OLGUN,SEÇKİN ŞENTÜRK,ENİS GÜREL,GÜLİZ ÖZALTAN DİLMEN,SEMRA SOLAK,MELAHAT BURCU BERKMEN,AYDIN YILDIZ,ATATÜRK
26.11.2023,17:15,BBA1727,02,GÜNGÖREN BELEDİYESİ,62 - 67,KADIKÖY BASKETBOL,B,İSTANBUL,Güngören Spor Kompleksi,,ŞEYHMUS MELEK,CANER BAHADIR,ALPEREN BAŞER,ERKAN URASLI,SERDAR ERHAN,AHMET YILDIZ,TUĞÇE KAYA,BURHAN DEMİR,Güngören Spor Kompleksi
27.11.2023,14:00,BBA1733,02,ASİLADA EGE GELİŞİM,94 - 33,AYDIN GSİM,C,İZMİR,Halkapınar Spor Salonu,,TEOMAN ALTAR AKIN,OZAN İNCE,BURAK METE ÖZTÜRK,SİBEL SARIDAĞ,BEREN ÇELİKOĞLU,CANSU ÇOBAN,SÜLEYMAN BARTU GÜL,HALDUN TAŞKAVAK,Halkapınar Spor Salonu
1.12.2023,18:00,BBA1740,03,GALLARDO,106 - 39,BURSA ULUDAĞ BASKETBOL GELİŞİM,B,ANKARA,Sinan Şamil Sam Spor Salonu,,ANASTASIIA USOVA,HÜSEYİN MERT ŞEKER,BEDİRHAN ÇİÇEK,HACI MUSTAFA  BORA,MELTEM BULUREL,SAMET CAN ALICI,EREN UYGUN,ELİF CAN,Sinan Şamil Sam Spor Salonu
1.12.2023,19:30,BBA1737,03,BEYKOZ BASKETBOL,47 - 61,TRANSBOSPHOR DENİZCİLİK BEŞAS SPOR,A,İSTANBUL,İstanbul Büyükşehir Belediyesi Fatih Spor Kompleksi,,MURAT AMAÇ,OSMAN YETİŞKİN,MURAT BERK KAYA,ENES HİKMET ERMANER,MERVE GÜLDAŞ,MERT İĞDELİ,YUSUF YELESDAĞ,RIFAT GÜRSES,İstanbul Büyükşehir Belediyesi Fatih Spor Kompleksi
2.12.2023,14:00,BBA1742,03,J&amp;M ÇANAKKALE BELEDİYESPOR,91 - 68,FUNDAMENTAL İZMİR BASKETBOL,C,ÇANAKKALE,Anafartalar Spor Salonu,,GÜRKAN DEMİR,EREN AKPULAT,ERTUĞRUL TURAN TOPAL,HAKAN ŞAHİN,İKBAL GÜMÜŞ,BÜŞRANUR ÇELİKGÖZ,KADRİYE SEVİLAY BAYRAM,ZEYNEP YILDIRIM,Anafartalar Spor Salonu
2.12.2023,16:00,BBA1745,03,DİCLE 21,46 - 41,SEÇİL KAUÇUK MERSİN ÜNİVERSİTESİ,D,DİYARBAKIR,Köşkler Spor Salonu,,DEYER AKÇAY,HAMZA ÇALIŞKAN,SALİH DALMAN,MEHMET BOZDAĞ,ÖZGEN BOYLU,HATIRA BALLI,HİLAL EKİNCİ,MEHMET VEYSİ ORHAN,Köşkler Spor Salonu
2.12.2023,16:30,BBA1739,03,KADIKÖY BASKETBOL,64 - 73,UNIGEN DÜZCE ATLETİK,B,İSTANBUL,Caferağa Spor Salonu,,OZAN GÜNDÜZ,ZEKİ BAYRAM,BERKE NÜFER,ORHAN EFE  ÖZENÇ,HÜLYA CAN,ESER FIRIL,NALAN TAGA,BEGÜM SAVAŞ,Caferağa Spor Salonu
3.12.2023,13:00,BBA1743,03,AYDIN GSİM,39 - 62,BURSA AYYILDIZ,C,AYDIN,Aydın Atatürk Spor Salonu,,İSMAİL BALPETEK,IŞILAY ÇAPRAZ,SEDAT ERKOL,MURATCAN KOCABAY,LÜTFİYE ÖZDÖVENCİ,HÜLYA KOZAN,EZGİ HAN,SÜLEYMAN DURMUŞ,Aydın Atatürk Spor Salonu
